"행정구역(시군구)별",2011.01,2011.01,2011.01,2011.02,2011.02,2011.02,2011.03,2011.03,2011.03,2011.04,2011.04,2011.04,2011.05,2011.05,2011.05,2011.06,2011.06,2011.06,2011.07,2011.07,2011.07,2011.08,2011.08,2011.08,2011.09,2011.09,2011.09,2011.10,2011.10,2011.10,2011.11,2011.11,2011.11,2011.12,2011.12,2011.12,2012.01,2012.01,2012.01,2012.02,2012.02,2012.02,2012.03,2012.03,2012.03,2012.04,2012.04,2012.04,2012.05,2012.05,2012.05,2012.06,2012.06,2012.06,2012.07,2012.07,2012.07,2012.08,2012.08,2012.08,2012.09,2012.09,2012.09,2012.10,2012.10,2012.10,2012.11,2012.11,2012.11,2012.12,2012.12,2012.12,2013.01,2013.01,2013.01,2013.02,2013.02,2013.02,2013.03,2013.03,2013.03,2013.04,2013.04,2013.04,2013.05,2013.05,2013.05,2013.06,2013.06,2013.06,2013.07,2013.07,2013.07,2013.08,2013.08,2013.08,2013.09,2013.09,2013.09,2013.10,2013.10,2013.10,2013.11,2013.11,2013.11,2013.12,2013.12,2013.12
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",50534731,25318961,25215770,50555262,25328299,25226963,50575130,25337290,25237840,50594424,25346019,25248405,50613213,25354703,25258510,50627347,25359936,25267411,50641565,25366218,25275347,50662739,25375626,25287113,50681829,25384115,25297714,50699478,25391900,25307578,50717719,25399757,25317962,50734284,25406934,25327350,50750837,25414026,25336811,50767313,25421655,25345658,50783029,25429184,25353845,50801531,25437643,25363888,50819380,25445721,25373659,50832898,25452027,25380871,50851082,25460414,25390668,50871606,25469682,25401924,50891223,25478622,25412601,50912264,25488080,25424184,50930805,25496262,25434543,50948272,25504060,25444212,50965180,25511490,25453690,50991003,25523833,25467170,51003843,25529381,25474462,51018468,25535573,25482895,51034494,25542576,25491918,51047880,25548288,25499592,51064841,25555792,25509049,51081507,25562816,25518691,51098531,25570198,25528333,51115702,25577637,25538065,51127984,25582749,25545235,51141463,25588336,25553127
"서울특별시",10312835,5110837,5201998,10314245,5110818,5203427,10307783,5107011,5200772,10301829,5103919,5197910,10295643,5100399,5195244,10288284,5095751,5192533,10282472,5092201,5190271,10277507,5089493,5188014,10271880,5086210,5185670,10266174,5082622,5183552,10257741,5078105,5179636,10249679,5073899,5175780,10250134,5073567,5176567,10251297,5073607,5177690,10245782,5070498,5175284,10241387,5068038,5173349,10237054,5065291,5171763,10232281,5062494,5169787,10227761,5059710,5168051,10223243,5057182,5166061,10219334,5054851,5164483,10212445,5050639,5161806,10205843,5047103,5158740,10195318,5041336,5153982,10195064,5040263,5154801,10196434,5039921,5156513,10192057,5037288,5154769,10185955,5033615,5152340,10181807,5030777,5151030,10176560,5027540,5149020,10172002,5024805,5147197,10168997,5022491,5146506,10166691,5020717,5145974,10162099,5017958,5144141,10154180,5013816,5140364,10143645,5007869,5135776
"부산광역시",3566560,1772383,1794177,3566480,1772175,1794305,3564873,1770952,1793921,3563042,1769903,1793139,3562985,1769690,1793295,3563295,1769758,1793537,3560813,1768334,1792479,3558372,1766803,1791569,3556565,1765847,1790718,3554635,1764716,1789919,3553997,1764401,1789596,3550963,1762848,1788115,3549501,1762043,1787458,3548640,1761464,1787176,3547141,1760266,1786875,3545806,1759456,1786350,3543688,1758013,1785675,3542239,1757050,1785189,3542218,1756971,1785247,3541431,1756404,1785027,3540802,1756003,1784799,3540098,1755498,1784600,3539273,1755039,1784234,3538484,1754479,1784005,3538191,1754151,1784040,3539455,1754758,1784697,3538285,1753758,1784527,3537758,1753158,1784600,3536426,1752157,1784269,3534500,1751105,1783395,3532994,1750076,1782918,3531796,1749362,1782434,3531643,1749195,1782448,3530579,1748576,1782003,3529884,1748171,1781713,3527635,1747000,1780635
"대구광역시",2512071,1255238,1256833,2512321,1255200,1257121,2511231,1254360,1256871,2510773,1253859,1256914,2510644,1253685,1256959,2510243,1253367,1256876,2509833,1253156,1256677,2510079,1253113,1256966,2509609,1252693,1256916,2509297,1252400,1256897,2508935,1252236,1256699,2507271,1251577,1255694,2508370,1251881,1256489,2508563,1251815,1256748,2507586,1251107,1256479,2507310,1250813,1256497,2507022,1250583,1256439,2506977,1250491,1256486,2506969,1250452,1256517,2507715,1250650,1257065,2507791,1250552,1257239,2507571,1250263,1257308,2507910,1250472,1257438,2505644,1249320,1256324,2504945,1248869,1256076,2505040,1248840,1256200,2504623,1248307,1256316,2504888,1248182,1256706,2505083,1248184,1256899,2503728,1247423,1256305,2503604,1247377,1256227,2503400,1247193,1256207,2503679,1247251,1256428,2503648,1247204,1256444,2503283,1246930,1256353,2501588,1246071,1255517
"인천광역시",2761122,1391674,1369448,2765025,1393626,1371399,2768648,1395330,1373318,2772131,1397050,1375081,2775394,1398584,1376810,2779133,1400372,1378761,2782458,1401993,1380465,2786717,1404018,1382699,2790226,1405707,1384519,2794493,1407756,1386737,2798762,1409803,1388959,2801274,1410980,1390294,2804287,1412355,1391932,2808286,1414357,1393929,2811410,1415761,1395649,2815158,1417617,1397541,2818348,1419119,1399229,2820994,1420391,1400603,2824150,1421784,1402366,2828342,1423909,1404433,2831729,1425557,1406172,2836080,1427719,1408361,2840308,1429856,1410452,2843981,1431593,1412388,2846899,1432916,1413983,2850543,1434674,1415869,2853489,1436089,1417400,2856667,1437735,1418932,2859335,1439029,1420306,2861722,1440222,1421500,2864951,1441827,1423124,2867429,1442837,1424592,2870125,1444150,1425975,2873451,1445689,1427762,2876797,1447443,1429354,2879782,1448835,1430947
"광주광역시",1456308,722450,733858,1458195,723413,734782,1458326,723279,735047,1458814,723466,735348,1459615,723894,735721,1459862,723927,735935,1461368,724654,736714,1462915,725330,737585,1463432,725523,737909,1464073,725810,738263,1464516,726106,738410,1463464,725606,737858,1465313,726529,738784,1466516,727092,739424,1466810,727255,739555,1466676,727206,739470,1466464,727060,739404,1466388,727057,739331,1467030,727255,739775,1467979,727763,740216,1468777,728097,740680,1469614,728516,741098,1470669,729100,741569,1469216,728406,740810,1470061,728843,741218,1470969,729362,741607,1470979,729250,741729,1471324,729412,741912,1471801,729629,742172,1471867,729695,742172,1472357,729951,742406,1472807,730191,742616,1473229,730342,742887,1473576,730586,742990,1473689,730623,743066,1472910,730216,742694
"대전광역시",1504617,754111,750506,1506136,754883,751253,1506995,755385,751610,1507751,755648,752103,1509032,756290,752742,1509963,756814,753149,1510468,756963,753505,1511531,757313,754218,1512557,757790,754767,1513877,758386,755491,1514979,758911,756068,1515603,759188,756415,1517299,759905,757394,1518651,760544,758107,1519490,761177,758313,1520628,761742,758886,1521659,762228,759431,1522595,762685,759910,1522581,762642,759939,1522189,762435,759754,1522880,762885,759995,1523647,763214,760433,1524566,763776,760790,1524583,763671,760912,1525888,764201,761687,1527383,764912,762471,1527857,765095,762762,1528578,765375,763203,1529085,765683,763402,1529655,766027,763628,1530226,766341,763885,1530908,766628,764280,1531418,766838,764580,1532456,767235,765221,1533114,767527,765587,1532811,767309,765502
"울산광역시",1127337,579518,547819,1127647,579732,547915,1128324,580047,548277,1129038,580511,548527,1129612,580864,548748,1130832,581503,549329,1131325,581704,549621,1131979,582076,549903,1132910,582522,550388,1134125,583149,550976,1134904,583556,551348,1135494,583825,551669,1136464,584309,552155,1136948,584696,552252,1137918,585316,552602,1139628,586133,553495,1140673,586803,553870,1140954,587128,553826,1141483,587424,554059,1142528,587910,554618,1143464,588361,555103,1145096,589212,555884,1146555,590055,556500,1147256,590424,556832,1148130,590953,557177,1148713,591328,557385,1150215,592072,558143,1150708,592401,558307,1151340,592753,558587,1152039,593096,558943,1152765,593504,559261,1154208,594221,559987,1154382,594307,560075,1154956,594585,560371,1155867,595076,560791,1156480,595319,561161
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103127,52624,50503,106625,54338,52287,108027,55022,53005,109823,55913,53910,111191,56596,54595,113117,57633,55484,113911,58074,55837,115269,58788,56481,115955,59136,56819,116345,59322,57023,116842,59592,57250,117012,59661,57351,117369,59837,57532,117939,60134,57805,118273,60315,57958,118745,60573,58172,119309,60841,58468,122153,62205,59948
