,시도,인구수,연도,월,사용량,위도,경도
0,서울특별시,10312835.0,2011,1,4562632.0,37.551638,126.993243
1,서울특별시,10314245.0,2011,2,4264449.0,37.551638,126.993243
2,서울특별시,10307783.0,2011,3,3736362.0,37.551638,126.993243
3,서울특별시,10301829.0,2011,4,3682652.0,37.551638,126.993243
4,서울특별시,10295643.0,2011,5,3425703.0,37.551638,126.993243
5,서울특별시,10288284.0,2011,6,3713716.0,37.551638,126.993243
6,서울특별시,10282472.0,2011,7,4049595.0,37.551638,126.993243
7,서울특별시,10277507.0,2011,8,4433093.0,37.551638,126.993243
8,서울특별시,10271880.0,2011,9,4149017.0,37.551638,126.993243
9,서울특별시,10266174.0,2011,10,3458466.0,37.551638,126.993243
10,서울특별시,10257741.0,2011,11,3527460.0,37.551638,126.993243
11,서울특별시,10249679.0,2011,12,3899848.0,37.551638,126.993243
12,서울특별시,10250134.0,2012,1,4349335.0,37.551638,126.993243
13,서울특별시,10251297.0,2012,2,4298788.0,37.551638,126.993243
14,서울특별시,10245782.0,2012,3,3837539.0,37.551638,126.993243
15,서울특별시,10241387.0,2012,4,3695515.0,37.551638,126.993243
16,서울특별시,10237054.0,2012,5,3483656.0,37.551638,126.993243
17,서울특별시,10232281.0,2012,6,3736558.0,37.551638,126.993243
18,서울특별시,10227761.0,2012,7,4075847.0,37.551638,126.993243
19,서울특별시,10223243.0,2012,8,4687134.0,37.551638,126.993243
20,서울특별시,10219334.0,2012,9,4034771.0,37.551638,126.993243
21,서울특별시,10212445.0,2012,10,3387032.0,37.551638,126.993243
22,서울특별시,10205843.0,2012,11,3556636.0,37.551638,126.993243
23,서울특별시,10195318.0,2012,12,4091294.0,37.551638,126.993243
24,서울특별시,10195064.0,2013,1,4486310.0,37.551638,126.993243
25,서울특별시,10196434.0,2013,2,4189413.0,37.551638,126.993243
26,서울특별시,10192057.0,2013,3,3652776.0,37.551638,126.993243
27,서울특별시,10185955.0,2013,4,3638393.0,37.551638,126.993243
28,서울특별시,10181807.0,2013,5,3439856.0,37.551638,126.993243
29,서울특별시,10176560.0,2013,6,3706936.0,37.551638,126.993243
30,서울특별시,10172002.0,2013,7,4099931.0,37.551638,126.993243
31,서울특별시,10168997.0,2013,8,4534870.0,37.551638,126.993243
32,서울특별시,10166691.0,2013,9,4064276.0,37.551638,126.993243
33,서울특별시,10162099.0,2013,10,3388520.0,37.551638,126.993243
34,서울특별시,10154180.0,2013,11,3462656.0,37.551638,126.993243
35,서울특별시,10143645.0,2013,12,3891170.0,37.551638,126.993243
36,서울특별시,10143164.0,2014,1,4155574.0,37.551638,126.993243
37,서울특별시,10144173.0,2014,2,3974971.0,37.551638,126.993243
38,서울특별시,10141727.0,2014,3,3547923.0,37.551638,126.993243
39,서울특별시,10137313.0,2014,4,3466188.0,37.551638,126.993243
40,서울특별시,10133734.0,2014,5,3305028.0,37.551638,126.993243
41,서울특별시,10129223.0,2014,6,3649218.0,37.551638,126.993243
42,서울특별시,10125912.0,2014,7,4072242.0,37.551638,126.993243
43,서울특별시,10124243.0,2014,8,4260833.0,37.551638,126.993243
44,서울특별시,10122661.0,2014,9,3844677.0,37.551638,126.993243
45,서울특별시,10117909.0,2014,10,3396751.0,37.551638,126.993243
46,서울특별시,10112156.0,2014,11,3403955.0,37.551638,126.993243
47,서울특별시,10103233.0,2014,12,3941504.0,37.551638,126.993243
48,서울특별시,10104515.0,2015,1,4281117.0,37.551638,126.993243
49,서울특별시,10105206.0,2015,2,4023566.0,37.551638,126.993243
50,서울특별시,10100987.0,2015,3,3592926.0,37.551638,126.993243
51,서울특별시,10094889.0,2015,4,3512071.0,37.551638,126.993243
52,서울특별시,10088393.0,2015,5,3324249.0,37.551638,126.993243
53,서울특별시,10078850.0,2015,6,3637371.0,37.551638,126.993243
54,서울특별시,10071654.0,2015,7,3982172.0,37.551638,126.993243
55,서울특별시,10063197.0,2015,8,4471860.0,37.551638,126.993243
56,서울특별시,10055027.0,2015,9,4006650.0,37.551638,126.993243
57,서울특별시,10045027.0,2015,10,3375006.0,37.551638,126.993243
58,서울특별시,10035597.0,2015,11,3395776.0,37.551638,126.993243
59,서울특별시,10022181.0,2015,12,3778722.0,37.551638,126.993243
60,서울특별시,10018537.0,2016,1,4151770.0,37.551638,126.993243
61,서울특별시,10014261.0,2016,2,4174917.0,37.551638,126.993243
62,서울특별시,10009588.0,2016,3,3729909.0,37.551638,126.993243
63,서울특별시,10002979.0,2016,4,3457927.0,37.551638,126.993243
64,서울특별시,9995784.0,2016,5,3340823.0,37.551638,126.993243
65,서울특별시,9989795.0,2016,6,3715673.0,37.551638,126.993243
66,서울특별시,9981673.0,2016,7,4101888.0,37.551638,126.993243
67,서울특별시,9971111.0,2016,8,4852558.0,37.551638,126.993243
68,서울특별시,9964291.0,2016,9,4206131.0,37.551638,126.993243
69,서울특별시,9954791.0,2016,10,3436055.0,37.551638,126.993243
70,서울특별시,9943333.0,2016,11,3479675.0,37.551638,126.993243
71,서울특별시,9930616.0,2016,12,3845908.0,37.551638,126.993243
