,년월,연도,월,시도,사용량,위도,경도
0,2010_1,2010,1,강원도,1480180,37.820812,128.156579
1,2011_1,2011,1,강원도,1582163,37.820812,128.156579
2,2012_1,2012,1,강원도,1595626,37.820812,128.156579
3,2013_1,2013,1,강원도,1612242,37.820812,128.156579
4,2014_1,2014,1,강원도,1559679,37.820812,128.156579
5,2015_1,2015,1,강원도,1617029,37.820812,128.156579
6,2016_1,2016,1,강원도,1571855,37.820812,128.156579
7,2017_1,2017,1,강원도,1579863,37.820812,128.156579
8,2018_1,2018,1,강원도,1668339,37.820812,128.156579
9,2019_1,2019,1,강원도,1660463,37.820812,128.156579
10,2020_1,2020,1,강원도,1547410,37.820812,128.156579
11,2021_1,2021,1,강원도,1629812,37.820812,128.156579
12,2010_2,2010,2,강원도,1382020,37.820812,128.156579
13,2011_2,2011,2,강원도,1520498,37.820812,128.156579
14,2012_2,2012,2,강원도,1546100,37.820812,128.156579
15,2013_2,2013,2,강원도,1494196,37.820812,128.156579
16,2014_2,2014,2,강원도,1447941,37.820812,128.156579
17,2015_2,2015,2,강원도,1498837,37.820812,128.156579
18,2016_2,2016,2,강원도,1550976,37.820812,128.156579
19,2017_2,2017,2,강원도,1570620,37.820812,128.156579
20,2018_2,2018,2,강원도,1674745,37.820812,128.156579
21,2019_2,2019,2,강원도,1512411,37.820812,128.156579
22,2020_2,2020,2,강원도,1501655,37.820812,128.156579
23,2021_2,2021,2,강원도,1539605,37.820812,128.156579
24,2010_3,2010,3,강원도,1308429,37.820812,128.156579
25,2011_3,2011,3,강원도,1420666,37.820812,128.156579
26,2012_3,2012,3,강원도,1471927,37.820812,128.156579
27,2013_3,2013,3,강원도,1401610,37.820812,128.156579
28,2014_3,2014,3,강원도,1394556,37.820812,128.156579
29,2015_3,2015,3,강원도,1438930,37.820812,128.156579
30,2016_3,2016,3,강원도,1467505,37.820812,128.156579
31,2017_3,2017,3,강원도,1460105,37.820812,128.156579
32,2018_3,2018,3,강원도,1485135,37.820812,128.156579
33,2019_3,2019,3,강원도,1401415,37.820812,128.156579
34,2020_3,2020,3,강원도,1400869,37.820812,128.156579
35,2021_3,2021,3,강원도,1395074,37.820812,128.156579
36,2010_4,2010,4,강원도,1317499,37.820812,128.156579
37,2011_4,2011,4,강원도,1361937,37.820812,128.156579
38,2012_4,2012,4,강원도,1382879,37.820812,128.156579
39,2013_4,2013,4,강원도,1373728,37.820812,128.156579
40,2014_4,2014,4,강원도,1313298,37.820812,128.156579
41,2015_4,2015,4,강원도,1376925,37.820812,128.156579
42,2016_4,2016,4,강원도,1451457,37.820812,128.156579
43,2017_4,2017,4,강원도,1390748,37.820812,128.156579
44,2018_4,2018,4,강원도,1370294,37.820812,128.156579
45,2019_4,2019,4,강원도,1376039,37.820812,128.156579
46,2020_4,2020,4,강원도,1346006,37.820812,128.156579
47,2021_4,2021,4,강원도,1334516,37.820812,128.156579
48,2010_5,2010,5,강원도,1185530,37.820812,128.156579
49,2011_5,2011,5,강원도,1245617,37.820812,128.156579
50,2012_5,2012,5,강원도,1230593,37.820812,128.156579
51,2013_5,2013,5,강원도,1281395,37.820812,128.156579
52,2014_5,2014,5,강원도,1222477,37.820812,128.156579
53,2015_5,2015,5,강원도,1265816,37.820812,128.156579
54,2016_5,2016,5,강원도,1263447,37.820812,128.156579
55,2017_5,2017,5,강원도,1260135,37.820812,128.156579
56,2018_5,2018,5,강원도,1262858,37.820812,128.156579
57,2019_5,2019,5,강원도,1267172,37.820812,128.156579
58,2020_5,2020,5,강원도,1225449,37.820812,128.156579
59,2021_5,2021,5,강원도,1291702,37.820812,128.156579
60,2010_6,2010,6,강원도,1114450,37.820812,128.156579
61,2011_6,2011,6,강원도,1184828,37.820812,128.156579
62,2012_6,2012,6,강원도,1186370,37.820812,128.156579
63,2013_6,2013,6,강원도,1179135,37.820812,128.156579
