,연월,시도,인구밀도,연도,월,위도,경도
0,2011.01,서울특별시,17046,2011,1,37.551638,126.993243
1,2011.02,서울특별시,17048,2011,2,37.551638,126.993243
2,2011.03,서울특별시,17037,2011,3,37.551638,126.993243
3,2011.04,서울특별시,17027,2011,4,37.551638,126.993243
4,2011.05,서울특별시,17017,2011,5,37.551638,126.993243
5,2011.06,서울특별시,17005,2011,6,37.551638,126.993243
6,2011.07,서울특별시,16995,2011,7,37.551638,126.993243
7,2011.08,서울특별시,16987,2011,8,37.551638,126.993243
8,2011.09,서울특별시,16978,2011,9,37.551638,126.993243
9,2011.1,서울특별시,16968,2011,10,37.551638,126.993243
10,2011.11,서울특별시,16954,2011,11,37.551638,126.993243
11,2011.12,서울특별시,16941,2011,12,37.551638,126.993243
12,2012.01,서울특별시,16942,2012,1,37.551638,126.993243
13,2012.02,서울특별시,16944,2012,2,37.551638,126.993243
14,2012.03,서울특별시,16935,2012,3,37.551638,126.993243
15,2012.04,서울특별시,16927,2012,4,37.551638,126.993243
16,2012.05,서울특별시,16920,2012,5,37.551638,126.993243
17,2012.06,서울특별시,16912,2012,6,37.551638,126.993243
18,2012.07,서울특별시,16905,2012,7,37.551638,126.993243
19,2012.08,서울특별시,16897,2012,8,37.551638,126.993243
20,2012.09,서울특별시,16891,2012,9,37.551638,126.993243
21,2012.1,서울특별시,16880,2012,10,37.551638,126.993243
22,2012.11,서울특별시,16869,2012,11,37.551638,126.993243
23,2012.12,서울특별시,16851,2012,12,37.551638,126.993243
24,2013.01,서울특별시,16851,2013,1,37.551638,126.993243
25,2013.02,서울특별시,16853,2013,2,37.551638,126.993243
26,2013.03,서울특별시,16846,2013,3,37.551638,126.993243
27,2013.04,서울특별시,16836,2013,4,37.551638,126.993243
28,2013.05,서울특별시,16829,2013,5,37.551638,126.993243
29,2013.06,서울특별시,16820,2013,6,37.551638,126.993243
30,2013.07,서울특별시,16813,2013,7,37.551638,126.993243
31,2013.08,서울특별시,16808,2013,8,37.551638,126.993243
32,2013.09,서울특별시,16804,2013,9,37.551638,126.993243
33,2013.1,서울특별시,16796,2013,10,37.551638,126.993243
34,2013.11,서울특별시,16783,2013,11,37.551638,126.993243
35,2013.12,서울특별시,16766,2013,12,37.551638,126.993243
36,2014.01,서울특별시,16765,2014,1,37.551638,126.993243
37,2014.02,서울특별시,16767,2014,2,37.551638,126.993243
38,2014.03,서울특별시,16763,2014,3,37.551638,126.993243
39,2014.04,서울특별시,16755,2014,4,37.551638,126.993243
40,2014.05,서울특별시,16749,2014,5,37.551638,126.993243
41,2014.06,서울특별시,16742,2014,6,37.551638,126.993243
42,2014.07,서울특별시,16737,2014,7,37.551638,126.993243
43,2014.08,서울특별시,16734,2014,8,37.551638,126.993243
44,2014.09,서울특별시,16731,2014,9,37.551638,126.993243
45,2014.1,서울특별시,16723,2014,10,37.551638,126.993243
46,2014.11,서울특별시,16714,2014,11,37.551638,126.993243
47,2014.12,서울특별시,16699,2014,12,37.551638,126.993243
48,2015.01,서울특별시,16701,2015,1,37.551638,126.993243
49,2015.02,서울특별시,16702,2015,2,37.551638,126.993243
50,2015.03,서울특별시,16695,2015,3,37.551638,126.993243
51,2015.04,서울특별시,16685,2015,4,37.551638,126.993243
52,2015.05,서울특별시,16675,2015,5,37.551638,126.993243
53,2015.06,서울특별시,16659,2015,6,37.551638,126.993243
54,2015.07,서울특별시,16647,2015,7,37.551638,126.993243
55,2015.08,서울특별시,16633,2015,8,37.551638,126.993243
56,2015.09,서울특별시,16619,2015,9,37.551638,126.993243
57,2015.1,서울특별시,16603,2015,10,37.551638,126.993243
58,2015.11,서울특별시,16587,2015,11,37.551638,126.993243
59,2015.12,서울특별시,16565,2015,12,37.551638,126.993243
