,년월,연도,월,시도,사용량,인구밀도,위도,경도
0,2011-01-01,2011,1,강원도,1582163.0,91.0,37.820812,128.156579
1,2012-01-01,2012,1,강원도,1595626.0,91.0,37.820812,128.156579
2,2013-01-01,2013,1,강원도,1612242.0,91.0,37.820812,128.156579
3,2014-01-01,2014,1,강원도,1559679.0,91.0,37.820812,128.156579
4,2015-01-01,2015,1,강원도,1617029.0,91.0,37.820812,128.156579
5,2016-01-01,2016,1,강원도,1571855.0,92.0,37.820812,128.156579
6,2017-01-01,2017,1,강원도,1579863.0,92.0,37.820812,128.156579
7,2018-01-01,2018,1,강원도,1668339.0,91.0,37.820812,128.156579
8,2019-01-01,2019,1,강원도,1660463.0,91.0,37.820812,128.156579
9,2020-01-01,2020,1,강원도,1547410.0,91.0,37.820812,128.156579
10,2021-01-01,2021,1,강원도,1629812.0,91.0,37.820812,128.156579
11,2011-02-01,2011,2,강원도,1520498.0,91.0,37.820812,128.156579
12,2012-02-01,2012,2,강원도,1546100.0,91.0,37.820812,128.156579
13,2013-02-01,2013,2,강원도,1494196.0,91.0,37.820812,128.156579
14,2014-02-01,2014,2,강원도,1447941.0,91.0,37.820812,128.156579
15,2015-02-01,2015,2,강원도,1498837.0,91.0,37.820812,128.156579
16,2016-02-01,2016,2,강원도,1550976.0,91.0,37.820812,128.156579
17,2017-02-01,2017,2,강원도,1570620.0,92.0,37.820812,128.156579
18,2018-02-01,2018,2,강원도,1674745.0,91.0,37.820812,128.156579
19,2019-02-01,2019,2,강원도,1512411.0,91.0,37.820812,128.156579
20,2020-02-01,2020,2,강원도,1501655.0,91.0,37.820812,128.156579
21,2021-02-01,2021,2,강원도,1539605.0,91.0,37.820812,128.156579
22,2011-03-01,2011,3,강원도,1420666.0,91.0,37.820812,128.156579
23,2012-03-01,2012,3,강원도,1471927.0,91.0,37.820812,128.156579
24,2013-03-01,2013,3,강원도,1401610.0,91.0,37.820812,128.156579
25,2014-03-01,2014,3,강원도,1394556.0,91.0,37.820812,128.156579
26,2015-03-01,2015,3,강원도,1438930.0,91.0,37.820812,128.156579
27,2016-03-01,2016,3,강원도,1467505.0,91.0,37.820812,128.156579
28,2017-03-01,2017,3,강원도,1460105.0,91.0,37.820812,128.156579
29,2018-03-01,2018,3,강원도,1485135.0,91.0,37.820812,128.156579
30,2019-03-01,2019,3,강원도,1401415.0,91.0,37.820812,128.156579
31,2020-03-01,2020,3,강원도,1400869.0,91.0,37.820812,128.156579
32,2021-03-01,2021,3,강원도,1395074.0,91.0,37.820812,128.156579
33,2011-04-01,2011,4,강원도,1361937.0,91.0,37.820812,128.156579
34,2012-04-01,2012,4,강원도,1382879.0,91.0,37.820812,128.156579
35,2013-04-01,2013,4,강원도,1373728.0,91.0,37.820812,128.156579
36,2014-04-01,2014,4,강원도,1313298.0,91.0,37.820812,128.156579
37,2015-04-01,2015,4,강원도,1376925.0,91.0,37.820812,128.156579
38,2016-04-01,2016,4,강원도,1451457.0,92.0,37.820812,128.156579
39,2017-04-01,2017,4,강원도,1390748.0,91.0,37.820812,128.156579
40,2018-04-01,2018,4,강원도,1370294.0,91.0,37.820812,128.156579
41,2019-04-01,2019,4,강원도,1376039.0,91.0,37.820812,128.156579
42,2020-04-01,2020,4,강원도,1346006.0,91.0,37.820812,128.156579
43,2021-04-01,2021,4,강원도,1334516.0,91.0,37.820812,128.156579
44,2011-05-01,2011,5,강원도,1245617.0,91.0,37.820812,128.156579
45,2012-05-01,2012,5,강원도,1230593.0,91.0,37.820812,128.156579
46,2013-05-01,2013,5,강원도,1281395.0,91.0,37.820812,128.156579
47,2014-05-01,2014,5,강원도,1222477.0,91.0,37.820812,128.156579
48,2015-05-01,2015,5,강원도,1265816.0,91.0,37.820812,128.156579
49,2016-05-01,2016,5,강원도,1263447.0,91.0,37.820812,128.156579
50,2017-05-01,2017,5,강원도,1260135.0,91.0,37.820812,128.156579
51,2018-05-01,2018,5,강원도,1262858.0,91.0,37.820812,128.156579
52,2019-05-01,2019,5,강원도,1267172.0,91.0,37.820812,128.156579
53,2020-05-01,2020,5,강원도,1225449.0,91.0,37.820812,128.156579
54,2021-05-01,2021,5,강원도,1291702.0,91.0,37.820812,128.156579
55,2011-06-01,2011,6,강원도,1184828.0,91.0,37.820812,128.156579
56,2012-06-01,2012,6,강원도,1186370.0,91.0,37.820812,128.156579
57,2013-06-01,2013,6,강원도,1179135.0,91.0,37.820812,128.156579
58,2014-06-01,2014,6,강원도,1164699.0,91.0,37.820812,128.156579
59,2015-06-01,2015,6,강원도,1219754.0,91.0,37.820812,128.156579
60,2016-06-01,2016,6,강원도,1213047.0,92.0,37.820812,128.156579
61,2017-06-01,2017,6,강원도,1228374.0,91.0,37.820812,128.156579
62,2018-06-01,2018,6,강원도,1250381.0,91.0,37.820812,128.156579
63,2019-06-01,2019,6,강원도,1211985.0,91.0,37.820812,128.156579
64,2020-06-01,2020,6,강원도,1209426.0,91.0,37.820812,128.156579
65,2021-06-01,2021,6,강원도,1274174.0,91.0,37.820812,128.156579
66,2011-07-01,2011,7,강원도,1144760.0,91.0,37.820812,128.156579
67,2012-07-01,2012,7,강원도,1157824.0,91.0,37.820812,128.156579
68,2013-07-01,2013,7,강원도,1135448.0,91.0,37.820812,128.156579
69,2014-07-01,2014,7,강원도,1187271.0,91.0,37.820812,128.156579
70,2015-07-01,2015,7,강원도,1209553.0,91.0,37.820812,128.156579
71,2016-07-01,2016,7,강원도,1239943.0,92.0,37.820812,128.156579
72,2017-07-01,2017,7,강원도,1266281.0,91.0,37.820812,128.156579
73,2018-07-01,2018,7,강원도,1285711.0,91.0,37.820812,128.156579
74,2019-07-01,2019,7,강원도,1230225.0,91.0,37.820812,128.156579
75,2020-07-01,2020,7,강원도,1218509.0,91.0,37.820812,128.156579
76,2021-07-01,2021,7,강원도,1320822.0,91.0,37.820812,128.156579
77,2011-08-01,2011,8,강원도,1176803.0,91.0,37.820812,128.156579
78,2012-08-01,2012,8,강원도,1187258.0,91.0,37.820812,128.156579
79,2013-08-01,2013,8,강원도,1192064.0,91.0,37.820812,128.156579
80,2014-08-01,2014,8,강원도,1214877.0,91.0,37.820812,128.156579
81,2015-08-01,2015,8,강원도,1286166.0,91.0,37.820812,128.156579
82,2016-08-01,2016,8,강원도,1331494.0,92.0,37.820812,128.156579
83,2017-08-01,2017,8,강원도,1309951.0,91.0,37.820812,128.156579
84,2018-08-01,2018,8,강원도,1421772.0,91.0,37.820812,128.156579
85,2019-08-01,2019,8,강원도,1359412.0,91.0,37.820812,128.156579
86,2020-08-01,2020,8,강원도,1263509.0,91.0,37.820812,128.156579
87,2021-08-01,2021,8,강원도,1449135.0,91.0,37.820812,128.156579
88,2011-09-01,2011,9,강원도,1180929.0,91.0,37.820812,128.156579
89,2012-09-01,2012,9,강원도,1137513.0,91.0,37.820812,128.156579
90,2013-09-01,2013,9,강원도,1163211.0,91.0,37.820812,128.156579
91,2014-09-01,2014,9,강원도,1179709.0,91.0,37.820812,128.156579
92,2015-09-01,2015,9,강원도,1245384.0,92.0,37.820812,128.156579
93,2016-09-01,2016,9,강원도,1270819.0,92.0,37.820812,128.156579
94,2017-09-01,2017,9,강원도,1242820.0,91.0,37.820812,128.156579
95,2018-09-01,2018,9,강원도,1265459.0,91.0,37.820812,128.156579
96,2019-09-01,2019,9,강원도,1261886.0,91.0,37.820812,128.156579
97,2020-09-01,2020,9,강원도,1313721.0,91.0,37.820812,128.156579
98,2021-09-01,2021,9,강원도,1312553.0,91.0,37.820812,128.156579
99,2011-10-01,2011,10,강원도,1242326.0,91.0,37.820812,128.156579
100,2012-10-01,2012,10,강원도,1160784.0,91.0,37.820812,128.156579
101,2013-10-01,2013,10,강원도,1158325.0,91.0,37.820812,128.156579
102,2014-10-01,2014,10,강원도,1226324.0,91.0,37.820812,128.156579
103,2015-10-01,2015,10,강원도,1243791.0,92.0,37.820812,128.156579
104,2016-10-01,2016,10,강원도,1236128.0,92.0,37.820812,128.156579
