,연도,시도,사용량,지역내총생산,위도,경도
0,2010,강원도,14848023,35452559,37.820812,128.156579
1,2010,경기도,93074871,300716256,37.412505,127.520017
2,2010,경상남도,31549217,98297235,35.460156,128.215601
3,2010,경상북도,41589043,92044050,36.327952,128.951526
4,2010,광주광역시,7860058,30457831,35.15484,126.836647
5,2010,대구광역시,14479993,44114977,35.825757,128.576897
6,2010,대전광역시,8867404,33247905,36.339403,127.396923
7,2010,부산광역시,20263683,71968834,35.209853,129.069121
8,2010,서울특별시,47295099,333249300,37.551638,126.993243
9,2010,세종특별자치시,0,0,36.560326,127.258638
10,2010,울산광역시,26515697,66254235,35.553064,129.254432
11,2010,인천광역시,21827574,69301148,37.455307,126.70392
12,2010,전라남도,25059938,67644440,34.867289,126.993547
13,2010,전라북도,18949074,41674930,35.717518,127.156528
14,2010,제주특별자치도,3574622,12380394,33.424967,126.778084
15,2010,충청남도,38809315,92056862,36.717428,126.801751
16,2010,충청북도,19444832,43503412,36.999466,127.700783
17,2011,강원도,15876045,36296644,37.820812,128.156579
18,2011,경기도,96844519,313748238,37.412505,127.520017
19,2011,경상남도,33071206,101258402,35.460156,128.215601
20,2011,경상북도,44167300,94466406,36.327952,128.951526
21,2011,광주광역시,8047384,31011787,35.15484,126.836647
22,2011,대구광역시,14821946,45657599,35.825757,128.576897
23,2011,대전광역시,9059777,34446444,36.339403,127.396923
24,2011,부산광역시,20561973,73792908,35.209853,129.069121
25,2011,서울특별시,46902993,343756313,37.551638,126.993243
26,2011,세종특별자치시,0,0,36.560326,127.258638
27,2011,울산광역시,28198241,71517190,35.553064,129.254432
28,2011,인천광역시,22241137,70536942,37.455307,126.70392
29,2011,전라남도,27136868,66697766,34.867289,126.993547
30,2011,전라북도,21168362,43285951,35.717518,127.156528
31,2011,제주특별자치도,3710080,13231976,33.424967,126.778084
32,2011,충청남도,42650114,98515870,36.717428,126.801751
33,2011,충청북도,20453353,46066868,36.999466,127.700783
34,2012,강원도,15904385,37021010,37.820812,128.156579
35,2012,경기도,100291952,327820620,37.412505,127.520017
36,2012,경상남도,33014944,103911994,35.460156,128.215601
37,2012,경상북도,44799528,95229383,36.327952,128.951526
38,2012,광주광역시,8130491,31650181,35.15484,126.836647
39,2012,대구광역시,14954959,47367831,35.825757,128.576897
40,2012,대전광역시,9160104,34977219,36.339403,127.396923
41,2012,부산광역시,20664844,75742868,35.209853,129.069121
42,2012,서울특별시,47234105,348568408,37.551638,126.993243
43,2012,세종특별자치시,578610,0,36.560326,127.258638
44,2012,울산광역시,29362726,71957705,35.553064,129.254432
45,2012,인천광역시,22651945,73129842,37.455307,126.70392
46,2012,전라남도,28484707,67142356,34.867289,126.993547
47,2012,전라북도,21462321,43728235,35.717518,127.156528
48,2012,제주특별자치도,3864639,14067649,33.424967,126.778084
49,2012,충청남도,44492419,99219568,36.717428,126.801751
50,2012,충청북도,21361912,47647389,36.999466,127.700783
51,2013,강원도,15794740,38211948,37.820812,128.156579
52,2013,경기도,102227064,346430719,37.412505,127.520017
53,2013,경상남도,33530620,104475348,35.460156,128.215601
54,2013,경상북도,45444250,98842637,36.327952,128.951526
55,2013,광주광역시,8274075,32859385,35.15484,126.836647
56,2013,대구광역시,15080053,49036361,35.825757,128.576897
57,2013,대전광역시,9225139,35375467,36.339403,127.396923
58,2013,부산광역시,20364701,77000292,35.209853,129.069121
59,2013,서울특별시,46555107,354319250,37.551638,126.993243
60,2013,세종특별자치시,2345528,6883305,36.560326,127.258638
61,2013,울산광역시,29992967,72322408,35.553064,129.254432
62,2013,인천광역시,22673440,75073082,37.455307,126.70392
63,2013,전라남도,30302072,68435908,34.867289,126.993547
64,2013,전라북도,21708660,45637671,35.717518,127.156528
65,2013,제주특별자치도,4094900,14763437,33.424967,126.778084
66,2013,충청남도,45466811,97403497,36.717428,126.801751
67,2013,충청북도,21665045,49519653,36.999466,127.700783
68,2014,강원도,15778145,40077987,37.820812,128.156579
69,2014,경기도,102180707,362159526,37.412505,127.520017
