,시도,연도,지역내총생산,위도,경도
0,서울특별시,2010,333249300,37.551638,126.993243
1,서울특별시,2011,343756313,37.551638,126.993243
2,서울특별시,2012,348568408,37.551638,126.993243
3,서울특별시,2013,354319250,37.551638,126.993243
4,서울특별시,2014,359661759,37.551638,126.993243
5,서울특별시,2015,370167867,37.551638,126.993243
6,서울특별시,2016,380679274,37.551638,126.993243
7,서울특별시,2017,389584629,37.551638,126.993243
8,서울특별시,2018,403605888,37.551638,126.993243
9,서울특별시,2019,414092568,37.551638,126.993243
10,서울특별시,2020,417638547,37.551638,126.993243
11,서울특별시,2021,432406018,37.551638,126.993243
12,부산광역시,2010,71968834,35.209853,129.069121
13,부산광역시,2011,73792908,35.209853,129.069121
14,부산광역시,2012,75742868,35.209853,129.069121
15,부산광역시,2013,77000292,35.209853,129.069121
16,부산광역시,2014,80258570,35.209853,129.069121
17,부산광역시,2015,82701497,35.209853,129.069121
18,부산광역시,2016,84114530,35.209853,129.069121
19,부산광역시,2017,85441974,35.209853,129.069121
20,부산광역시,2018,86889875,35.209853,129.069121
21,부산광역시,2019,89105372,35.209853,129.069121
22,부산광역시,2020,85962709,35.209853,129.069121
23,부산광역시,2021,87906722,35.209853,129.069121
24,대구광역시,2010,44114977,35.825757,128.576897
25,대구광역시,2011,45657599,35.825757,128.576897
26,대구광역시,2012,47367831,35.825757,128.576897
27,대구광역시,2013,49036361,35.825757,128.576897
28,대구광역시,2014,50329551,35.825757,128.576897
29,대구광역시,2015,51822013,35.825757,128.576897
30,대구광역시,2016,51823902,35.825757,128.576897
31,대구광역시,2017,52721214,35.825757,128.576897
32,대구광역시,2018,53964991,35.825757,128.576897
33,대구광역시,2019,54762237,35.825757,128.576897
34,대구광역시,2020,53668577,35.825757,128.576897
35,대구광역시,2021,56026338,35.825757,128.576897
36,인천광역시,2010,69301148,37.455307,126.70392
37,인천광역시,2011,70536942,37.455307,126.70392
38,인천광역시,2012,73129842,37.455307,126.70392
39,인천광역시,2013,75073082,37.455307,126.70392
40,인천광역시,2014,78694187,37.455307,126.70392
41,인천광역시,2015,80137506,37.455307,126.70392
42,인천광역시,2016,82257112,37.455307,126.70392
43,인천광역시,2017,85791563,37.455307,126.70392
44,인천광역시,2018,86426825,37.455307,126.70392
45,인천광역시,2019,87963593,37.455307,126.70392
46,인천광역시,2020,84907539,37.455307,126.70392
