,시도,연도,지역내총생산
0,서울특별시,2010,333249300
1,부산광역시,2010,71968834
2,대구광역시,2010,44114977
3,인천광역시,2010,69301148
4,광주광역시,2010,30457831
5,대전광역시,2010,33247905
6,울산광역시,2010,66254235
7,세종특별자치시,2010,0
8,경기도,2010,300716256
9,강원도,2010,35452559
10,충청북도,2010,43503412
11,충청남도,2010,92056862
12,전라북도,2010,41674930
13,전라남도,2010,67644440
14,경상북도,2010,92044050
15,경상남도,2010,98297235
16,제주특별자치도,2010,12380394
17,서울특별시,2011,343756313
18,부산광역시,2011,73792908
19,대구광역시,2011,45657599
20,인천광역시,2011,70536942
21,광주광역시,2011,31011787
22,대전광역시,2011,34446444
23,울산광역시,2011,71517190
24,세종특별자치시,2011,0
25,경기도,2011,313748238
26,강원도,2011,36296644
27,충청북도,2011,46066868
28,충청남도,2011,98515870
29,전라북도,2011,43285951
30,전라남도,2011,66697766
31,경상북도,2011,94466406
32,경상남도,2011,101258402
33,제주특별자치도,2011,13231976
34,서울특별시,2012,348568408
35,부산광역시,2012,75742868
36,대구광역시,2012,47367831
37,인천광역시,2012,73129842
38,광주광역시,2012,31650181
39,대전광역시,2012,34977219
40,울산광역시,2012,71957705
41,세종특별자치시,2012,0
42,경기도,2012,327820620
43,강원도,2012,37021010
44,충청북도,2012,47647389
45,충청남도,2012,99219568
46,전라북도,2012,43728235
47,전라남도,2012,67142356
48,경상북도,2012,95229383
49,경상남도,2012,103911994
50,제주특별자치도,2012,14067649
51,서울특별시,2013,354319250
52,부산광역시,2013,77000292
53,대구광역시,2013,49036361
54,인천광역시,2013,75073082
55,광주광역시,2013,32859385
56,대전광역시,2013,35375467
57,울산광역시,2013,72322408
58,세종특별자치시,2013,6883305
59,경기도,2013,346430719
60,강원도,2013,38211948
61,충청북도,2013,49519653
62,충청남도,2013,97403497
63,전라북도,2013,45637671
64,전라남도,2013,68435908
65,경상북도,2013,98842637
66,경상남도,2013,104475348
67,제주특별자치도,2013,14763437
68,서울특별시,2014,359661759
69,부산광역시,2014,80258570
70,대구광역시,2014,50329551
71,인천광역시,2014,78694187
72,광주광역시,2014,34169569
73,대전광역시,2014,36081650
74,울산광역시,2014,72408971
75,세종특별자치시,2014,8635120
76,경기도,2014,362159526
77,강원도,2014,40077987
78,충청북도,2014,51596699
79,충청남도,2014,100199403
80,전라북도,2014,46567890
81,전라남도,2014,68405097
82,경상북도,2014,105901155
83,경상남도,2014,104843574
84,제주특별자치도,2014,15785920
85,서울특별시,2015,370167867
86,부산광역시,2015,82701497
87,대구광역시,2015,51822013
88,인천광역시,2015,80137506
89,광주광역시,2015,34845589
90,대전광역시,2015,37162614
91,울산광역시,2015,72854409
92,세종특별자치시,2015,9261543
93,경기도,2015,381978306
94,강원도,2015,40867985
95,충청북도,2015,55191633
96,충청남도,2015,101299131
97,전라북도,2015,47018028
98,전라남도,2015,68878376
99,경상북도,2015,103120174
100,경상남도,2015,106590936
101,제주특별자치도,2015,16946709
102,서울특별시,2016,380679274
103,부산광역시,2016,84114530
104,대구광역시,2016,51823902
105,인천광역시,2016,82257112
106,광주광역시,2016,35933462
107,대전광역시,2016,38456557
108,울산광역시,2016,73477668
