,연도,월,물가지수,사용량
0,2010,1,85.351,2335102
1,2010,2,85.523,2188707
2,2010,3,85.696,2091419
3,2010,4,86.041,2115785
4,2010,5,86.128,1988778
5,2010,6,86.041,1989683
6,2010,7,86.214,2090517
7,2010,8,86.647,2191269
8,2010,9,87.337,2131954
9,2010,10,87.337,1973165
10,2010,11,86.906,2123175
11,2010,12,87.251,2310349
12,2011,1,88.288,2535239
13,2011,2,88.892,2343107
14,2011,3,89.238,2260801
15,2011,4,89.325,2218604
16,2011,5,89.497,2085554
17,2011,6,89.67,2102778
18,2011,7,90.102,2193162
19,2011,8,90.707,2256481
20,2011,9,90.62,2168203
21,2011,10,90.448,2094312
22,2011,11,90.534,2168674
23,2011,12,90.879,2332567
24,2012,1,91.242,2498215
25,2012,2,91.588,2465632
26,2012,3,91.614,2371065
27,2012,4,91.605,2263786
28,2012,5,91.769,2139747
29,2012,6,91.639,2152759
30,2012,7,91.432,2243203
31,2012,8,91.855,2346240
32,2012,9,92.512,2227550
33,2012,10,92.339,2052624
34,2012,11,92.011,2230360
35,2012,12,92.175,2444965
36,2013,1,92.728,2616024
37,2013,2,93.038,2411552
38,2013,3,92.952,2323783
39,2013,4,92.823,2294385
40,2013,5,92.823,2203518
41,2013,6,92.71,2197990
42,2013,7,92.909,2304198
43,2013,8,93.238,2391003
44,2013,9,93.419,2281235
45,2013,10,93.134,2173316
46,2013,11,93.116,2265934
47,2013,12,93.229,2463243
48,2014,1,93.73,2574024
49,2014,2,93.98,2423945
50,2014,3,94.153,2389529
51,2014,4,94.214,2309050
52,2014,5,94.369,2198683
53,2014,6,94.248,2226013
54,2014,7,94.386,2352646
55,2014,8,94.551,2354869
56,2014,9,94.49,2244793
57,2014,10,94.205,2224438
58,2014,11,94.015,2278167
59,2014,12,94.006,2506989
60,2015,1,94.643,2671958
61,2015,2,94.587,2459326
62,2015,3,94.596,2403517
63,2015,4,94.625,2356720
64,2015,5,94.89,2227999
65,2015,6,94.909,2254741
66,2015,7,95.08,2316382
67,2015,8,95.213,2466410
68,2015,9,94.966,2335534
69,2015,10,94.966,2203005
70,2015,11,94.786,2286089
71,2015,12,95.07,2457388
72,2016,1,95.232,2625318
73,2016,2,95.64,2562954
74,2016,3,95.393,2485010
75,2016,4,95.573,2360203
76,2016,5,95.63,2249152
77,2016,6,95.611,2333418
78,2016,7,95.431,2387664
79,2016,8,95.677,2612461
80,2016,9,96.247,2423759
81,2016,10,96.379,2267598
82,2016,11,96.237,2368027
83,2016,12,96.342,2560809
84,2017,1,97.366,2658644
85,2017,2,97.632,2613082
86,2017,3,97.565,2503443
87,2017,4,97.442,2400650
88,2017,5,97.546,2279052
89,2017,6,97.338,2333686
90,2017,7,97.499,2541676
91,2017,8,98.058,2667866
92,2017,9,98.172,2490357
93,2017,10,98.077,2256987
94,2017,11,97.347,2429005
95,2017,12,97.698,2692972
96,2018,1,98.106,2844805
97,2018,2,98.855,2749987
98,2018,3,98.751,2525663
99,2018,4,98.931,2472500
100,2018,5,98.979,2384145
101,2018,6,98.779,2414449
102,2018,7,98.59,2589997
103,2018,8,99.462,2913652
104,2018,9,100.221,2572296
105,2018,10,100.041,2351616
106,2018,11,99.33,2465007
107,2018,12,98.988,2665726
108,2019,1,98.884,2861434
109,2019,2,99.311,2609034
110,2019,3,99.121,2534627
111,2019,4,99.481,2496506
112,2019,5,99.652,2394588
113,2019,6,99.491,2389400
114,2019,7,99.187,2527422
115,2019,8,99.425,2797554
116,2019,9,99.794,2567605
117,2019,10,100.041,2389577
118,2019,11,99.481,2418327
119,2019,12,99.719,2631270
120,2020,1,100.09,2725112
121,2020,2,100.16,2617550
122,2020,3,99.94,2521799
123,2020,4,99.5,2380893
124,2020,5,99.44,2254565
125,2020,6,99.71,2338405
126,2020,7,99.63,2474574
127,2020,8,100.19,2623483
128,2020,9,100.74,2653576
129,2020,10,100.18,2297959
130,2020,11,100.09,2420360
131,2020,12,100.33,2648651
132,2021,1,101.04,2867974
133,2021,2,101.58,2658115
134,2021,3,101.84,2533786
135,2021,4,101.98,2464686
136,2021,5,102.05,2402486
137,2021,6,102.05,2472463
138,2021,7,102.26,2704223
139,2021,8,102.75,2878232
140,2021,9,103.17,2636404
141,2021,10,103.35,2461071
142,2021,11,103.87,2519389
143,2021,12,104.04,2779448
