,연도,월,물가지수,사용량,기간
0,2010,1,85.351,2335102,2010.01
1,2010,2,85.523,2188707,2010.02
2,2010,3,85.696,2091419,2010.03
3,2010,4,86.041,2115785,2010.04
4,2010,5,86.128,1988778,2010.05
5,2010,6,86.041,1989683,2010.06
6,2010,7,86.214,2090517,2010.07
7,2010,8,86.647,2191269,2010.08
8,2010,9,87.337,2131954,2010.09
9,2010,10,87.337,1973165,2010.1
10,2010,11,86.906,2123175,2010.11
11,2010,12,87.251,2310349,2010.12
12,2011,1,88.288,2535239,2011.01
13,2011,2,88.892,2343107,2011.02
14,2011,3,89.238,2260801,2011.03
15,2011,4,89.325,2218604,2011.04
16,2011,5,89.497,2085554,2011.05
17,2011,6,89.67,2102778,2011.06
18,2011,7,90.102,2193162,2011.07
19,2011,8,90.707,2256481,2011.08
20,2011,9,90.62,2168203,2011.09
21,2011,10,90.448,2094312,2011.1
22,2011,11,90.534,2168674,2011.11
23,2011,12,90.879,2332567,2011.12
24,2012,1,91.242,2498215,2012.01
25,2012,2,91.588,2465632,2012.02
26,2012,3,91.614,2371065,2012.03
27,2012,4,91.605,2263786,2012.04
28,2012,5,91.769,2139747,2012.05
29,2012,6,91.639,2152759,2012.06
30,2012,7,91.432,2243203,2012.07
31,2012,8,91.855,2346240,2012.08
32,2012,9,92.512,2227550,2012.09
33,2012,10,92.339,2052624,2012.1
34,2012,11,92.011,2230360,2012.11
35,2012,12,92.175,2444965,2012.12
36,2013,1,92.728,2616024,2013.01
37,2013,2,93.038,2411552,2013.02
38,2013,3,92.952,2323783,2013.03
39,2013,4,92.823,2294385,2013.04
40,2013,5,92.823,2203518,2013.05
41,2013,6,92.71,2197990,2013.06
42,2013,7,92.909,2304198,2013.07
43,2013,8,93.238,2391003,2013.08
44,2013,9,93.419,2281235,2013.09
45,2013,10,93.134,2173316,2013.1
46,2013,11,93.116,2265934,2013.11
47,2013,12,93.229,2463243,2013.12
48,2014,1,93.73,2574024,2014.01
49,2014,2,93.98,2423945,2014.02
50,2014,3,94.153,2389529,2014.03
51,2014,4,94.214,2309050,2014.04
52,2014,5,94.369,2198683,2014.05
53,2014,6,94.248,2226013,2014.06
54,2014,7,94.386,2352646,2014.07
55,2014,8,94.551,2354869,2014.08
56,2014,9,94.49,2244793,2014.09
57,2014,10,94.205,2224438,2014.1
58,2014,11,94.015,2278167,2014.11
59,2014,12,94.006,2506989,2014.12
60,2015,1,94.643,2671958,2015.01
61,2015,2,94.587,2459326,2015.02
62,2015,3,94.596,2403517,2015.03
63,2015,4,94.625,2356720,2015.04
64,2015,5,94.89,2227999,2015.05
65,2015,6,94.909,2254741,2015.06
66,2015,7,95.08,2316382,2015.07
67,2015,8,95.213,2466410,2015.08
68,2015,9,94.966,2335534,2015.09
69,2015,10,94.966,2203005,2015.1
70,2015,11,94.786,2286089,2015.11
71,2015,12,95.07,2457388,2015.12
72,2016,1,95.232,2625318,2016.01
73,2016,2,95.64,2562954,2016.02
74,2016,3,95.393,2485010,2016.03
75,2016,4,95.573,2360203,2016.04
76,2016,5,95.63,2249152,2016.05
77,2016,6,95.611,2333418,2016.06
78,2016,7,95.431,2387664,2016.07
79,2016,8,95.677,2612461,2016.08
80,2016,9,96.247,2423759,2016.09
81,2016,10,96.379,2267598,2016.1
82,2016,11,96.237,2368027,2016.11
83,2016,12,96.342,2560809,2016.12
84,2017,1,97.366,2658644,2017.01
85,2017,2,97.632,2613082,2017.02
86,2017,3,97.565,2503443,2017.03
87,2017,4,97.442,2400650,2017.04
88,2017,5,97.546,2279052,2017.05
89,2017,6,97.338,2333686,2017.06
90,2017,7,97.499,2541676,2017.07
91,2017,8,98.058,2667866,2017.08
92,2017,9,98.172,2490357,2017.09
93,2017,10,98.077,2256987,2017.1
94,2017,11,97.347,2429005,2017.11
95,2017,12,97.698,2692972,2017.12
96,2018,1,98.106,2844805,2018.01
97,2018,2,98.855,2749987,2018.02
98,2018,3,98.751,2525663,2018.03
99,2018,4,98.931,2472500,2018.04
100,2018,5,98.979,2384145,2018.05
101,2018,6,98.779,2414449,2018.06
102,2018,7,98.59,2589997,2018.07
103,2018,8,99.462,2913652,2018.08
104,2018,9,100.221,2572296,2018.09
105,2018,10,100.041,2351616,2018.1
106,2018,11,99.33,2465007,2018.11
107,2018,12,98.988,2665726,2018.12
108,2019,1,98.884,2861434,2019.01
109,2019,2,99.311,2609034,2019.02
110,2019,3,99.121,2534627,2019.03
111,2019,4,99.481,2496506,2019.04
112,2019,5,99.652,2394588,2019.05
113,2019,6,99.491,2389400,2019.06
114,2019,7,99.187,2527422,2019.07
115,2019,8,99.425,2797554,2019.08
116,2019,9,99.794,2567605,2019.09
117,2019,10,100.041,2389577,2019.1
118,2019,11,99.481,2418327,2019.11
119,2019,12,99.719,2631270,2019.12
120,2020,1,100.09,2725112,2020.01
121,2020,2,100.16,2617550,2020.02
122,2020,3,99.94,2521799,2020.03
123,2020,4,99.5,2380893,2020.04
124,2020,5,99.44,2254565,2020.05
125,2020,6,99.71,2338405,2020.06
126,2020,7,99.63,2474574,2020.07
127,2020,8,100.19,2623483,2020.08
128,2020,9,100.74,2653576,2020.09
129,2020,10,100.18,2297959,2020.1
130,2020,11,100.09,2420360,2020.11
131,2020,12,100.33,2648651,2020.12
132,2021,1,101.04,2867974,2021.01
133,2021,2,101.58,2658115,2021.02
134,2021,3,101.84,2533786,2021.03
135,2021,4,101.98,2464686,2021.04
136,2021,5,102.05,2402486,2021.05
137,2021,6,102.05,2472463,2021.06
138,2021,7,102.26,2704223,2021.07
139,2021,8,102.75,2878232,2021.08
140,2021,9,103.17,2636404,2021.09
141,2021,10,103.35,2461071,2021.1
142,2021,11,103.87,2519389,2021.11
143,2021,12,104.04,2779448,2021.12
