"월별(1)",2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"월별(1)",합계,주택용,일반용,교육용,산업용,농사용,가로등,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용
"월별(1)",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",434160228,82889658,97410032,7452576,232672176,10654295,3081490,455070261,63523655,99504065,7568016,251490648,11231538,3145498,18606840,466592949,65483733,101592760,7860449,258101933,12776045,3158091,17619937,474848580,65814572,102196338,7947317,265372531,13865837,3156226,16495759,477591701,64457263,100760879,7438374,272551573,14504731,3221008,14657873,483654816,65618610,103679346,7690600,273547997,15702468,3341240,14074556,497038904,68056786,108616888,8079392,278827855,16579843,3462314,13415826,507746386,68543760,111297776,8316290,285969563,17250850,3556775,12811372,526149162,72894709,116933912,8677808,292998663,18503827,3582649,12557594,520498738,72638868,116226510,8560660,289240198,18882368,3571475,11378658,509269715,76303405,113638542,7515352,278660247,19028829,3506999,10616342,533430811,79914811,119550386,8422605,291333422,20603212,3444429,10161945
"1월",39712861,8953139,9296590,723696,19426683,1015547,297207,43116656,5895592,10059592,815086,21767295,1133108,314757,3131225,42486807,5843825,9824948,797366,21629690,1223348,308252,2859378,44491470,6052082,10285743,890196,22622801,1440910,306540,2893197,43775187,5838881,9746776,779675,23159054,1470416,309660,2470725,45443037,6115956,10235407,835373,23837830,1624588,322079,2471803,44650894,5957341,10053628,789742,23769154,1618857,329371,2132802,45196953,5988692,10273698,811031,24140679,1651612,338587,1992653,48361741,6332809,11461392,961968,25319198,1841471,342722,2102181,48644909,6449169,11375175,962224,25660039,1918844,342737,1936721,46326916,6462307,10980218,871391,24157032,1846298,335654,1674015,48755561,7163277,11417099,980548,25000708,2081679,332000,1780250
"2월",37220269,8684251,8810405,672755,17764725,1012924,275209,39845241,5824530,9453230,738342,19223044,1141813,287679,3176603,41932128,5888598,9678781,781149,21096227,1263289,291313,2932771,41012232,5910263,9541200,807122,20296155,1420427,286768,2750297,41221994,5832044,9229497,722691,21259112,1460402,290124,2428125,41824560,5774124,9603237,752840,21481056,1600614,300666,2312023,43570226,6078474,10244080,803733,22066721,1705294,311777,2360147,44422400,6082350,10432553,806755,22832169,1757078,319908,2191587,46749816,6424302,11591616,932289,23299768,1941559,324590,2235691,44353990,6334541,10635262,784635,22506321,1893948,324207,1875077,44498867,6469949,10489576,743563,22987545,1843177,320887,1644171,45187963,6901936,10728354,816499,22764174,1996821,310936,1669242
"3월",35568069,7307807,7472457,651168,19019770,864772,252094,38447975,4994488,8041397,713057,21103404,976601,262717,2356311,40324308,5319283,8520093,759564,21947324,1143632,269167,2365246,39520572,5119765,8131306,709041,21983154,1207988,266036,2103282,40637619,5096734,8150823,680235,23277036,1272441,267404,1892947,40877323,5195145,8391729,730239,23010859,1378588,277685,1893078,42245182,5427628,8911386,754013,23526915,1481624,290300,1853316,42558535,5269452,8957212,764922,24083704,1506689,296879,1679677,42936450,5493719,9222230,763361,23951281,1568362,299774,1637722,43089013,5517459,9042631,737945,24489660,1590358,299359,1411601,42870785,6050609,9114577,596478,23829266,1646757,299909,1333189,43074366,5930234,9088994,735306,24116461,1677594,288002,1237775
"4월",35979970,7455791,7633009,675784,19123783,841511,250092,37727320,5235981,7767138,659104,20867706,901132,254851,2041407,38496407,5404230,7959422,677790,21220305,1022959,259286,1952416,39007192,5385892,7898256,693076,21886932,1096447,258751,1787836,39266561,5305413,7698497,603437,22826267,1132000,259855,1441093,40078451,5405763,8036914,655809,22963546,1249297,269386,1497736,40123455,5420167,8066081,630885,23072352,1305445,282125,1346401,40811060,5511076,8349327,664356,23287362,1372973,291258,1334708,42032551,5621765,8589889,661056,24286864,1400540,295190,1177247,42440870,5776293,8846692,721390,24087149,1498547,294351,1216448,40475290,6101122,8361004,489662,22635639,1529677,292801,1065385,41899677,6086579,8646192,630924,23774112,1539072,285450,937348
"5월",33819812,6367186,6930418,504654,19047160,732965,237429,35466174,4936372,7065080,503845,20669083,737304,233182,1321307,36388770,4967916,7244557,517863,21533561,827934,239141,1057799,37460418,5040818,7355949,556401,22133038,919964,240157,1214092,37390795,4983860,7220627,491330,22559576,967981,242606,924815,37889662,5021325,7474115,503876,22693700,1034538,251630,910479,38235590,5062755,7611411,514824,22903621,1059149,263382,820448,38743894,5095282,7733905,510372,23244541,1135183,271860,752751,40530519,5267406,8100094,549391,24393927,1174852,272122,772728,40708218,5374064,8294129,566036,24151606,1285018,276270,761094,38327716,5726792,8065900,431194,21748720,1336041,271181,747888,40842275,5762210,8307485,518222,23989575,1353592,266114,645077
"6월",33835637,5770993,7322373,528835,19226609,763064,223762,35759644,4946399,7502139,530530,20972734,783093,228061,796689,36610560,5025275,7725483,536393,21551800,905758,227429,638423,37366213,5109870,7824499,549364,22087127,919362,230670,645320,37855377,5105427,7861375,524582,22547252,1007364,231220,578158,38345447,5107803,8019787,548934,22780608,1090307,240903,557104,39668106,5174474,8414130,591238,23572300,1131225,252649,532089,39672664,5181343,8459961,586053,23434060,1244327,262700,504220,41045645,5432409,8937372,601962,24035096,1257092,264162,517551,40620016,5459820,8892566,598726,23606876,1331645,265781,464602,39752893,5930765,9070384,532530,22103411,1381354,259419,475031,42031874,6015866,9248591,594444,24023102,1408828,253260,487784
