"국적별","항목","단위","2010.01 월","2010.02 월","2010.03 월","2010.04 월","2010.05 월","2010.06 월","2010.07 월","2010.08 월","2010.09 월","2010.10 월","2010.11 월","2010.12 월","2011.01 월","2011.02 월","2011.03 월","2011.04 월","2011.05 월","2011.06 월","2011.07 월","2011.08 월","2011.09 월","2011.10 월","2011.11 월","2011.12 월","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월",
"총계","계","","569453","638911","769894","730265","729450","718440","754672","833693","764693","872550","738271","677366","586152","667089","781286","754458","743464","795850","881809","977296","906813","988320","869876","842383","753793","810967","916357","967593","942602","946333","1009225","1103311","986961","1025705","842189","834992","753655","815037","1010809","972164","919355","1059082","1205152","1358909","1156913","1087974","907901","928599","842671","886026","1132155","1251374","1239606","1273627","1354753","1454078","1245777","1317482","1117398","1086569","917054","1050706","1238144","1384567","1334212","750925","629737","1069314","1206764","1383704","1150074","1116450","1077431","1126250","1389399","1469674","1492680","1554413","1703495","1664303","1523928","1587797","1309055","1343398","1220695","1252080","1233640","1075899","977889","991802","1008671","1103506","1078653","1165638","1093217","1134068","956036","1045415","1366100","1331709","1238021","1282093","1254833","1391727","1278604","1527832","1350390","1324119","1104803","1201802","1535641","1635066","1485684","1476218","1448067","1586299","1459664","1656195","1456429","1456888","1272708","685212","83497","29415","30806","36938","61012","68797","65040","61585","61764","62344","58397","65582","74604","70112","74463","77029","83005","97087","89800","92416","94358","90150",
"총계","관광","","400818","446525","545442","543297","525340","520474","541085","580207","546739","658244","558324","500389","399998","430922","539278","543974","535772","586384","667906","718143","674970","768196","677254","660310","557008","574347","711326","773569","732888","755401","811913","854750","766355","793089","663682","662490","570758","608384","756798","727217","658412","760357","872436","986570","853274","837826","710478","733178","640335","643532","865927","981715","951282","946177","1029905","1084204","939728","1056804","900170","887701","723255","815138","958493","1112904","1060730","517926","419430","730808","907874","1076153","911647","901131","865064","849995","1123465","1214201","1202692","1277116","1405496","1312514","1199450","1303692","1076471","1102769","978223","952948","970389","854669","738590","775181","782389","817226","839415","899881","880745","925938","742732","790477","1085542","1091353","991449","1055855","1030612","1100711","1013326","1269201","1130709","1112381","884293","907928","1251744","1382540","1233562","1237840","1218767","1251764","1178421","1403576","1234503","1247337","1030497","503976","31497","5135","6111","9744","12732","8634","10619","11119","11514","11893","9035","8500","11169","11492","15381","17847","20297","18452","19611","25698","28734","25630",
"아시아주","계","","433045","515506","602029","561228","554475","539797","579338","662464","596347","676280","580273","537732","446485","532767","610810","575476","562785","624084","706068","797255","735846","782478","703095","689143","603160","661445","744302","777378","753458","759515","824436","921420","804826","807416","671735","680232","597418","674151","814094","779747","727913","859242","1016665","1167980","966170","868625","739967","766615","684067","737759","935486","1039669","1034009","1060958","1149603","1251920","1031861","1086302","931679","920471","763151","905920","1037786","1153527","1122374","581881","459830","879762","1009225","1147083","961684","945516","912287","972818","1175961","1237838","1256875","1319413","1471066","1443009","1291229","1331114","1098057","1148226","1040034","1084723","1008026","824290","757013","768132","782622","890001","861596","927014","888940","941752","775023","845228","1133338","1071213","996668","1044550","1014416","1165806","1049096","1249727","1131041","1125343","916950","1034086","1298640","1339202","1223905","1220204","1195083","1328344","1192943","1365292","1225162","1250667","1081229","552449","52407","17116","13299","17582","37735","40475","40662","36198","35118","37090","32839","38709","48495","43874","42514","43826","44663","52802","49795","46769","49161","53391",
"아시아주","관광","","329131","383125","448566","441816","423953","414268","439238","491695","450210","538103","465380","422740","328100","364035","445711","436265","427457","482500","564012","621058","575462","638621","577150","572133","476976","492641","607266","653548","617067","637564","697307","756614","652819","658485","562664","571979","483745","533022","640824","613051","543313","637115","760548","888283","739262","696050","607939","636847","551769","560379","744509","844654","824272","811114","900086","971049","802113","903844","779547","782061","633146","734979","830119","961190","924385","408205","310081","625023","781633","920545","788686","792712","768650","764871","983522","1058725","1048902","1119177","1254992","1185500","1052312","1130299","940368","980211","874239","855934","819673","676591","592410","618807","626472","687085","691615","740327","743671","800420","631714","658805","923677","903933","824326","885680","856131","954581","852818","1066988","979251","978485","765082","807654","1085086","1160477","1044848","1047692","1032024","1080414","983538","1185096","1066538","1094768","906808","423296","19719","2440","2008","4305","7462","3584","5965","6173","6067","7254","5748","5386","7010","6514","7376","8355","9714","9965","8303","10367","12968","15790",
"중국","계","","91252","140571","141457","147680","154066","150119","195188","241987","176196","181428","136152","119061","113927","157019","163261","153875","152347","179508","244573","276299","231462","214681","174164","159080","167022","173790","183691","222114","210439","234482","322917","359065","283402","279440","204533","195997","196371","249698","276479","335069","278723","399031","569787","642258","483518","343273","276428","276234","296708","326295","423768","531947","517031","573852","692053","757683","564078","562278","460671","420501","394345","516787","515130","641610","618083","315095","255632","513275","591242","650174","507579","465218","521981","546408","601671","682318","705844","758534","917519","873771","726266","680918","516956","535536","565243","590790","360782","227811","253359","254930","281263","339388","318682","345384","299247","332474","305127","345341","403413","366604","370222","379891","410337","478140","434595","475307","404256","416279","392814","453379","487623","493250","500413","475007","519132","578112","541350","567695","505369","508877","481681","104086","16595","3935","5124","5051","9738","16275","15307","11477","9174","7987","7346","11982","18980","16830","14221","12942","13469","17103","19144","14035","12472","11691",
"중국","관광","","40425","60590","50330","84252","89056","87080","122432","142180","93545","107237","75686","58987","55070","53863","72003","86397","85668","108060","170524","178937","144704","141824","113856","101605","106606","74895","110965","166843","154841","179074","258907","268988","203857","204866","155503","148320","148118","169395","182850","250549","196306","280319","417991","472005","353359","249850","208175","210950","230706","219533","313400","429419","410971","429991","540683","588181","423133","459708","381118","345957","327225","413096","386386","536428","517154","223101","172075","372990","453670","518651","409635","381722","456636","424232","500018","601460","614636","671493","823016","747818","611538","588561","452082","456882","489256","458952","263788","158784","172527","181507","207099","226153","229172","244541","223743","260983","236825","237075","281020","283533","284317","303405","332657","360982","326438","382922","327664","345135","320113","324291","369165","410542","413949","395196","439699","451570","432018","476460","426849","433577","393336","49520","5040","522","179","246","258","212","481","367","382","411","455","420","1360","1590","1233","1243","1031","1011","1264","1366","1700","2151",
"미국","계","","43065","41077","54610","59616","59780","64412","59443","56377","56304","63956","49082","45167","44152","43500","54135","58220","61077","61208","60522","57817","56103","65158","51094","48517","46745","47926","55907","64385","64972","66049","61855","58127","57819","71213","53249","49619","49071","45102","63216","65260","65251","70198","63323","59353","62646","72149","53894","52852","50347","48546","65001","70195","67928","74925","68180","63982","69655","77836","58709","55001","50896","48728","66755","80120","70891","62550","62627","63522","63793","77878","62273","57580","55739","50705","68719","81439","80489","88276","78526","69434","75736","82885","67641","66597","57212","52732","72477","83485","76347","85955","82472","71496","70933","80000","69009","66763","59895","66049","80079","89209","84601","94742","90270","77319","78826","98103","77876","71023","62737","57732","84275","102524","95815","105398","97428","86586","90819","101099","82238","77387","67255","42439","10570","6417","8735","9717","11922","13368","12426","12366","13100","12102","12013","11212","12321","12944","17278","18159","21775","20561","19227","21607","20123","16805",
"미국","관광","","26943","26268","40143","45939","44951","50711","44732","35671","40747","49798","36582","33401","27866","26837","40121","45489","47110","48633","45717","37783","41587","50836","38839","35775","29961","32504","42005","50988","51105","53498","47718","38228","45164","54335","39742","36906","32468","29924","46779","49297","50073","55298","47032","37702","45473","56652","40680","38544","32773","32037","48065","54859","51402","59597","51695","42524","53490","60234","45092","41762","33727","31724","51156","62410","55214","49148","46563","41599","48750","61045","47883","43975","36829","32972","53173","64733","63675","72286","60376","48543","57952","66931","52025","50162","37630","35860","56367","65961","58444","70021","63853","49516","54948","60233","52491","49662","40407","46981","62903","71177","66792","78313","72143","55367","60776","80509","60601","52998","42989","38475","65448","83521","76044","86508","77224","62072","70634","82230","65116","58743","43866","26407","3995","1793","2996","3786","3823","3829","3562","3743","4164","3538","2242","1957","2839","3587","6687","7804","8246","5800","7718","9185","8907","5750",
"러시아","계","","10873","8674","10597","11011","14063","15969","14917","13073","10723","16069","12790","11971","12647","10945","12678","13763","13454","14328","13978","12986","11086","14089","12619","12262","12851","12314","12615","15044","14647","14796","14460","13434","12991","15281","15233","13055","15084","12223","14291","16062","15808","15088","14539","14631","12661","16016","14236","14721","15763","14173","17994","20358","19286","20047","20080","19647","17418","18218","16279","15103","13957","11734","15915","17831","18663","14368","13524","15936","15904","17638","16472","16164","16462","14122","19244","21734","21651","19911","19559","18881","19389","23296","19992","19732","19415","17787","22951","26719","22733","23470","22896","21317","23056","25404","23073","21606","21934","20889","25733","31313","26687","26796","28260","23001","23388","28153","23380","23008","25194","20001","27992","34205","32955","28666","28421","28700","30266","33379","26708","26570","28891","22157","5300","1223","1641","2076","2004","2086","1700","2240","1806","1962","1911","2432","2417","2311","2785","2899","2575","2750","3077","3078","3622","3040",
"러시아","관광","","4861","3156","3986","4361","4686","5558","5908","5198","4352","5508","5071","4640","5040","3992","4687","5162","5180","6685","6312","5865","4817","6335","5203","5384","5483","4819","5457","6830","6386","7489","7365","6824","6314","7110","7066","6198","7301","5649","7206","7655","8130","8681","8247","7939","6900","9047","7484","7531","10171","8818","12185","13055","13128","14056","14668","13360","12148","13185","11256","10079","9646","6676","10068","11281","12488","8940","9153","9977","10126","12005","11090","9930","10935","8593","12675","14173","14191","13756","13432","12416","13047","15848","13271","12428","13107","11559","16221","18496","15439","17362","16593","14096","15449","18121","16545","14289","15098","14619","18464","22729","18503","19587","22168","15521","15994","20074","16134","15774","17260","12512","20692","25342","24861","21774","21331","20964","21349","25818","19717","18951","20746","15487","2189","128","67","122","133","156","108","268","158","140","228","219","239","308","246","265","292","267","293","418","416","359",
