"경제활동별(1)","시도별(1)",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 p)
"경제활동별(1)","시도별(1)",실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질
"지역내총생산(시장가격)","전국",1432683907,1484628137,1519358867,1566633412,1615774616,1660844316,1709742565,1762932983,1814075680,1854370144,1842426414,1919305433
"지역내총생산(시장가격)","서울특별시",333249300,343756313,348568408,354319250,359661759,370167867,380679274,389584629,403605888,414092568,417638547,432406018
"지역내총생산(시장가격)","부산광역시",71968834,73792908,75742868,77000292,80258570,82701497,84114530,85441974,86889875,89105372,85962709,87906722
"지역내총생산(시장가격)","대구광역시",44114977,45657599,47367831,49036361,50329551,51822013,51823902,52721214,53964991,54762237,53668577,56026338
"지역내총생산(시장가격)","인천광역시",69301148,70536942,73129842,75073082,78694187,80137506,82257112,85791563,86426825,87963593,84907539,89984023
"지역내총생산(시장가격)","광주광역시",30457831,31011787,31650181,32859385,34169569,34845589,35933462,36384616,38216077,39624032,39530642,41118247
"지역내총생산(시장가격)","대전광역시",33247905,34446444,34977219,35375467,36081650,37162614,38456557,38772485,39135729,40684092,41208249,42368245
"지역내총생산(시장가격)","울산광역시",66254235,71517190,71957705,72322408,72408971,72854409,73477668,72968962,71344390,72024599,67136435,69621279
"지역내총생산(시장가격)","세종특별자치시",,,,6883305,8635120,9261543,9729904,10140164,10423610,11091040,11647981,12489323
"지역내총생산(시장가격)","경기도",300716256,313748238,327820620,346430719,362159526,381978306,399827962,426172886,451914662,462288338,470022670,496672331
"지역내총생산(시장가격)","강원도",35452559,36296644,37021010,38211948,40077987,40867985,42047331,43761362,44574334,46064137,44829136,46476220
"지역내총생산(시장가격)","충청북도",43503412,46066868,47647389,49519653,51596699,55191633,58380533,61953139,65830010,66927772,65926194,70139551
"지역내총생산(시장가격)","충청남도",92056862,98515870,99219568,97403497,100199403,101299131,104503363,110165655,110873163,112310782,112762058,118002148
"지역내총생산(시장가격)","전라북도",41674930,43285951,43728235,45637671,46567890,47018028,46664550,47553099,48350793,49506041,49116252,50398818
"지역내총생산(시장가격)","전라남도",67644440,66697766,67142356,68435908,68405097,68878376,70449724,71340179,72888289,74618019,74972494,77027126
"지역내총생산(시장가격)","경상북도",92044050,94466406,95229383,98842637,105901155,103120174,105745496,104429785,103149107,104417627,101370158,104960491
"지역내총생산(시장가격)","경상남도",98297235,101258402,103911994,104475348,104843574,106590936,107343355,106561346,107224316,109370902,103425415,105347557
"지역내총생산(시장가격)","제주특별자치도",12380394,13231976,14067649,14763437,15785920,16946709,18307842,19144657,18968300,19186190,17957495,18175224
