,연도,시도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
0,2010,강원도,1480180,1382020,1308429,1317499,1185530,1114450,1055938,1088438,1058865,1116695,1297575,1442404
1,2010,경기도,8725482,8341902,7574084,7727001,7156767,7152029,7589292,7961584,7659696,6868326,7866013,8452695
2,2010,경상남도,2922775,2719682,2648326,2665253,2453568,2429359,2550149,2600386,2594082,2428098,2623317,2914222
3,2010,경상북도,3743904,3471888,3484251,3454660,3321968,3301601,3344445,3428974,3394857,3370268,3498295,3773932
4,2010,광주광역시,712924,682498,632293,642843,603935,605548,667137,697066,692544,605233,632721,685316
5,2010,대구광역시,1331473,1269135,1172936,1199557,1100160,1119186,1202680,1284747,1267503,1080432,1164842,1287342
6,2010,대전광역시,826373,778458,716986,724076,664428,684218,748174,800784,770732,668362,705397,779416
7,2010,부산광역시,1848492,1731722,1635276,1682021,1571566,1560178,1675050,1797007,1806226,1571374,1616403,1768368
8,2010,서울특별시,4398183,4168168,3624186,3719082,3426951,3729030,4219590,4646112,4296100,3441549,3603223,4022925
9,2010,세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0
10,2010,울산광역시,2259608,2042581,2179708,2170165,2200352,2165892,2218722,2290022,2260645,2168811,2219654,2339537
11,2010,인천광역시,2016429,1841774,1797828,1825715,1707125,1728906,1766598,1861369,1807585,1690609,1802665,1980971
12,2010,전라남도,2233687,2005193,2027921,2049713,1991208,1920409,1998945,2114591,2098805,2098914,2163915,2356637
13,2010,전라북도,1707366,1592103,1572336,1609044,1523156,1488035,1493114,1551166,1553451,1493322,1608650,1757331
14,2010,제주특별자치도,325800,317412,284038,300520,275117,271052,286859,331375,317709,270423,286959,307358
15,2010,충청남도,3408166,3188393,3236855,3198820,3068283,3038587,3170594,3206697,3139467,3167916,3362576,3622961
16,2010,충청북도,1755905,1675101,1658672,1682392,1559121,1516139,1551504,1591255,1524966,1503473,1641772,1784532
17,2011,강원도,1582163,1520498,1420666,1361937,1245617,1184828,1144760,1176803,1180929,1242326,1331481,1484037
18,2011,경기도,9555286,8918913,8206234,7992730,7414139,7452141,7828198,8077684,7742435,7370838,7768998,8516923
19,2011,경상남도,3190181,2931864,2874490,2770642,2557899,2584721,2690200,2671624,2591648,2548905,2672113,2986919
20,2011,경상북도,4066080,3684612,3779253,3721268,3610096,3545546,3581232,3576061,3495235,3613546,3668855,3825516
21,2011,광주광역시,757197,717292,672951,669154,615840,626417,674555,712046,673056,618928,635724,674224
22,2011,대구광역시,1418812,1336667,1234507,1216588,1126409,1163368,1243303,1286641,1211616,1125749,1176821,1281465
23,2011,대전광역시,877248,825822,757165,739750,685169,710217,764457,816201,749635,673068,698819,762226
24,2011,부산광역시,1976059,1837733,1704632,1709300,1560035,1613264,1695590,1793742,1698380,1596236,1625214,1751788
25,2011,서울특별시,4562632,4264449,3736362,3682652,3425703,3713716,4049595,4433093,4149017,3458466,3527460,3899848
26,2011,세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0
27,2011,울산광역시,2424031,2121380,2302130,2326725,2330604,2370675,2462805,2382527,2370648,2361751,2338561,2406404
28,2011,인천광역시,2160417,1883873,1925528,1859019,1748862,1753742,1783544,1849160,1752984,1769220,1792105,1962683
29,2011,전라남도,2439025,2252039,2249390,2310756,2075964,2040887,2220065,2338047,2214157,2259138,2350455,2386945
30,2011,전라북도,1936356,1841244,1823953,1764514,1691075,1659628,1706313,1712173,1696404,1688228,1773244,1875230
31,2011,제주특별자치도,349747,341807,301595,314060,283081,281724,305421,335711,310488,281649,292227,312570
32,2011,충청남도,3898086,3586953,3649257,3521544,3457266,3437236,3500491,3537705,3429691,3376382,3534510,3720993
33,2011,충청북도,1905758,1767686,1795514,1755631,1626675,1609118,1633233,1660964,1593140,1618890,1680872,1805872
34,2012,강원도,1595626,1546100,1471927,1382879,1230593,1186370,1157824,1187258,1137513,1160784,1322410,1525101
35,2012,경기도,9415681,9311873,8665829,8233401,7590572,7684878,8256552,8351284,7963834,7394755,8204136,9219157
36,2012,경상남도,3044516,3129982,2976283,2785022,2541447,2561147,2623501,2735873,2615171,2387768,2658605,2955629
37,2012,경상북도,3952918,3832480,3959571,3769210,3695830,3634860,3597832,3670384,3791593,3266846,3717561,3910443
38,2012,광주광역시,735756,737378,696422,675943,626117,628135,660058,734889,671096,599532,656591,708574
39,2012,대구광역시,1386340,1375774,1281521,1229268,1135952,1160770,1214720,1345137,1227950,1084282,1190760,1322485
40,2012,대전광역시,849569,846326,785989,745833,689589,711321,752158,835728,748795,664620,721467,808709
41,2012,부산광역시,1880756,1890655,1794675,1710623,1588494,1559207,1671135,1869241,1731297,1531025,1647057,1790679
42,2012,서울특별시,4349335,4298788,3837539,3695515,3483656,3736558,4075847,4687134,4034771,3387032,3556636,4091294
43,2012,세종특별자치시,0,0,0,0,0,0,0,0,0,170446,197571,210593
44,2012,울산광역시,2492260,2398278,2488226,2344787,2437236,2394246,2498393,2457928,2458083,2440296,2397377,2555616
45,2012,인천광역시,2070192,2070475,1938203,1847382,1757729,1779877,1829867,1943473,1806302,1701322,1850798,2056325
46,2012,전라남도,2487117,2382964,2322324,2311276,2247817,2295154,2352615,2466141,2363465,2324550,2471144,2460140
47,2012,전라북도,1995371,1959294,1932255,1862254,1733219,1709387,1749714,1757560,1724665,1575263,1649186,1814153
48,2012,제주특별자치도,355968,358007,332926,327775,293722,295263,308449,355592,314567,283475,305359,333536
49,2012,충청남도,3954327,3877003,3944672,3759126,3633802,3566114,3654677,3706104,3577592,3332487,3611584,3874931
50,2012,충청북도,1903933,1900372,1879751,1804075,1689926,1693624,1731121,1782368,1701672,1590133,1757894,1927043
51,2013,강원도,1612242,1494196,1401610,1373728,1281395,1179135,1135448,1192064,1163211,1158325,1319470,1483916
52,2013,경기도,10001523,9265981,8564516,8420099,7916514,7896863,8325648,8781449,8104391,7628964,8216400,9104716
53,2013,경상남도,3232239,3003028,2852239,2810317,2624201,2559834,2806015,2707443,2658966,2550466,2711209,3014663
54,2013,경상북도,4048362,3717744,3862004,3721222,3696496,3651788,3736866,3762549,3685660,3669028,3805039,4087492
55,2013,광주광역시,748024,709493,658528,682512,637641,654744,707543,773392,702556,630561,653890,715191
56,2013,대구광역시,1437877,1336301,1214829,1220101,1166224,1175504,1272957,1381189,1255073,1126448,1189890,1303660
57,2013,대전광역시,889173,824259,752100,744219,706844,726457,781617,848615,757394,686707,715260,792494
58,2013,부산광역시,1919106,1793538,1660595,1666780,1569179,1580862,1703106,1861438,1720611,1565677,1596068,1727741
59,2013,서울특별시,4486310,4189413,3652776,3638393,3439856,3706936,4099931,4534870,4064276,3388520,3462656,3891170
60,2013,세종특별자치시,215974,198312,193991,193422,182642,184294,189805,201942,187499,185655,197762,214230
61,2013,울산광역시,2600360,2307962,2359822,2389607,2470095,2489278,2582997,2533220,2594620,2547128,2497831,2620047
62,2013,인천광역시,2193461,1981709,1914157,1858262,1767068,1784636,1875985,1930205,1816536,1733855,1827736,1989830
63,2013,전라남도,2616869,2462649,2561902,2526041,2563413,2481465,2410269,2455720,2641451,2500516,2549661,2532116
64,2013,전라북도,1955358,1840946,1884301,1859911,1773454,1719435,1730583,1712559,1702646,1712623,1837859,1978985
65,2013,제주특별자치도,373763,370123,331589,342968,315090,305151,332906,393840,351450,307499,319307,351214
66,2013,충청남도,4111575,3622246,3808302,3708208,3659904,3581215,3708962,3766974,3671812,3776212,3940691,4110710
67,2013,충청북도,2030193,1878491,1831061,1848760,1689801,1688244,1770742,1809584,1702850,1778198,1680157,1956964
68,2014,강원도,1559679,1447941,1394556,1313298,1222477,1164699,1187271,1214877,1179709,1226324,1355140,1512174
69,2014,경기도,9668916,9131444,8604750,8295696,7798652,7996787,8529871,8604680,8075793,7860233,8280549,9333336
70,2014,경상남도,3176345,3029916,2944134,2820219,2590845,2590503,2739786,2644061,2569954,2580948,2694710,3053737
71,2014,경상북도,4164536,3841506,4015412,3880598,3727121,3731382,3831939,3686008,3647642,3733519,3774305,3982394
72,2014,광주광역시,753936,723756,683278,671402,623437,651234,692995,717104,668280,629549,655913,726392
73,2014,대구광역시,1377672,1314569,1246283,1222595,1143206,1182480,1255757,1273769,1182542,1147482,1190355,1322076
74,2014,대전광역시,841296,806306,757265,732896,690037,725186,782699,798517,734372,699688,724232,810030
75,2014,부산광역시,1817342,1741473,1675854,1665838,1552138,1572826,1671763,1739645,1644324,1576153,1593205,1730338
76,2014,서울특별시,4155574,3974971,3547923,3466188,3305028,3649218,4072242,4260833,3844677,3396751,3403955,3941504
77,2014,세종특별자치시,219354,201659,208030,200310,189968,191639,203945,196299,190143,197354,210215,228116
78,2014,울산광역시,2585455,2369736,2565806,2493939,2487662,2446502,2590569,2553748,2453371,2519310,2434592,2614433
79,2014,인천광역시,2073838,1927635,1876836,1815977,1733900,1804931,1933604,1911112,1812648,1823647,1822629,2041291
80,2014,전라남도,2668850,2541771,2804619,2709942,2614251,2471884,2573919,2592766,2614315,2774211,2587553,2768862
81,2014,전라북도,2059548,1936290,1930533,1871011,1794560,1783912,1830154,1767724,1736555,1751897,1836120,1999109
82,2014,제주특별자치도,395005,392464,359620,362046,332179,324320,329068,364066,341393,318161,334243,367525
83,2014,충청남도,4240903,3924659,4085945,3889221,3820255,3809582,3920746,3891818,3745396,3818065,3982861,4165510
84,2014,충청북도,2000165,1900973,1921157,1842677,1751911,1745149,1848656,1815753,1720379,1762169,1848269,2022002
85,2015,강원도,1617029,1498837,1438930,1376925,1265816,1219754,1209553,1286166,1245384,1243791,1315133,1489302
86,2015,경기도,10014789,9380604,8783408,8597671,7993045,8187214,8494129,9262319,8605837,7991732,8471689,9265565
87,2015,경상남도,3299663,3071402,2964230,2888704,2632161,2629378,2709947,2763484,2652444,2584405,2710128,2970379
88,2015,경상북도,4222897,3806760,3833618,3821201,3668209,3678558,3607031,3680745,3614368,3622497,3603675,3797276
89,2015,광주광역시,776667,741223,686980,682684,628402,645195,714512,754560,696736,637335,660658,708920
90,2015,대구광역시,1417385,1344788,1233059,1244033,1149079,1203042,1224159,1334385,1226328,1119902,1179855,1271693
91,2015,대전광역시,875517,815725,761115,746537,698243,735488,760448,851386,769249,691185,704168,773675
92,2015,부산광역시,1862691,1736816,1655945,1671290,1554462,1579057,1639718,1802549,1688758,1548416,1584107,1678497
