,기간,물가지수
0,2010.01,85.351
1,2010.02,85.523
2,2010.03,85.696
3,2010.04,86.041
4,2010.05,86.128
5,2010.06,86.041
6,2010.07,86.214
7,2010.08,86.647
8,2010.09,87.337
9,2010.10,87.337
10,2010.11,86.906
11,2010.12,87.251
12,2011.01,88.288
13,2011.02,88.892
14,2011.03,89.238
15,2011.04,89.325
16,2011.05,89.497
17,2011.06,89.67
18,2011.07,90.102
19,2011.08,90.707
20,2011.09,90.62
21,2011.10,90.448
22,2011.11,90.534
23,2011.12,90.879
24,2012.01,91.242
25,2012.02,91.588
26,2012.03,91.614
27,2012.04,91.605
28,2012.05,91.769
29,2012.06,91.639
30,2012.07,91.432
31,2012.08,91.855
32,2012.09,92.512
33,2012.10,92.339
34,2012.11,92.011
35,2012.12,92.175
36,2013.01,92.728
37,2013.02,93.038
38,2013.03,92.952
39,2013.04,92.823
40,2013.05,92.823
41,2013.06,92.71
42,2013.07,92.909
43,2013.08,93.238
44,2013.09,93.419
45,2013.10,93.134
46,2013.11,93.116
47,2013.12,93.229
48,2014.01,93.73
49,2014.02,93.98
50,2014.03,94.153
51,2014.04,94.214
52,2014.05,94.369
53,2014.06,94.248
54,2014.07,94.386
55,2014.08,94.551
56,2014.09,94.49
57,2014.10,94.205
58,2014.11,94.015
59,2014.12,94.006
60,2015.01,94.643
61,2015.02,94.587
62,2015.03,94.596
63,2015.04,94.625
64,2015.05,94.89
65,2015.06,94.909
66,2015.07,95.08
67,2015.08,95.213
68,2015.09,94.966
69,2015.10,94.966
70,2015.11,94.786
71,2015.12,95.07
72,2016.01,95.232
73,2016.02,95.64
74,2016.03,95.393
75,2016.04,95.573
76,2016.05,95.63
77,2016.06,95.611
78,2016.07,95.431
79,2016.08,95.677
80,2016.09,96.247
81,2016.10,96.379
82,2016.11,96.237
83,2016.12,96.342
84,2017.01,97.366
85,2017.02,97.632
86,2017.03,97.565
87,2017.04,97.442
88,2017.05,97.546
89,2017.06,97.338
90,2017.07,97.499
91,2017.08,98.058
92,2017.09,98.172
93,2017.10,98.077
94,2017.11,97.347
95,2017.12,97.698
96,2018.01,98.106
97,2018.02,98.855
98,2018.03,98.751
99,2018.04,98.931
100,2018.05,98.979
101,2018.06,98.779
102,2018.07,98.59
103,2018.08,99.462
104,2018.09,100.221
105,2018.10,100.041
106,2018.11,99.33
107,2018.12,98.988
108,2019.01,98.884
109,2019.02,99.311
110,2019.03,99.121
111,2019.04,99.481
112,2019.05,99.652
113,2019.06,99.491
114,2019.07,99.187
115,2019.08,99.425
116,2019.09,99.794
117,2019.10,100.041
118,2019.11,99.481
119,2019.12,99.719
120,2020.01,100.09
121,2020.02,100.16
122,2020.03,99.94
123,2020.04,99.5
124,2020.05,99.44
125,2020.06,99.71
126,2020.07,99.63
127,2020.08,100.19
128,2020.09,100.74
129,2020.10,100.18
130,2020.11,100.09
131,2020.12,100.33
132,2021.01,101.04
133,2021.02,101.58
134,2021.03,101.84
135,2021.04,101.98
136,2021.05,102.05
137,2021.06,102.05
138,2021.07,102.26
139,2021.08,102.75
140,2021.09,103.17
141,2021.10,103.35
142,2021.11,103.87
143,2021.12,104.04
