,기간,관광객,전력소비량
0,2010.01 월,1202454,2335102
1,2010.02 월,1339575,2188707
2,2010.03 월,1636326,2091419
3,2010.04 월,1629891,2115785
4,2010.05 월,1576020,1988778
5,2010.06 월,1561422,1989683
6,2010.07 월,1623255,2090517
7,2010.08 월,1740621,2191269
8,2010.09 월,1640217,2131954
9,2010.10 월,1974732,1973165
10,2010.11 월,1674972,2123175
11,2010.12 월,1501167,2310349
12,2011.01 월,1199994,2535239
13,2011.02 월,1292766,2343107
14,2011.03 월,1617834,2260801
15,2011.04 월,1631922,2218604
16,2011.05 월,1607316,2085554
17,2011.06 월,1759152,2102778
18,2011.07 월,2003718,2193162
19,2011.08 월,2154429,2256481
20,2011.09 월,2024910,2168203
21,2011.10 월,2304588,2094312
22,2011.11 월,2031762,2168674
23,2011.12 월,1980930,2332567
24,2012.01 월,1671024,2498215
25,2012.02 월,1723041,2465632
26,2012.03 월,2133978,2371065
27,2012.04 월,2320707,2263786
28,2012.05 월,2198664,2139747
29,2012.06 월,2266203,2152759
30,2012.07 월,2435739,2243203
31,2012.08 월,2564250,2346240
32,2012.09 월,2299065,2227550
33,2012.10 월,2379267,2052624
34,2012.11 월,1991046,2230360
35,2012.12 월,1987470,2444965
36,2013.01 월,1712274,2616024
37,2013.02 월,1825152,2411552
38,2013.03 월,2270394,2323783
39,2013.04 월,2181651,2294385
40,2013.05 월,1975236,2203518
41,2013.06 월,2281071,2197990
42,2013.07 월,2617308,2304198
43,2013.08 월,2959710,2391003
44,2013.09 월,2559822,2281235
45,2013.10 월,2513478,2173316
46,2013.11 월,2131434,2265934
47,2013.12 월,2199534,2463243
48,2014.01 월,1921005,2574024
49,2014.02 월,1930596,2423945
50,2014.03 월,2597781,2389529
51,2014.04 월,2945145,2309050
52,2014.05 월,2853846,2198683
53,2014.06 월,2838531,2226013
54,2014.07 월,3089715,2352646
55,2014.08 월,3252612,2354869
56,2014.09 월,2819184,2244793
57,2014.10 월,3170412,2224438
58,2014.11 월,2700510,2278167
59,2014.12 월,2663103,2506989
60,2015.01 월,2169765,2671958
61,2015.02 월,2445414,2459326
62,2015.03 월,2875479,2403517
63,2015.04 월,3338712,2356720
64,2015.05 월,3182190,2227999
65,2015.06 월,1553778,2254741
66,2015.07 월,1258290,2316382
67,2015.08 월,2192424,2466410
68,2015.09 월,2723622,2335534
69,2015.10 월,3228459,2203005
70,2015.11 월,2734941,2286089
71,2015.12 월,2703393,2457388
72,2016.01 월,2595192,2625318
73,2016.02 월,2549985,2562954
74,2016.03 월,3370395,2485010
75,2016.04 월,3642603,2360203
76,2016.05 월,3608076,2249152
77,2016.06 월,3831348,2333418
78,2016.07 월,4216488,2387664
79,2016.08 월,3937542,2612461
80,2016.09 월,3598350,2423759
81,2016.10 월,3911076,2267598
82,2016.11 월,3229413,2368027
83,2016.12 월,3308307,2560809
84,2017.01 월,2934669,2658644
85,2017.02 월,2858844,2613082
86,2017.03 월,2911167,2503443
87,2017.04 월,2564007,2400650
88,2017.05 월,2215770,2279052
89,2017.06 월,2325543,2333686
90,2017.07 월,2347167,2541676
91,2017.08 월,2451678,2667866
92,2017.09 월,2518245,2490357
93,2017.10 월,2699643,2256987
94,2017.11 월,2642235,2429005
95,2017.12 월,2777814,2692972
96,2018.01 월,2228196,2844805
97,2018.02 월,2371431,2749987
98,2018.03 월,3256626,2525663
99,2018.04 월,3274059,2472500
100,2018.05 월,2974347,2384145
101,2018.06 월,3167565,2414449
102,2018.07 월,3091836,2589997
103,2018.08 월,3302133,2913652
104,2018.09 월,3039978,2572296
105,2018.10 월,3807603,2351616
106,2018.11 월,3392127,2465007
107,2018.12 월,3337143,2665726
108,2019.01 월,2652879,2861434
109,2019.02 월,2723784,2609034
110,2019.03 월,3755232,2534627
111,2019.04 월,4147620,2496506
112,2019.05 월,3700686,2394588
113,2019.06 월,3713520,2389400
114,2019.07 월,3656301,2527422
115,2019.08 월,3755292,2797554
116,2019.09 월,3535263,2567605
117,2019.10 월,4210728,2389577
118,2019.11 월,3703509,2418327
119,2019.12 월,3742011,2631270
120,2020.01 월,3091491,2725112
121,2020.02 월,1511928,2617550
122,2020.03 월,94491,2521799
123,2020.04 월,15405,2380893
124,2020.05 월,18333,2254565
125,2020.06 월,29232,2338405
126,2020.07 월,38196,2474574
127,2020.08 월,25902,2623483
128,2020.09 월,31857,2653576
129,2020.10 월,33357,2297959
130,2020.11 월,34542,2420360
131,2020.12 월,35679,2648651
132,2021.01 월,27105,2867974
133,2021.02 월,25500,2658115
134,2021.03 월,33507,2533786
135,2021.04 월,34476,2464686
136,2021.05 월,46143,2402486
137,2021.06 월,53541,2472463
138,2021.07 월,60891,2704223
139,2021.08 월,55356,2878232
140,2021.09 월,58833,2636404
141,2021.10 월,77094,2461071
142,2021.11 월,86202,2519389
143,2021.12 월,76890,2779448
