,기간,전력소비량
0,1월,2335102
1,2월,2188707
2,3월,2091419
3,4월,2115785
4,5월,1988778
5,6월,1989683
6,7월,2090517
7,8월,2191269
8,9월,2131954
9,10월,1973165
10,11월,2123175
11,12월,2310349
12,1월,2535239
13,2월,2343107
14,3월,2260801
15,4월,2218604
16,5월,2085554
17,6월,2102778
18,7월,2193162
19,8월,2256481
20,9월,2168203
21,10월,2094312
22,11월,2168674
23,12월,2332567
24,1월,2498215
25,2월,2465632
26,3월,2371065
27,4월,2263786
28,5월,2139747
29,6월,2152759
30,7월,2243203
31,8월,2346240
32,9월,2227550
33,10월,2052624
34,11월,2230360
35,12월,2444965
36,1월,2616024
37,2월,2411552
38,3월,2323783
39,4월,2294385
40,5월,2203518
41,6월,2197990
42,7월,2304198
43,8월,2391003
44,9월,2281235
45,10월,2173316
46,11월,2265934
47,12월,2463243
48,1월,2574024
49,2월,2423945
50,3월,2389529
51,4월,2309050
52,5월,2198683
53,6월,2226013
54,7월,2352646
55,8월,2354869
56,9월,2244793
57,10월,2224438
58,11월,2278167
59,12월,2506989
60,1월,2671958
61,2월,2459326
62,3월,2403517
63,4월,2356720
64,5월,2227999
65,6월,2254741
66,7월,2316382
67,8월,2466410
68,9월,2335534
69,10월,2203005
70,11월,2286089
71,12월,2457388
72,1월,2625318
73,2월,2562954
74,3월,2485010
75,4월,2360203
76,5월,2249152
77,6월,2333418
78,7월,2387664
79,8월,2612461
80,9월,2423759
81,10월,2267598
82,11월,2368027
83,12월,2560809
84,1월,2658644
85,2월,2613082
86,3월,2503443
87,4월,2400650
88,5월,2279052
89,6월,2333686
90,7월,2541676
91,8월,2667866
92,9월,2490357
93,10월,2256987
94,11월,2429005
95,12월,2692972
96,1월,2844805
97,2월,2749987
98,3월,2525663
99,4월,2472500
100,5월,2384145
101,6월,2414449
102,7월,2589997
103,8월,2913652
104,9월,2572296
105,10월,2351616
106,11월,2465007
107,12월,2665726
108,1월,2861434
109,2월,2609034
110,3월,2534627
111,4월,2496506
112,5월,2394588
113,6월,2389400
114,7월,2527422
115,8월,2797554
116,9월,2567605
117,10월,2389577
118,11월,2418327
119,12월,2631270
120,1월,2725112
121,2월,2617550
122,3월,2521799
123,4월,2380893
124,5월,2254565
125,6월,2338405
126,7월,2474574
127,8월,2623483
128,9월,2653576
129,10월,2297959
130,11월,2420360
131,12월,2648651
132,1월,2867974
133,2월,2658115
134,3월,2533786
135,4월,2464686
136,5월,2402486
137,6월,2472463
138,7월,2704223
139,8월,2878232
140,9월,2636404
141,10월,2461071
142,11월,2519389
143,12월,2779448
