"시도별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 p)
"전국",26828,28074,29093,30038,31010,32658,34167,35977,37014,37596,37842,40571
"서울특별시",36359,38574,39215,39570,40577,41857,44111,46715,48362,48693,49006,54209
"부산광역시",19724,21394,22742,23500,24980,25773,26883,27592,28287,29259,29643,32014
"대구광역시",18499,19985,21093,21992,23391,24660,25551,26561,27004,27700,27934,29353
"인천광역시",22945,23937,24491,25483,26978,28034,29689,30990,31363,32873,32724,35818
"광주광역시",19602,20544,21798,22992,24674,25687,27373,28759,29759,31186,31674,32999
"대전광역시",20855,22288,23540,23858,25308,27125,28124,30102,30529,31566,32080,33810
"울산광역시",48489,49677,49348,48678,46025,49381,52205,52237,52694,54190,53908,59346
"세종특별자치시",,,,38657,49688,44463,41018,40876,37243,38186,37869,39730
"경기도",26528,26697,28906,30631,30892,33028,34591,37588,39150,38929,38819,41011
"강원도",19315,20213,21169,21884,23251,24761,25331,27216,28471,29397,28891,30858
"충청북도",22351,23504,24875,26094,27125,28839,30527,31951,33672,34889,35403,37903
"충청남도",28765,30628,31057,32911,32836,35458,37554,39338,39935,41089,42073,45544
"전라북도",19226,20200,21037,21691,22951,24176,24689,25710,26783,28302,29515,31157
"전라남도",26168,26437,27208,27940,28657,32733,33786,34542,35159,35673,38605,38857
"경상북도",26953,29076,27871,29128,30917,32427,33697,33828,34530,35038,35471,38000
"경상남도",24250,25747,26321,26455,28703,29523,30370,31033,30987,32035,31550,32968
"제주특별자치도",19613,22372,23138,24020,25400,27314,29342,30863,31193,30710,30030,31999
