,기간,관광객,전력소비량
0,2010.01 월,801636,2335102
1,2010.02 월,893050,2188707
2,2010.03 월,1090884,2091419
3,2010.04 월,1086594,2115785
4,2010.05 월,1050680,1988778
5,2010.06 월,1040948,1989683
6,2010.07 월,1082170,2090517
7,2010.08 월,1160414,2191269
8,2010.09 월,1093478,2131954
9,2010.10 월,1316488,1973165
10,2010.11 월,1116648,2123175
11,2010.12 월,1000778,2310349
12,2011.01 월,799996,2535239
13,2011.02 월,861844,2343107
14,2011.03 월,1078556,2260801
15,2011.04 월,1087948,2218604
16,2011.05 월,1071544,2085554
17,2011.06 월,1172768,2102778
18,2011.07 월,1335812,2193162
19,2011.08 월,1436286,2256481
20,2011.09 월,1349940,2168203
21,2011.10 월,1536392,2094312
22,2011.11 월,1354508,2168674
23,2011.12 월,1320620,2332567
24,2012.01 월,1114016,2498215
25,2012.02 월,1148694,2465632
26,2012.03 월,1422652,2371065
27,2012.04 월,1547138,2263786
28,2012.05 월,1465776,2139747
29,2012.06 월,1510802,2152759
30,2012.07 월,1623826,2243203
31,2012.08 월,1709500,2346240
32,2012.09 월,1532710,2227550
33,2012.10 월,1586178,2052624
34,2012.11 월,1327364,2230360
35,2012.12 월,1324980,2444965
36,2013.01 월,1141516,2616024
37,2013.02 월,1216768,2411552
38,2013.03 월,1513596,2323783
39,2013.04 월,1454434,2294385
40,2013.05 월,1316824,2203518
41,2013.06 월,1520714,2197990
42,2013.07 월,1744872,2304198
43,2013.08 월,1973140,2391003
44,2013.09 월,1706548,2281235
45,2013.10 월,1675652,2173316
46,2013.11 월,1420956,2265934
47,2013.12 월,1466356,2463243
48,2014.01 월,1280670,2574024
49,2014.02 월,1287064,2423945
50,2014.03 월,1731854,2389529
51,2014.04 월,1963430,2309050
52,2014.05 월,1902564,2198683
53,2014.06 월,1892354,2226013
54,2014.07 월,2059810,2352646
55,2014.08 월,2168408,2354869
56,2014.09 월,1879456,2244793
57,2014.10 월,2113608,2224438
58,2014.11 월,1800340,2278167
59,2014.12 월,1775402,2506989
60,2015.01 월,1446510,2671958
61,2015.02 월,1630276,2459326
62,2015.03 월,1916986,2403517
63,2015.04 월,2225808,2356720
64,2015.05 월,2121460,2227999
65,2015.06 월,1035852,2254741
66,2015.07 월,838860,2316382
67,2015.08 월,1461616,2466410
68,2015.09 월,1815748,2335534
69,2015.10 월,2152306,2203005
70,2015.11 월,1823294,2286089
71,2015.12 월,1802262,2457388
72,2016.01 월,1730128,2625318
73,2016.02 월,1699990,2562954
74,2016.03 월,2246930,2485010
75,2016.04 월,2428402,2360203
76,2016.05 월,2405384,2249152
77,2016.06 월,2554232,2333418
78,2016.07 월,2810992,2387664
79,2016.08 월,2625028,2612461
80,2016.09 월,2398900,2423759
81,2016.10 월,2607384,2267598
82,2016.11 월,2152942,2368027
83,2016.12 월,2205538,2560809
84,2017.01 월,1956446,2658644
85,2017.02 월,1905896,2613082
86,2017.03 월,1940778,2503443
87,2017.04 월,1709338,2400650
88,2017.05 월,1477180,2279052
89,2017.06 월,1550362,2333686
90,2017.07 월,1564778,2541676
91,2017.08 월,1634452,2667866
92,2017.09 월,1678830,2490357
93,2017.10 월,1799762,2256987
94,2017.11 월,1761490,2429005
95,2017.12 월,1851876,2692972
96,2018.01 월,1485464,2844805
97,2018.02 월,1580954,2749987
98,2018.03 월,2171084,2525663
99,2018.04 월,2182706,2472500
100,2018.05 월,1982898,2384145
101,2018.06 월,2111710,2414449
102,2018.07 월,2061224,2589997
103,2018.08 월,2201422,2913652
104,2018.09 월,2026652,2572296
105,2018.10 월,2538402,2351616
106,2018.11 월,2261418,2465007
107,2018.12 월,2224762,2665726
108,2019.01 월,1768586,2861434
109,2019.02 월,1815856,2609034
110,2019.03 월,2503488,2534627
111,2019.04 월,2765080,2496506
112,2019.05 월,2467124,2394588
113,2019.06 월,2475680,2389400
114,2019.07 월,2437534,2527422
115,2019.08 월,2503528,2797554
116,2019.09 월,2356842,2567605
117,2019.10 월,2807152,2389577
118,2019.11 월,2469006,2418327
119,2019.12 월,2494674,2631270
120,2020.01 월,2060994,2725112
121,2020.02 월,1007952,2617550
122,2020.03 월,62994,2521799
123,2020.04 월,10270,2380893
124,2020.05 월,12222,2254565
125,2020.06 월,19488,2338405
126,2020.07 월,25464,2474574
127,2020.08 월,17268,2623483
128,2020.09 월,21238,2653576
129,2020.10 월,22238,2297959
130,2020.11 월,23028,2420360
131,2020.12 월,23786,2648651
132,2021.01 월,18070,2867974
133,2021.02 월,17000,2658115
134,2021.03 월,22338,2533786
135,2021.04 월,22984,2464686
136,2021.05 월,30762,2402486
137,2021.06 월,35694,2472463
138,2021.07 월,40594,2704223
139,2021.08 월,36904,2878232
140,2021.09 월,39222,2636404
141,2021.10 월,51396,2461071
142,2021.11 월,57468,2519389
143,2021.12 월,51260,2779448
