,시도,위도,경도
0,서울특별시,37.551638,126.993243
1,강원도,37.820812,128.156579
2,경기도,37.412505,127.520017
3,경상남도,35.460156,128.215601
4,경상북도,36.327952,128.951526
5,광주광역시,35.154840,126.836647
6,대구광역시,35.825757,128.576897
7,대전광역시,36.339403,127.396923
8,부산광역시,35.209853,129.069121
9,세종특별자치시,36.560326,127.258638
10,울산광역시,35.553064,129.254432
11,인천광역시,37.455307,126.703920
12,전라남도,34.867289,126.993547
13,전라북도,35.717518,127.156528
14,제주특별자치도,33.424967,126.778084
15,충청남도,36.717428,126.801751
16,충청북도,36.999466,127.700783
