,연월,시도,고용률,연도,월
0,2010.01,서울특별시,57.6,2010,01
1,2010.02,서울특별시,57.8,2010,02
2,2010.03,서울특별시,58.3,2010,03
3,2010.04,서울특별시,59.2,2010,04
4,2010.05,서울특별시,60.0,2010,05
5,2010.06,서울특별시,59.8,2010,06
6,2010.07,서울특별시,60.1,2010,07
7,2010.08,서울특별시,59.5,2010,08
8,2010.09,서울특별시,59.4,2010,09
9,2010.10,서울특별시,59.6,2010,10
10,2010.11,서울특별시,59.7,2010,11
11,2010.12,서울특별시,59.8,2010,12
12,2011.01,서울특별시,58.8,2011,01
13,2011.02,서울특별시,59.2,2011,02
14,2011.03,서울특별시,59.6,2011,03
15,2011.04,서울특별시,60.1,2011,04
16,2011.05,서울특별시,60.7,2011,05
17,2011.06,서울특별시,61.0,2011,06
18,2011.07,서울특별시,60.9,2011,07
19,2011.08,서울특별시,60.3,2011,08
20,2011.09,서울특별시,59.7,2011,09
21,2011.10,서울특별시,60.3,2011,10
22,2011.11,서울특별시,60.3,2011,11
23,2011.12,서울특별시,59.7,2011,12
24,2012.01,서울특별시,59.1,2012,01
25,2012.02,서울특별시,59.2,2012,02
26,2012.03,서울특별시,59.7,2012,03
27,2012.04,서울특별시,60.4,2012,04
28,2012.05,서울특별시,61.0,2012,05
29,2012.06,서울특별시,60.8,2012,06
30,2012.07,서울특별시,60.6,2012,07
31,2012.08,서울특별시,59.7,2012,08
32,2012.09,서울특별시,59.9,2012,09
33,2012.10,서울특별시,59.7,2012,10
34,2012.11,서울특별시,59.5,2012,11
35,2012.12,서울특별시,59.3,2012,12
36,2013.01,서울특별시,59.1,2013,01
37,2013.02,서울특별시,58.7,2013,02
38,2013.03,서울특별시,58.8,2013,03
39,2013.04,서울특별시,59.6,2013,04
40,2013.05,서울특별시,60.0,2013,05
41,2013.06,서울특별시,60.2,2013,06
42,2013.07,서울특별시,60.2,2013,07
43,2013.08,서울특별시,59.7,2013,08
44,2013.09,서울특별시,60.3,2013,09
45,2013.10,서울특별시,60.6,2013,10
46,2013.11,서울특별시,60.7,2013,11
47,2013.12,서울특별시,60.8,2013,12
48,2014.01,서울특별시,60.1,2014,01
49,2014.02,서울특별시,60.3,2014,02
50,2014.03,서울특별시,60.3,2014,03
51,2014.04,서울특별시,60.5,2014,04
52,2014.05,서울특별시,60.4,2014,05
53,2014.06,서울특별시,60.4,2014,06
54,2014.07,서울특별시,60.6,2014,07
55,2014.08,서울특별시,60.4,2014,08
56,2014.09,서울특별시,60.5,2014,09
57,2014.10,서울특별시,60.6,2014,10
58,2014.11,서울특별시,61.0,2014,11
59,2014.12,서울특별시,60.6,2014,12
60,2015.01,서울특별시,60.0,2015,01
61,2015.02,서울특별시,59.7,2015,02
62,2015.03,서울특별시,59.5,2015,03
63,2015.04,서울특별시,59.6,2015,04
64,2015.05,서울특별시,60.3,2015,05
65,2015.06,서울특별시,59.8,2015,06
66,2015.07,서울특별시,60.3,2015,07
67,2015.08,서울특별시,60.3,2015,08
68,2015.09,서울특별시,60.0,2015,09
69,2015.10,서울특별시,59.9,2015,10
70,2015.11,서울특별시,60.2,2015,11
71,2015.12,서울특별시,60.1,2015,12
72,2016.01,서울특별시,59.7,2016,01
73,2016.02,서울특별시,59.3,2016,02
74,2016.03,서울특별시,58.8,2016,03
75,2016.04,서울특별시,59.3,2016,04
76,2016.05,서울특별시,60.2,2016,05
77,2016.06,서울특별시,60.4,2016,06
78,2016.07,서울특별시,60.4,2016,07
79,2016.08,서울특별시,60.0,2016,08
80,2016.09,서울특별시,60.2,2016,09
81,2016.10,서울특별시,60.5,2016,10
82,2016.11,서울특별시,60.5,2016,11
83,2016.12,서울특별시,60.3,2016,12
84,2017.01,서울특별시,59.4,2017,01
85,2017.02,서울특별시,59.7,2017,02
86,2017.03,서울특별시,59.7,2017,03
87,2017.04,서울특별시,59.9,2017,04
88,2017.05,서울특별시,60.5,2017,05
89,2017.06,서울특별시,60.8,2017,06
90,2017.07,서울특별시,61.0,2017,07
91,2017.08,서울특별시,60.6,2017,08
92,2017.09,서울특별시,60.4,2017,09
93,2017.10,서울특별시,60.4,2017,10
94,2017.11,서울특별시,60.3,2017,11
95,2017.12,서울특별시,59.9,2017,12
96,2018.01,서울특별시,59.8,2018,01
97,2018.02,서울특별시,59.3,2018,02
98,2018.03,서울특별시,59.6,2018,03
99,2018.04,서울특별시,59.7,2018,04
100,2018.05,서울특별시,59.7,2018,05
101,2018.06,서울특별시,60.1,2018,06
102,2018.07,서울특별시,59.9,2018,07
103,2018.08,서울특별시,59.5,2018,08
104,2018.09,서울특별시,59.3,2018,09
105,2018.10,서울특별시,59.4,2018,10
106,2018.11,서울특별시,59.9,2018,11
107,2018.12,서울특별시,59.3,2018,12
108,2019.01,서울특별시,58.7,2019,01
109,2019.02,서울특별시,58.4,2019,02
110,2019.03,서울특별시,58.7,2019,03
111,2019.04,서울특별시,59.6,2019,04
112,2019.05,서울특별시,60.3,2019,05
113,2019.06,서울특별시,60.6,2019,06
114,2019.07,서울특별시,60.8,2019,07
115,2019.08,서울특별시,60.6,2019,08
116,2019.09,서울특별시,60.8,2019,09
117,2019.10,서울특별시,60.7,2019,10
118,2019.11,서울특별시,60.5,2019,11
119,2019.12,서울특별시,60.4,2019,12
120,2020.01,서울특별시,60.0,2020,01
121,2020.02,서울특별시,60.1,2020,02
122,2020.03,서울특별시,59.0,2020,03
123,2020.04,서울특별시,58.6,2020,04
124,2020.05,서울특별시,59.1,2020,05
125,2020.06,서울특별시,59.2,2020,06
126,2020.07,서울특별시,59.5,2020,07
127,2020.08,서울특별시,59.6,2020,08
128,2020.09,서울특별시,58.9,2020,09
129,2020.10,서울특별시,59.2,2020,10
130,2020.11,서울특별시,59.8,2020,11
131,2020.12,서울특별시,58.8,2020,12
132,2021.01,서울특별시,57.3,2021,01
133,2021.02,서울특별시,57.9,2021,02
134,2021.03,서울특별시,59.1,2021,03
135,2021.04,서울특별시,59.2,2021,04
136,2021.05,서울특별시,59.6,2021,05
137,2021.06,서울특별시,59.7,2021,06
138,2021.07,서울특별시,59.6,2021,07
139,2021.08,서울특별시,59.2,2021,08
140,2021.09,서울특별시,59.7,2021,09
141,2021.10,서울특별시,59.5,2021,10
142,2021.11,서울특별시,59.9,2021,11
143,2021.12,서울특별시,60.2,2021,12
144,2022.01,서울특별시,59.0,2022,01
145,2022.02,서울특별시,59.7,2022,02
146,2022.03,서울특별시,59.8,2022,03
147,2022.04,서울특별시,60.4,2022,04
148,2022.05,서울특별시,60.8,2022,05
149,2022.06,서울특별시,60.8,2022,06
150,2022.07,서울특별시,60.9,2022,07
151,2022.08,서울특별시,60.7,2022,08
152,2022.09,서울특별시,60.7,2022,09
153,2022.10,서울특별시,60.5,2022,10
154,2022.11,서울특별시,60.8,2022,11
155,2022.12,서울특별시,60.8,2022,12
156,2010.01,부산광역시,54.1,2010,01
157,2010.02,부산광역시,53.9,2010,02
158,2010.03,부산광역시,54.3,2010,03
159,2010.04,부산광역시,54.5,2010,04
160,2010.05,부산광역시,55.5,2010,05
161,2010.06,부산광역시,55.0,2010,06
162,2010.07,부산광역시,55.0,2010,07
163,2010.08,부산광역시,54.1,2010,08
164,2010.09,부산광역시,53.7,2010,09
165,2010.10,부산광역시,53.8,2010,10
166,2010.11,부산광역시,54.0,2010,11
167,2010.12,부산광역시,53.8,2010,12
168,2011.01,부산광역시,52.9,2011,01
169,2011.02,부산광역시,52.9,2011,02
170,2011.03,부산광역시,53.5,2011,03
171,2011.04,부산광역시,53.8,2011,04
172,2011.05,부산광역시,54.4,2011,05
173,2011.06,부산광역시,55.0,2011,06
174,2011.07,부산광역시,55.5,2011,07
175,2011.08,부산광역시,55.1,2011,08
176,2011.09,부산광역시,54.1,2011,09
177,2011.10,부산광역시,55.7,2011,10
178,2011.11,부산광역시,55.7,2011,11
179,2011.12,부산광역시,55.4,2011,12
180,2012.01,부산광역시,55.2,2012,01
181,2012.02,부산광역시,55.0,2012,02
182,2012.03,부산광역시,55.7,2012,03
183,2012.04,부산광역시,55.7,2012,04
184,2012.05,부산광역시,56.3,2012,05
185,2012.06,부산광역시,56.7,2012,06
186,2012.07,부산광역시,56.6,2012,07
187,2012.08,부산광역시,55.9,2012,08
188,2012.09,부산광역시,56.0,2012,09
189,2012.10,부산광역시,55.7,2012,10
190,2012.11,부산광역시,55.8,2012,11
191,2012.12,부산광역시,56.0,2012,12
192,2013.01,부산광역시,56.1,2013,01
193,2013.02,부산광역시,55.3,2013,02
194,2013.03,부산광역시,55.7,2013,03
195,2013.04,부산광역시,56.6,2013,04
196,2013.05,부산광역시,56.8,2013,05
197,2013.06,부산광역시,56.8,2013,06
198,2013.07,부산광역시,56.5,2013,07
199,2013.08,부산광역시,55.9,2013,08
200,2013.09,부산광역시,56.1,2013,09
201,2013.10,부산광역시,55.9,2013,10
202,2013.11,부산광역시,56.4,2013,11
203,2013.12,부산광역시,55.6,2013,12
204,2014.01,부산광역시,55.4,2014,01
205,2014.02,부산광역시,55.1,2014,02
206,2014.03,부산광역시,55.3,2014,03
207,2014.04,부산광역시,56.5,2014,04
208,2014.05,부산광역시,57.2,2014,05
209,2014.06,부산광역시,57.4,2014,06
210,2014.07,부산광역시,58.0,2014,07
211,2014.08,부산광역시,57.9,2014,08
212,2014.09,부산광역시,57.3,2014,09
213,2014.10,부산광역시,57.2,2014,10
214,2014.11,부산광역시,57.1,2014,11
215,2014.12,부산광역시,56.5,2014,12
216,2015.01,부산광역시,55.9,2015,01
217,2015.02,부산광역시,56.1,2015,02
218,2015.03,부산광역시,55.9,2015,03
219,2015.04,부산광역시,56.3,2015,04
220,2015.05,부산광역시,56.4,2015,05
221,2015.06,부산광역시,56.4,2015,06
222,2015.07,부산광역시,56.6,2015,07
223,2015.08,부산광역시,55.9,2015,08
224,2015.09,부산광역시,56.4,2015,09
225,2015.10,부산광역시,56.6,2015,10
226,2015.11,부산광역시,56.7,2015,11
227,2015.12,부산광역시,56.2,2015,12
228,2016.01,부산광역시,55.8,2016,01
229,2016.02,부산광역시,56.0,2016,02
230,2016.03,부산광역시,55.9,2016,03
231,2016.04,부산광역시,56.5,2016,04
232,2016.05,부산광역시,56.2,2016,05
233,2016.06,부산광역시,56.3,2016,06
234,2016.07,부산광역시,56.4,2016,07
235,2016.08,부산광역시,56.2,2016,08
236,2016.09,부산광역시,56.0,2016,09
237,2016.10,부산광역시,56.1,2016,10
238,2016.11,부산광역시,56.6,2016,11
239,2016.12,부산광역시,56.1,2016,12
240,2017.01,부산광역시,55.5,2017,01
241,2017.02,부산광역시,55.9,2017,02
242,2017.03,부산광역시,56.2,2017,03
243,2017.04,부산광역시,56.4,2017,04
244,2017.05,부산광역시,57.0,2017,05
245,2017.06,부산광역시,57.0,2017,06
246,2017.07,부산광역시,56.7,2017,07
247,2017.08,부산광역시,56.4,2017,08
248,2017.09,부산광역시,56.2,2017,09
249,2017.10,부산광역시,56.3,2017,10
