,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2011.01,50534731,10312835,3566560,2512071,2761122,1456308,1504617,1127337,0,11801232,1528790,1550474,2076239,1868745,1916912,2688586,3291435,571468
2011.02,50555262,10314245,3566480,2512321,2765025,1458195,1506136,1127647,0,11815120,1527843,1551621,2077703,1868363,1914191,2687178,3291281,571913
2011.03,50575130,10307783,3564873,2511231,2768648,1458326,1506995,1128324,0,11829316,1529915,1552707,2081390,1868476,1914176,2687521,3293002,572447
2011.04,50594424,10301829,3563042,2510773,2772131,1458814,1507751,1129038,0,11841400,1531721,1554195,2083893,1868846,1913918,2688469,3295686,572918
2011.05,50613213,10295643,3562985,2510644,2775394,1459615,1509032,1129612,0,11854092,1531996,1555169,2086490,1869418,1913641,2689130,3296893,573459
2011.06,50627347,10288284,3563295,2510243,2779133,1459862,1509963,1130832,0,11862889,1532178,1555952,2088281,1870863,1914142,2689904,3297769,573757
2011.07,50641565,10282472,3560813,2509833,2782458,1461368,1510468,1131325,0,11874213,1532825,1556984,2090270,1871388,1913185,2691181,3298607,574175
2011.08,50662739,10277507,3558372,2510079,2786717,1462915,1511531,1131979,0,11887932,1533172,1558289,2092262,1872346,1911983,2692036,3300895,574724
2011.09,50681829,10271880,3556565,2509609,2790226,1463432,1512557,1132910,0,11898590,1533638,1559572,2094358,1873956,1912151,2693707,3303549,575129
2011.10,50699478,10266174,3554635,2509297,2794493,1464073,1513877,1134125,0,11908014,1534555,1560895,2096445,1874058,1912509,2695145,3305621,575562
2011.11,50717719,10257741,3553997,2508935,2798762,1464516,1514979,1134904,0,11920340,1535771,1562374,2098469,1874181,1913002,2696596,3307201,575951
2011.12,50734284,10249679,3550963,2507271,2801274,1463464,1515603,1135494,0,11937415,1536448,1562903,2101284,1874031,1914339,2699195,3308765,576156
2012.01,50750837,10250134,3549501,2508370,2804287,1465313,1517299,1136464,0,11948596,1535335,1563023,2103129,1873491,1912725,2697104,3309559,576507
2012.02,50767313,10251297,3548640,2508563,2808286,1466516,1518651,1136948,0,11961481,1534310,1563091,2106223,1872933,1910664,2694794,3307822,577094
2012.03,50783029,10245782,3547141,2507586,2811410,1466810,1519490,1137918,0,11972408,1536525,1564283,2108537,1873678,1910746,2694822,3308081,577812
2012.04,50801531,10241387,3545806,2507310,2815158,1466676,1520628,1139628,0,11984985,1537096,1565389,2110896,1873333,1910533,2694944,3309325,578437
2012.05,50819380,10237054,3543688,2507022,2818348,1466464,1521659,1140673,0,11998173,1537673,1566183,2112849,1873141,1910689,2694930,3311574,579260
2012.06,50832898,10232281,3542239,2506977,2820994,1466388,1522595,1140954,0,12009150,1537750,1566992,2114599,1873093,1910707,2695113,3313207,579859
2012.07,50851082,10227761,3542218,2506969,2824150,1467030,1522581,1141483,103127,12021422,1538198,1561493,2021776,1872830,1910298,2695263,3313689,580794
2012.08,50871606,10223243,3541431,2507715,2828342,1467979,1522189,1142528,106625,12035714,1538136,1562289,2022434,1872957,1909493,2695008,3314183,581340
2012.09,50891223,10219334,3540802,2507791,2831729,1468777,1522880,1143464,108027,12047601,1538934,1563323,2023534,1873134,1909212,2695316,3315343,582022
2012.10,50912264,10212445,3540098,2507571,2836080,1469614,1523647,1145096,109823,12060335,1538869,1564665,2025274,1873353,1908998,2696180,3317523,582693
2012.11,50930805,10205843,3539273,2507910,2840308,1470669,1524566,1146555,111191,12071878,1539116,1565188,2026849,1873561,1908834,2697569,3318202,583293
2012.12,50948272,10195318,3538484,2505644,2843981,1469216,1524583,1147256,113117,12093299,1538630,1565628,2028777,1873341,1909618,2698353,3319314,583713
2013.01,50965180,10195064,3538191,2504945,2846899,1470061,1525888,1148130,113911,12107216,1537704,1565670,2029769,1872500,1907945,2698263,3318979,584045
2013.02,50991003,10196434,3539455,2505040,2850543,1470969,1527383,1148713,115269,12123024,1536718,1565697,2031839,1872311,1907027,2696802,3318548,585231
2013.03,51003843,10192057,3538285,2504623,2853489,1470979,1527857,1150215,115955,12133590,1538219,1565972,2033019,1871818,1906887,2696554,3318175,586149
2013.04,51018468,10185955,3537758,2504888,2856667,1471324,1528578,1150708,116345,12144383,1539169,1566920,2034946,1871979,1906477,2696341,3318877,587153
2013.05,51034494,10181807,3536426,2505083,2859335,1471801,1529085,1151340,116842,12156714,1539403,1567548,2036661,1871592,1906335,2696447,3320074,588001
2013.06,51047880,10176560,3534500,2503728,2861722,1471867,1529655,1152039,117012,12167575,1539767,1568860,2038322,1871545,1906575,2696833,3322702,588618
2013.07,51064841,10172002,3532994,2503604,2864951,1472357,1530226,1152765,117369,12181553,1540014,1569348,2039668,1871570,1906028,2696446,3324324,589622
2013.08,51081507,10168997,3531796,2503400,2867429,1472807,1530908,1154208,117939,12193532,1540264,1569731,2041263,1871498,1905442,2696492,3325351,590450
2013.09,51098531,10166691,3531643,2503679,2870125,1473229,1531418,1154382,118273,12203080,1540796,1570486,2043056,1871726,1905374,2696705,3326527,591341
2013.10,51115702,10162099,3530579,2503648,2873451,1473576,1532456,1154956,118745,12211807,1541457,1571704,2045203,1871776,1905627,2697450,3328969,592199
