,연도,시도,병상수
0,2011,서울특별시,80992
1,2012,서울특별시,82992
2,2013,서울특별시,83711
3,2014,서울특별시,86006
4,2015,서울특별시,84919
5,2016,서울특별시,86420
6,2017,서울특별시,86925
7,2018,서울특별시,86566
8,2019,서울특별시,88059
9,2020,서울특별시,89744
10,2021,서울특별시,91765
11,2011,부산광역시,56507
12,2012,부산광역시,59175
13,2013,부산광역시,62445
14,2014,부산광역시,66769
15,2015,부산광역시,68654
16,2016,부산광역시,71129
17,2017,부산광역시,70767
18,2018,부산광역시,70430
19,2019,부산광역시,69862
20,2020,부산광역시,70748
21,2021,부산광역시,70710
22,2011,대구광역시,29980
23,2012,대구광역시,32210
24,2013,대구광역시,33927
25,2014,대구광역시,35140
26,2015,대구광역시,36303
27,2016,대구광역시,36653
28,2017,대구광역시,36380
29,2018,대구광역시,36970
30,2019,대구광역시,38132
31,2020,대구광역시,39361
32,2021,대구광역시,39753
33,2011,인천광역시,27159
34,2012,인천광역시,28601
35,2013,인천광역시,29739
36,2014,인천광역시,31507
37,2015,인천광역시,31479
38,2016,인천광역시,32093
39,2017,인천광역시,33417
40,2018,인천광역시,34021
41,2019,인천광역시,34176
42,2020,인천광역시,35078
43,2021,인천광역시,36249
44,2011,광주광역시,25193
45,2012,광주광역시,28135
46,2013,광주광역시,31086
47,2014,광주광역시,34525
48,2015,광주광역시,37471
49,2016,광주광역시,39228
50,2017,광주광역시,41267
51,2018,광주광역시,40727
52,2019,광주광역시,40206
53,2020,광주광역시,39793
54,2021,광주광역시,39187
55,2011,대전광역시,20455
56,2012,대전광역시,21536
57,2013,대전광역시,22385
58,2014,대전광역시,23164
59,2015,대전광역시,23529
60,2016,대전광역시,23427
61,2017,대전광역시,23999
62,2018,대전광역시,23865
63,2019,대전광역시,23417
64,2020,대전광역시,24003
65,2021,대전광역시,23749
66,2011,울산광역시,12046
67,2012,울산광역시,13050
68,2013,울산광역시,13482
69,2014,울산광역시,14428
70,2015,울산광역시,14343
71,2016,울산광역시,15378
72,2017,울산광역시,15502
73,2018,울산광역시,15476
74,2019,울산광역시,15284
75,2020,울산광역시,15345
76,2021,울산광역시,15469
77,2011,세종특별자치시,-
78,2012,세종특별자치시,1028
79,2013,세종특별자치시,1068
80,2014,세종특별자치시,1266
81,2015,세종특별자치시,1229
82,2016,세종특별자치시,1249
83,2017,세종특별자치시,1342
84,2018,세종특별자치시,1268
85,2019,세종특별자치시,1440
86,2020,세종특별자치시,1991
87,2021,세종특별자치시,2082
88,2011,경기도,107524
89,2012,경기도,112517
90,2013,경기도,118519
91,2014,경기도,124326
92,2015,경기도,127026
93,2016,경기도,129372
94,2017,경기도,131236
95,2018,경기도,133698
96,2019,경기도,133118
97,2020,경기도,139190
98,2021,경기도,141282
99,2011,강원도,18230
100,2012,강원도,18269
101,2013,강원도,18169
102,2014,강원도,18379
103,2015,강원도,18703
104,2016,강원도,18519
105,2017,강원도,17966
106,2018,강원도,17852
107,2019,강원도,17372
108,2020,강원도,17216
109,2021,강원도,17494
110,2011,충청북도,18684
111,2012,충청북도,19061
112,2013,충청북도,19720
113,2014,충청북도,19987
114,2015,충청북도,20288
115,2016,충청북도,21252
116,2017,충청북도,21584
117,2018,충청북도,22471
118,2019,충청북도,21336
119,2020,충청북도,21503
120,2021,충청북도,21658
121,2011,충청남도,23989
122,2012,충청남도,24210
123,2013,충청남도,25310
124,2014,충청남도,26711
125,2015,충청남도,27362
126,2016,충청남도,27762
127,2017,충청남도,28878
128,2018,충청남도,28457
129,2019,충청남도,28122
130,2020,충청남도,28740
131,2021,충청남도,29104
132,2011,전라북도,30462
133,2012,전라북도,32747
134,2013,전라북도,35645
135,2014,전라북도,37413
136,2015,전라북도,38300
137,2016,전라북도,39165
138,2017,전라북도,39981
139,2018,전라북도,40291
140,2019,전라북도,39993
141,2020,전라북도,39878
142,2021,전라북도,39818
143,2011,전라남도,32150
144,2012,전라남도,34421
145,2013,전라남도,36856
146,2014,전라남도,38565
147,2015,전라남도,40089
148,2016,전라남도,40928
149,2017,전라남도,40816
150,2018,전라남도,41575
151,2019,전라남도,41844
152,2020,전라남도,40851
153,2021,전라남도,41276
154,2011,경상북도,35154
155,2012,경상북도,36856
156,2013,경상북도,39200
157,2014,경상북도,41118
158,2015,경상북도,42922
159,2016,경상북도,43982
160,2017,경상북도,44855
161,2018,경상북도,44396
162,2019,경상북도,43726
163,2020,경상북도,43676
164,2021,경상북도,43389
165,2011,경상남도,50906
166,2012,경상남도,52541
167,2013,경상남도,54236
168,2014,경상남도,56126
169,2015,경상남도,57176
170,2016,경상남도,60888
171,2017,경상남도,61966
172,2018,경상남도,64346
173,2019,경상남도,62527
174,2020,경상남도,64261
175,2021,경상남도,64596
176,2011,제주특별자치도,4135
177,2012,제주특별자치도,4239
178,2013,제주특별자치도,4616
179,2014,제주특별자치도,4669
180,2015,제주특별자치도,4853
181,2016,제주특별자치도,5055
182,2017,제주특별자치도,4863
183,2018,제주특별자치도,4940
184,2019,제주특별자치도,4854
185,2020,제주특별자치도,4914
186,2021,제주특별자치도,5090
