,연도,시도,병상수,사용량
0,2011,서울특별시,80992,46902993
1,2012,서울특별시,82992,47234105
2,2013,서울특별시,83711,46555107
3,2014,서울특별시,86006,45018864
4,2015,서울특별시,84919,45381486
5,2016,서울특별시,86420,46493234
6,2017,서울특별시,86925,46298159
7,2018,서울특별시,86566,47810212
8,2019,서울특별시,88059,47167207
9,2020,서울특별시,89744,45787925
10,2021,서울특별시,91765,47295806
11,2011,부산광역시,56507,20561973
12,2012,부산광역시,59175,20664844
13,2013,부산광역시,62445,20364701
14,2014,부산광역시,66769,19980899
15,2015,부산광역시,68654,20002306
16,2016,부산광역시,71129,20467095
17,2017,부산광역시,70767,21007360
18,2018,부산광역시,70430,21216604
19,2019,부산광역시,69862,20802409
20,2020,부산광역시,70748,20503969
21,2021,부산광역시,70710,21067832
22,2011,대구광역시,29980,14821946
23,2012,대구광역시,32210,14954959
24,2013,대구광역시,33927,15080053
25,2014,대구광역시,35140,14858786
26,2015,대구광역시,36303,14947708
27,2016,대구광역시,36653,15268112
28,2017,대구광역시,36380,15386374
29,2018,대구광역시,36970,15675749
30,2019,대구광역시,38132,15265583
31,2020,대구광역시,39361,14758568
32,2021,대구광역시,39753,15443948
33,2011,인천광역시,27159,22241137
34,2012,인천광역시,28601,22651945
35,2013,인천광역시,29739,22673440
36,2014,인천광역시,31507,22578048
37,2015,인천광역시,31479,23211767
38,2016,인천광역시,32093,23875858
39,2017,인천광역시,33417,24515313
40,2018,인천광역시,34021,24921925
41,2019,인천광역시,34176,24280688
42,2020,인천광역시,35078,23638582
43,2021,인천광역시,36249,24901194
44,2011,광주광역시,25193,8047384
45,2012,광주광역시,28135,8130491
46,2013,광주광역시,31086,8274075
47,2014,광주광역시,34525,8197276
48,2015,광주광역시,37471,8333872
49,2016,광주광역시,39228,8558369
50,2017,광주광역시,41267,8683649
51,2018,광주광역시,40727,8773812
52,2019,광주광역시,40206,8603296
53,2020,광주광역시,39793,8531109
54,2021,광주광역시,39187,8973447
55,2011,대전광역시,20455,9059777
56,2012,대전광역시,21536,9160104
57,2013,대전광역시,22385,9225139
58,2014,대전광역시,23164,9102524
59,2015,대전광역시,23529,9182736
60,2016,대전광역시,23427,9379632
61,2017,대전광역시,23999,9423806
62,2018,대전광역시,23865,9648828
63,2019,대전광역시,23417,9415699
64,2020,대전광역시,24003,9405219
65,2021,대전광역시,23749,9748621
66,2011,울산광역시,12046,28198241
67,2012,울산광역시,13050,29362726
68,2013,울산광역시,13482,29992967
69,2014,울산광역시,14428,30115123
70,2015,울산광역시,14343,30286140
71,2016,울산광역시,15378,32095217
72,2017,울산광역시,15502,31609850
73,2018,울산광역시,15476,33748169
74,2019,울산광역시,15284,34138999
75,2020,울산광역시,15345,33157837
76,2021,울산광역시,15469,33593122
77,2011,세종특별자치시,-,0
78,2012,세종특별자치시,1028,578610
79,2013,세종특별자치시,1068,2345528
80,2014,세종특별자치시,1266,2437032
81,2015,세종특별자치시,1229,2641141
82,2016,세종특별자치시,1249,2801868
83,2017,세종특별자치시,1342,2918759
84,2018,세종특별자치시,1268,3087692
