,연도,시도,인구수,사용량
0,2011,강원도,18388852,15876045
1,2011,경기도,142430553,96844519
2,2011,경상남도,39590704,33071206
3,2011,경상북도,32298648,44167300
4,2011,광주광역시,17530888,8047384
5,2011,대구광역시,30122307,14821946
6,2011,대전광역시,18123509,9059777
7,2011,부산광역시,42722580,20561973
8,2011,서울특별시,123426072,46902993
9,2011,세종특별자치시,0,0
10,2011,울산광역시,13573527,28198241
11,2011,인천광역시,33375383,22241137
12,2011,전라남도,22964149,27136868
13,2011,전라북도,22454671,21168362
14,2011,제주특별자치도,6887659,3710080
15,2011,충청남도,25067084,42650114
16,2011,충청북도,18681135,20453353
17,2012,강원도,18450572,15904385
18,2012,경기도,144205042,100291952
19,2012,경상남도,39757822,33014944
20,2012,경상북도,32349396,44799528
21,2012,광주광역시,17611452,8130491
22,2012,대구광역시,30089428,14954959
23,2012,대전광역시,18260768,9160104
24,2012,부산광역시,42519321,20664844
25,2012,서울특별시,122741879,47234105
26,2012,세종특별자치시,651910,578610
27,2012,울산광역시,13698967,29362726
28,2012,인천광역시,33883073,22651945
29,2012,전라남도,22922517,28484707
30,2012,전라북도,22478845,21462321
31,2012,제주특별자치도,6962824,3864639
32,2012,충청남도,24804877,44492419
33,2012,충청북도,18771547,21361912
34,2013,강원도,18477843,15794740
35,2013,경기도,146076890,102227064
36,2013,경상남도,39887156,33530620
37,2013,경상북도,32366392,45444250
38,2013,광주광역시,17665569,8274075
39,2013,대구광역시,30047509,15080053
40,2013,대전광역시,18359379,9225139
41,2013,부산광역시,42409146,20364701
42,2013,서울특별시,122095491,46555107
43,2013,세종특별자치시,1409122,2345528
44,2013,울산광역시,13829803,29992967
45,2013,인천광역시,34361190,22673440
46,2013,전라남도,22877384,30302072
47,2013,전라북도,22463650,21708660
48,2013,제주특별자치도,7069619,4094900
49,2013,충청남도,24467927,45466811
50,2013,충청북도,18826826,21665045
51,2014,강원도,18499036,15778145
52,2014,경기도,147653535,102180707
53,2014,경상남도,40093856,33435158
54,2014,경상북도,32385019,46016362
55,2014,광주광역시,17700959,8197276
56,2014,대구광역시,29966122,14858786
57,2014,대전광역시,18418597,9102524
58,2014,부산광역시,42274932,19980899
59,2014,서울특별시,121535448,45018864
60,2014,세종특별자치시,1616925,2437032
61,2014,울산광역시,13936797,30115123
62,2014,인천광역시,34715943,22578048
63,2014,전라남도,22857235,31722943
64,2014,전라북도,22458529,22297413
65,2014,제주특별자치도,7210642,4220090
66,2014,충청남도,24676265,47294961
67,2014,충청북도,18913976,22179260
68,2015,강원도,18557287,16206620
69,2015,경기도,149291762,105048002
70,2015,경상남도,40284341,33876325
71,2015,경상북도,32391553,44956835
72,2015,광주광역시,17713700,8333872
73,2015,대구광역시,29890706,14947708
74,2015,대전광역시,18303109,9182736
75,2015,부산광역시,42198286,20002306
76,2015,서울특별시,120865523,45381486
77,2015,세종특별자치시,2253051,2641141
78,2015,울산광역시,14044655,30286140
79,2015,인천광역시,34986651,23211767
80,2015,전라남도,22847989,32637828
81,2015,전라북도,22437541,22086859
82,2015,제주특별자치도,7395096,4429551
83,2015,충청남도,24830053,47286060
84,2015,충청북도,18972419,22949033
85,2016,강원도,18587647,16498769
86,2016,경기도,151483993,109403900
87,2016,경상남도,40422117,34497474
88,2016,경상북도,32416044,44647502
89,2016,광주광역시,17662795,8558369
90,2016,대구광역시,29827793,15268112
91,2016,대전광역시,18196712,9379632
92,2016,부산광역시,42096376,20467095
93,2016,서울특별시,119776759,46493234
94,2016,세종특별자치시,2767676,2801868
95,2016,울산광역시,14076294,32095217
96,2016,인천광역시,35231052,23875858
97,2016,전라남도,22848371,33096902
98,2016,전라북도,22389179,22733494
99,2016,제주특별자치도,7612812,4738201
100,2016,충청남도,25038918,48453932
101,2016,충청북도,19046299,24008865
102,2017,강원도,18578155,16552772
103,2017,경기도,153553148,114847859
104,2017,경상남도,40497106,34647863
105,2017,경상북도,32316597,45455611
106,2017,광주광역시,17602580,8683649
107,2017,대구광역시,29768906,15386374
108,2017,대전광역시,18103357,9423806
109,2017,부산광역시,41827481,21007360
110,2017,서울특별시,118857535,46298159
111,2017,세종특별자치시,3157700,2918759
112,2017,울산광역시,14008655,31609850
113,2017,인천광역시,35359391,24515313
114,2017,전라남도,22773789,33562077
115,2017,전라북도,22293720,22799646
116,2017,제주특별자치도,7796426,5013544
117,2017,충청남도,25297963,50180207
118,2017,충청북도,19114237,24843380
119,2018,강원도,18537830,16845627
120,2018,경기도,155816083,122695953
121,2018,경상남도,40522563,35158611
122,2018,경상북도,32170673,45958813
123,2018,광주광역시,17538156,8773812
124,2018,대구광역시,29624218,15675749
125,2018,대전광역시,17941582,9648828
126,2018,부산광역시,41456706,21216604
127,2018,서울특별시,117723906,47810212
128,2018,세종특별자치시,3608487,3087692
129,2018,울산광역시,13914299,33748169
130,2018,인천광역시,35435438,24921925
131,2018,전라남도,22642431,34118388
132,2018,전라북도,22126394,22961959
133,2018,제주특별자치도,7962655,5272603
134,2018,충청남도,25465646,52012704
135,2018,충청북도,19153799,26239764
136,2019,강원도,18491064,16368276
137,2019,경기도,158010019,123022306
138,2019,경상남도,40403275,34472017
139,2019,경상북도,32027555,44314767
140,2019,광주광역시,17508236,8603296
141,2019,대구광역시,29395093,15265583
142,2019,대전광역시,17787945,9415699
143,2019,부산광역시,41117018,20802409
144,2019,서울특별시,117027908,47167207
145,2019,세종특별자치시,3949401,3226180
146,2019,울산광역시,13814008,34138999
147,2019,인천광역시,35480811,24280688
148,2019,전라남도,22445723,32385388
149,2019,전라북도,21914894,22280691
150,2019,제주특별자치도,8034688,5374284
151,2019,충청남도,25502440,52644854
152,2019,충청북도,19193056,26732304
153,2020,강원도,18483276,16120066
154,2020,경기도,160130213,124688963
155,2020,경상남도,40190380,34069974
156,2020,경상북도,31764555,41001627
157,2020,광주광역시,17453055,8531109
158,2020,대구광역시,29138950,14758568
159,2020,대전광역시,17639826,9405219
160,2020,부산광역시,40841043,20503969
161,2020,서울특별시,116536558,45787925
162,2020,세종특별자치시,4168569,3393224
163,2020,울산광역시,13699729,33157837
164,2020,인천광역시,35370992,23638582
165,2020,전라남도,22262776,30973974
166,2020,전라북도,21712692,20538911
167,2020,제주특별자치도,8064464,5373287
168,2020,충청남도,25443690,50422733
169,2020,충청북도,19180798,26901893
170,2021,강원도,18449823,16808007
171,2021,경기도,162115160,133445949
172,2021,경상남도,39902753,35734060
173,2021,경상북도,31584087,44258296
174,2021,광주광역시,17326611,8973447
175,2021,대구광역시,28791286,15443948
176,2021,대전광역시,17479896,9748621
177,2021,부산광역시,40391333,21067832
178,2021,서울특별시,114848517,47295806
179,2021,세종특별자치시,4370198,4295362
180,2021,울산광역시,13519359,33593122
181,2021,인천광역시,35286948,24901194
182,2021,전라남도,22087734,33486887
183,2021,전라북도,21529604,21486859
184,2021,제주특별자치도,8106314,5687731
185,2021,충청남도,25418563,48801625
186,2021,충청북도,19168094,28402061
