,연월,시도,인구수,연도,월
0,2011.01,서울특별시,10312835,2011,01
1,2011.02,서울특별시,10314245,2011,02
2,2011.03,서울특별시,10307783,2011,03
3,2011.04,서울특별시,10301829,2011,04
4,2011.05,서울특별시,10295643,2011,05
5,2011.06,서울특별시,10288284,2011,06
6,2011.07,서울특별시,10282472,2011,07
7,2011.08,서울특별시,10277507,2011,08
8,2011.09,서울특별시,10271880,2011,09
9,2011.1,서울특별시,10266174,2011,10
10,2011.11,서울특별시,10257741,2011,11
11,2011.12,서울특별시,10249679,2011,12
12,2012.01,서울특별시,10250134,2012,01
13,2012.02,서울특별시,10251297,2012,02
14,2012.03,서울특별시,10245782,2012,03
15,2012.04,서울특별시,10241387,2012,04
16,2012.05,서울특별시,10237054,2012,05
17,2012.06,서울특별시,10232281,2012,06
18,2012.07,서울특별시,10227761,2012,07
19,2012.08,서울특별시,10223243,2012,08
20,2012.09,서울특별시,10219334,2012,09
21,2012.1,서울특별시,10212445,2012,10
22,2012.11,서울특별시,10205843,2012,11
23,2012.12,서울특별시,10195318,2012,12
24,2013.01,서울특별시,10195064,2013,01
25,2013.02,서울특별시,10196434,2013,02
26,2013.03,서울특별시,10192057,2013,03
27,2013.04,서울특별시,10185955,2013,04
28,2013.05,서울특별시,10181807,2013,05
29,2013.06,서울특별시,10176560,2013,06
30,2013.07,서울특별시,10172002,2013,07
31,2013.08,서울특별시,10168997,2013,08
32,2013.09,서울특별시,10166691,2013,09
33,2013.1,서울특별시,10162099,2013,10
34,2013.11,서울특별시,10154180,2013,11
35,2013.12,서울특별시,10143645,2013,12
36,2014.01,서울특별시,10143164,2014,01
37,2014.02,서울특별시,10144173,2014,02
38,2014.03,서울특별시,10141727,2014,03
39,2014.04,서울특별시,10137313,2014,04
40,2014.05,서울특별시,10133734,2014,05
41,2014.06,서울특별시,10129223,2014,06
42,2014.07,서울특별시,10125912,2014,07
43,2014.08,서울특별시,10124243,2014,08
44,2014.09,서울특별시,10122661,2014,09
45,2014.1,서울특별시,10117909,2014,10
46,2014.11,서울특별시,10112156,2014,11
47,2014.12,서울특별시,10103233,2014,12
48,2015.01,서울특별시,10104515,2015,01
49,2015.02,서울특별시,10105206,2015,02
50,2015.03,서울특별시,10100987,2015,03
51,2015.04,서울특별시,10094889,2015,04
52,2015.05,서울특별시,10088393,2015,05
53,2015.06,서울특별시,10078850,2015,06
54,2015.07,서울특별시,10071654,2015,07
55,2015.08,서울특별시,10063197,2015,08
56,2015.09,서울특별시,10055027,2015,09
57,2015.1,서울특별시,10045027,2015,10
58,2015.11,서울특별시,10035597,2015,11
59,2015.12,서울특별시,10022181,2015,12
60,2016.01,서울특별시,10018537,2016,01
61,2016.02,서울특별시,10014261,2016,02
62,2016.03,서울특별시,10009588,2016,03
63,2016.04,서울특별시,10002979,2016,04
64,2016.05,서울특별시,9995784,2016,05
65,2016.06,서울특별시,9989795,2016,06
66,2016.07,서울특별시,9981673,2016,07
67,2016.08,서울특별시,9971111,2016,08
68,2016.09,서울특별시,9964291,2016,09
69,2016.1,서울특별시,9954791,2016,10
70,2016.11,서울특별시,9943333,2016,11
71,2016.12,서울특별시,9930616,2016,12
72,2017.01,서울특별시,9930478,2017,01
73,2017.02,서울특별시,9931412,2017,02
74,2017.03,서울특별시,9926968,2017,03
75,2017.04,서울특별시,9922745,2017,04
76,2017.05,서울특별시,9919016,2017,05
77,2017.06,서울특별시,9914381,2017,06
78,2017.07,서울특별시,9908612,2017,07
79,2017.08,서울특별시,9902072,2017,08
80,2017.09,서울특별시,9891448,2017,09
81,2017.1,서울특별시,9882810,2017,10
82,2017.11,서울특별시,9870167,2017,11
83,2017.12,서울특별시,9857426,2017,12
84,2018.01,서울특별시,9851767,2018,01
85,2018.02,서울특별시,9845336,2018,02
86,2018.03,서울특별시,9838892,2018,03
87,2018.04,서울특별시,9830452,2018,04
88,2018.05,서울특별시,9820971,2018,05
89,2018.06,서울특별시,9814049,2018,06
90,2018.07,서울특별시,9806538,2018,07
