,연월,시도,인구밀도,연도,월,사용량
0,2011.01,서울특별시,17046,2011,1,1480180
1,2011.02,서울특별시,17048,2011,2,8725482
2,2011.03,서울특별시,17037,2011,3,2922775
3,2011.04,서울특별시,17027,2011,4,3743904
4,2011.05,서울특별시,17017,2011,5,712924
5,2011.06,서울특별시,17005,2011,6,1331473
6,2011.07,서울특별시,16995,2011,7,826373
7,2011.08,서울특별시,16987,2011,8,1848492
8,2011.09,서울특별시,16978,2011,9,4398183
9,2011.1,서울특별시,16968,2011,10,0
10,2011.11,서울특별시,16954,2011,11,2259608
11,2011.12,서울특별시,16941,2011,12,2016429
12,2012.01,서울특별시,16942,2012,1,2233687
13,2012.02,서울특별시,16944,2012,2,1707366
14,2012.03,서울특별시,16935,2012,3,325800
15,2012.04,서울특별시,16927,2012,4,3408166
16,2012.05,서울특별시,16920,2012,5,1755905
17,2012.06,서울특별시,16912,2012,6,1582163
18,2012.07,서울특별시,16905,2012,7,9555286
19,2012.08,서울특별시,16897,2012,8,3190181
20,2012.09,서울특별시,16891,2012,9,4066080
21,2012.1,서울특별시,16880,2012,10,757197
22,2012.11,서울특별시,16869,2012,11,1418812
23,2012.12,서울특별시,16851,2012,12,877248
24,2013.01,서울특별시,16851,2013,1,1976059
25,2013.02,서울특별시,16853,2013,2,4562632
26,2013.03,서울특별시,16846,2013,3,0
27,2013.04,서울특별시,16836,2013,4,2424031
28,2013.05,서울특별시,16829,2013,5,2160417
29,2013.06,서울특별시,16820,2013,6,2439025
30,2013.07,서울특별시,16813,2013,7,1936356
31,2013.08,서울특별시,16808,2013,8,349747
32,2013.09,서울특별시,16804,2013,9,3898086
33,2013.1,서울특별시,16796,2013,10,1905758
34,2013.11,서울특별시,16783,2013,11,1595626
35,2013.12,서울특별시,16766,2013,12,9415681
36,2014.01,서울특별시,16765,2014,1,3044516
37,2014.02,서울특별시,16767,2014,2,3952918
38,2014.03,서울특별시,16763,2014,3,735756
39,2014.04,서울특별시,16755,2014,4,1386340
40,2014.05,서울특별시,16749,2014,5,849569
41,2014.06,서울특별시,16742,2014,6,1880756
42,2014.07,서울특별시,16737,2014,7,4349335
43,2014.08,서울특별시,16734,2014,8,0
44,2014.09,서울특별시,16731,2014,9,2492260
45,2014.1,서울특별시,16723,2014,10,2070192
46,2014.11,서울특별시,16714,2014,11,2487117
47,2014.12,서울특별시,16699,2014,12,1995371
