,년월,연도,월,시도,사용량
0,2010.1,2010,01,강원도,1480180
1,2010.1,2010,01,경기도,8725482
2,2010.1,2010,01,경상남도,2922775
3,2010.1,2010,01,경상북도,3743904
4,2010.1,2010,01,광주광역시,712924
5,2010.1,2010,01,대구광역시,1331473
6,2010.1,2010,01,대전광역시,826373
7,2010.1,2010,01,부산광역시,1848492
8,2010.1,2010,01,서울특별시,4398183
9,2010.1,2010,01,세종특별자치시,0
10,2010.1,2010,01,울산광역시,2259608
11,2010.1,2010,01,인천광역시,2016429
12,2010.1,2010,01,전라남도,2233687
13,2010.1,2010,01,전라북도,1707366
14,2010.1,2010,01,제주특별자치도,325800
15,2010.1,2010,01,충청남도,3408166
16,2010.1,2010,01,충청북도,1755905
17,2011.1,2011,01,강원도,1582163
18,2011.1,2011,01,경기도,9555286
19,2011.1,2011,01,경상남도,3190181
20,2011.1,2011,01,경상북도,4066080
21,2011.1,2011,01,광주광역시,757197
22,2011.1,2011,01,대구광역시,1418812
23,2011.1,2011,01,대전광역시,877248
24,2011.1,2011,01,부산광역시,1976059
25,2011.1,2011,01,서울특별시,4562632
26,2011.1,2011,01,세종특별자치시,0
27,2011.1,2011,01,울산광역시,2424031
28,2011.1,2011,01,인천광역시,2160417
29,2011.1,2011,01,전라남도,2439025
30,2011.1,2011,01,전라북도,1936356
31,2011.1,2011,01,제주특별자치도,349747
32,2011.1,2011,01,충청남도,3898086
33,2011.1,2011,01,충청북도,1905758
34,2012.1,2012,01,강원도,1595626
35,2012.1,2012,01,경기도,9415681
36,2012.1,2012,01,경상남도,3044516
37,2012.1,2012,01,경상북도,3952918
38,2012.1,2012,01,광주광역시,735756
39,2012.1,2012,01,대구광역시,1386340
40,2012.1,2012,01,대전광역시,849569
41,2012.1,2012,01,부산광역시,1880756
42,2012.1,2012,01,서울특별시,4349335
43,2012.1,2012,01,세종특별자치시,0
44,2012.1,2012,01,울산광역시,2492260
45,2012.1,2012,01,인천광역시,2070192
46,2012.1,2012,01,전라남도,2487117
47,2012.1,2012,01,전라북도,1995371
48,2012.1,2012,01,제주특별자치도,355968
49,2012.1,2012,01,충청남도,3954327
50,2012.1,2012,01,충청북도,1903933
51,2013.1,2013,01,강원도,1612242
52,2013.1,2013,01,경기도,10001523
53,2013.1,2013,01,경상남도,3232239
54,2013.1,2013,01,경상북도,4048362
55,2013.1,2013,01,광주광역시,748024
56,2013.1,2013,01,대구광역시,1437877
57,2013.1,2013,01,대전광역시,889173
58,2013.1,2013,01,부산광역시,1919106
59,2013.1,2013,01,서울특별시,4486310
60,2013.1,2013,01,세종특별자치시,215974
61,2013.1,2013,01,울산광역시,2600360
62,2013.1,2013,01,인천광역시,2193461
63,2013.1,2013,01,전라남도,2616869
