,년월,연도,월,시도,사용량,주택가격변동률
0,2010_1,2010,1,강원도,1480180,0.13
1,2010_1,2010,1,경기도,8725482,-0.06
2,2010_1,2010,1,경상남도,2922775,0.19
3,2010_1,2010,1,경상북도,3743904,-0.01
4,2010_1,2010,1,광주광역시,712924,0.07
5,2010_1,2010,1,대구광역시,1331473,0.09
6,2010_1,2010,1,대전광역시,826373,0.63
7,2010_1,2010,1,부산광역시,1848492,0.36
8,2010_1,2010,1,서울특별시,4398183,0.13
9,2010_1,2010,1,세종특별자치시,0,0
10,2010_1,2010,1,울산광역시,2259608,0.24
11,2010_1,2010,1,인천광역시,2016429,0.05
12,2010_1,2010,1,전라남도,2233687,0.31
13,2010_1,2010,1,전라북도,1707366,0.28
14,2010_1,2010,1,제주특별자치도,325800,0.64
15,2010_1,2010,1,충청남도,3408166,0.03
16,2010_1,2010,1,충청북도,1755905,0.14
17,2011_1,2011,1,강원도,1582163,0.22
18,2011_1,2011,1,경기도,9555286,0.04
19,2011_1,2011,1,경상남도,3190181,0.55
20,2011_1,2011,1,경상북도,4066080,0.02
21,2011_1,2011,1,광주광역시,757197,0.09
22,2011_1,2011,1,대구광역시,1418812,0.11
23,2011_1,2011,1,대전광역시,877248,0.93
24,2011_1,2011,1,부산광역시,1976059,0.76
25,2011_1,2011,1,서울특별시,4562632,0.23
26,2011_1,2011,1,세종특별자치시,0,0
27,2011_1,2011,1,울산광역시,2424031,0.41
28,2011_1,2011,1,인천광역시,2160417,0.02
29,2011_1,2011,1,전라남도,2439025,0.42
30,2011_1,2011,1,전라북도,1936356,0.54
31,2011_1,2011,1,제주특별자치도,349747,0.26
32,2011_1,2011,1,충청남도,3898086,0.12
33,2011_1,2011,1,충청북도,1905758,0.38
34,2012_1,2012,1,강원도,1595626,0.31
35,2012_1,2012,1,경기도,9415681,0.01
36,2012_1,2012,1,경상남도,3044516,0.7
37,2012_1,2012,1,경상북도,3952918,0.01
38,2012_1,2012,1,광주광역시,735756,-0.01
39,2012_1,2012,1,대구광역시,1386340,0.03
40,2012_1,2012,1,대전광역시,849569,0.5
41,2012_1,2012,1,부산광역시,1880756,0.95
42,2012_1,2012,1,서울특별시,4349335,0.07
43,2012_1,2012,1,세종특별자치시,0,0
44,2012_1,2012,1,울산광역시,2492260,0.26
45,2012_1,2012,1,인천광역시,2070192,0.03
46,2012_1,2012,1,전라남도,2487117,0.7
47,2012_1,2012,1,전라북도,1995371,0.52
48,2012_1,2012,1,제주특별자치도,355968,0.15
49,2012_1,2012,1,충청남도,3954327,0.12
50,2012_1,2012,1,충청북도,1903933,0.38
51,2013_1,2013,1,강원도,1612242,0.19
52,2013_1,2013,1,경기도,10001523,-0.11
53,2013_1,2013,1,경상남도,3232239,0.66
54,2013_1,2013,1,경상북도,4048362,-0.05
55,2013_1,2013,1,광주광역시,748024,0.08
56,2013_1,2013,1,대구광역시,1437877,0.2
57,2013_1,2013,1,대전광역시,889173,0.62
