"시도별(1)",2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
"시도별(1)",금액 (백만원),비중 (%),금액 (백만원),비중 (%),금액 (백만원),비중 (%),금액 (백만원),비중 (%),금액 (백만원),비중 (%),금액 (백만원),비중 (%),금액 (백만원),비중 (%),금액 (백만원),비중 (%),금액 (백만원),비중 (%),금액 (백만원),비중 (%),금액 (백만원),비중 (%),금액 (백만원),비중 (%)
"총계",49159805,100.0,52300144,100.0,53938064,100.0,53778881,100.0,61725013,100.0,70977794,100.0,75531651,100.0,80409137,100.0,84318258,100.0,90460408,100.0,102048782,100.0,112798430,100.0
"서울",12074840,22.3,12913964,24.0,13436966,24.9,12980600,24.1,14502519,23.5,17038835,24.0,18024176,23.9,19296437,24.0,20695311,24.5,22268213,24.6,25531987,25.0,28382503,25.2
"지방계",37084965,-,39386180,-,40501098,-,40798280,-,47222494,-,53938960,-,57507475,-,-,-,-,-,-,-,-,-,-,-
"부산",3062239,5.7,3352687,6.2,3386162,6.3,3401445,6.3,3973205,6.4,4784818,6.7,4625095,6.1,4947208,6.2,4935112,6.0,5191892,5.7,6199573,6.1,6468033,5.7
"대구",1818648,3.4,1924374,3.6,2073421,3.8,2148115,4.0,2591818,4.2,2862891,4.0,2979772,3.9,3156682,3.9,3227882,3.8,3476077,3.9,3959389,3.9,4246517,3.8
"인천",2428823,4.5,2790176,5.2,2754954,5.1,2855673,5.3,3220968,5.2,3727717,5.3,4028661,5.3,4427782,5.5,4465821,5.3,4809476,5.3,5187705,5.1,5923870,5.2
"광주",1077114,2.0,1137184,2.1,1202985,2.2,1220622,2.3,1428496,2.3,1553789,2.2,1678987,2.2,1710868,2.1,1845600,2.2,2027885,2.3,2267962,2.2,2392719,2.1
"대전",1162679,2.2,1332664,2.5,1320566,2.4,1258482,2.3,1549395,2.5,1626744,2.3,1683926,2.2,1713620,2.1,1735655,2.1,1991017,2.2,2252393,2.2,2511095,2.2
"울산",1230508,2.3,1375029,2.6,1493288,2.8,1413522,2.6,1611003,2.6,1760321,2.5,1945369,2.6,1983863,2.5,1946957,2.3,2040650,2.3,2093867,2.0,2216360,2.0
"세종",-,-,-,-,119099,0.2,216598,0.4,386816,0.6,512028,0.7,499626,0.7,665142,0.8,670652,0.8,666939,0.7,795242,0.8,877116,0.8
"경기",12876723,23.9,12957501,24.2,13288767,24.7,13301235,24.7,15216198,24.7,17885557,25.2,19245126,25.5,20710614,25.8,22807183,27.0,24138048,26.7,25801039,25.3,29735913,26.4
"강원",1222509,2.3,1272268,2.4,1344637,2.5,1330566,2.5,1473843,2.4,1594058,2.2,1859620,2.5,1944969,2.4,2057307,2.4,2168668,2.4,2653723,2.6,2875409,2.5
"충북",1310314,2.4,1371252,2.5,1443528,2.7,1431512,2.7,1684169,2.7,1884993,2.7,2020649,2.7,2106205,2.6,2281543,2.7,2573152,2.9,2770501,2.7,3149318,2.8
"충남",2097037,3.9,2297542,4.3,2307243,4.3,2226001,4.1,2624962,4.3,2836473,4.0,3120102,4.1,3433932,4.3,3507758,4.2,3560335,3.9,4125636,4.0,4595115,4.1
"전북",1287562,2.4,1407180,2.6,1456057,2.7,1457454,2.7,1641746,2.7,1796926,2.5,1896033,2.5,2005960,2.5,2039943,2.4,2292195,2.5,2921771,2.9,3063559,2.7
"전남",1434292,2.7,1580286,2.9,1622293,3.0,1599464,3.0,1751096,2.8,2002617,2.8,2243786,3.0,2319014,2.9,2392217,2.8,2714787,3.0,3564716,3.5,3730749,3.3
"경북",2220366,4.1,2397531,4.5,2499249,4.6,2563701,4.8,2963881,4.8,3450733,4.9,3567765,4.7,3719931,4.6,3634277,4.3,3922794,4.3,4589594,4.5,4898316,4.3
"경남",3334664,6.2,3609075,6.7,3504746,6.5,3605279,6.7,4195428,6.8,4535227,6.4,4736834,6.3,4818215,6.0,4616070,5.5,5098712,5.6,5731861,5.6,6046173,5.4
"제주",521487,1.0,581431,1.1,684103,1.3,768612,1.4,909470,1.5,1124068,1.6,1376124,1.8,1448695,1.8,1458970,1.7,1519568,1.7,1601823,1.6,1685665,1.5
