,년월,연도,월,코스피 평균
0,2010_01,2010,01,1682.16
1,2010_02,2010,02,1598.96
2,2010_03,2010,03,1665.5
3,2010_04,2010,04,1730.29
4,2010_05,2010,05,1648.3
5,2010_06,2010,06,1691.94
6,2010_07,2010,07,1731.12
7,2010_08,2010,08,1762.18
8,2010_09,2010,09,1815.75
9,2010_10,2010,10,1889.7
10,2010_11,2010,11,1924.71
11,2010_12,2010,12,2002.5
12,2011_01,2011,01,2091.61
13,2011_02,2011,02,2002.87
14,2011_03,2011,03,2002.67
15,2011_04,2011,04,2153.13
16,2011_05,2011,05,2121.87
17,2011_06,2011,06,2074.64
18,2011_07,2011,07,2150.06
19,2011_08,2011,08,1869.41
20,2011_09,2011,09,1790.95
21,2011_10,2011,10,1825.88
22,2011_11,2011,11,1858.8
23,2011_12,2011,12,1863.23
24,2012_01,2012,01,1891.01
25,2012_02,2012,02,2003.23
26,2012_03,2012,03,2023.41
27,2012_04,2012,04,1995.92
28,2012_05,2012,05,1886.35
29,2012_06,2012,06,1848.6
30,2012_07,2012,07,1826.75
31,2012_08,2012,08,1918.91
32,2012_09,2012,09,1961.29
33,2012_10,2012,10,1942.19
34,2012_11,2012,11,1904.7
35,2012_12,2012,12,1973.84
36,2013_01,2013,01,1986.1
37,2013_02,2013,02,1979.85
38,2013_03,2013,03,1990.24
39,2013_04,2013,04,1938.88
40,2013_05,2013,05,1974.45
41,2013_06,2013,06,1884.41
42,2013_07,2013,07,1871.77
43,2013_08,2013,08,1896.96
44,2013_09,2013,09,1984.39
45,2013_10,2013,10,2029.68
46,2013_11,2013,11,2009.92
47,2013_12,2013,12,1988.33
48,2014_01,2014,01,1948.22
49,2014_02,2014,02,1937.73
50,2014_03,2014,03,1952.43
51,2014_04,2014,04,1991.19
52,2014_05,2014,05,1994.13
53,2014_06,2014,06,1995.08
54,2014_07,2014,07,2021.95
55,2014_08,2014,08,2060.93
56,2014_09,2014,09,2042.71
57,2014_10,2014,10,1942.8
58,2014_11,2014,11,1959.65
59,2014_12,2014,12,1941.93
60,2015_01,2015,01,1920.99
61,2015_02,2015,02,1961.0
62,2015_03,2015,03,2012.62
63,2015_04,2015,04,2107.27
64,2015_05,2015,05,2114.9
65,2015_06,2015,06,2063.69
66,2015_07,2015,07,2058.03
67,2015_08,2015,08,1952.55
68,2015_09,2015,09,1939.58
69,2015_10,2015,10,2020.57
70,2015_11,2015,11,2006.78
71,2015_12,2015,12,1971.53
72,2016_01,2016,01,1894.65
73,2016_02,2016,02,1900.61
74,2016_03,2016,03,1976.5
75,2016_04,2016,04,1996.17
76,2016_05,2016,05,1966.68
77,2016_06,2016,06,1977.03
78,2016_07,2016,07,2002.48
79,2016_08,2016,08,2036.66
80,2016_09,2016,09,2042.56
81,2016_10,2016,10,2036.03
82,2016_11,2016,11,1981.75
83,2016_12,2016,12,2021.67
84,2017_01,2017,01,2061.73
85,2017_02,2017,02,2082.8
86,2017_03,2017,03,2136.17
87,2017_04,2017,04,2160.18
88,2017_05,2017,05,2301.89
89,2017_06,2017,06,2372.2
90,2017_07,2017,07,2412.9
91,2017_08,2017,08,2372.18
92,2017_09,2017,09,2371.84
93,2017_10,2017,10,2482.87
94,2017_11,2017,11,2533.51
95,2017_12,2017,12,2467.73
96,2018_01,2018,01,2520.94
97,2018_02,2018,02,2439.1
98,2018_03,2018,03,2451.57
99,2018_04,2018,04,2458.22
100,2018_05,2018,05,2461.3
101,2018_06,2018,06,2394.51
102,2018_07,2018,07,2284.25
103,2018_08,2018,08,2283.8
104,2018_09,2018,09,2307.33
105,2018_10,2018,10,2153.48
106,2018_11,2018,11,2083.33
107,2018_12,2018,12,2070.13
108,2019_01,2019,01,2101.98
109,2019_02,2019,02,2210.2
110,2019_03,2019,03,2161.91
111,2019_04,2019,04,2212.12
112,2019_05,2019,05,2086.9
113,2019_06,2019,06,2105.3
114,2019_07,2019,07,2079.48
115,2019_08,2019,08,1944.24
116,2019_09,2019,09,2045.21
117,2019_10,2019,10,2065.75
118,2019_11,2019,11,2128.79
119,2019_12,2019,12,2147.01
120,2020_01,2020,01,2203.44
121,2020_02,2020,02,2167.12
122,2020_03,2020,03,1786.75
123,2020_04,2020,04,1849.59
124,2020_05,2020,05,1965.17
125,2020_06,2020,06,2134.7
126,2020_07,2020,07,2195.95
127,2020_08,2020,08,2349.87
128,2020_09,2020,09,2371.52
129,2020_10,2020,10,2357.82
130,2020_11,2020,11,2504.18
131,2020_12,2020,12,2755.77
132,2021_01,2021,01,3089.27
133,2021_02,2021,02,3092.41
134,2021_03,2021,03,3032.47
135,2021_04,2021,04,3165.08
136,2021_05,2021,05,3169.2
137,2021_06,2021,06,3259.14
138,2021_07,2021,07,3254.57
139,2021_08,2021,08,3182.5
140,2021_09,2021,09,3141.7
141,2021_10,2021,10,2989.87
142,2021_11,2021,11,2964.3
143,2021_12,2021,12,2988.49
144,2022_01,2022,01,2865.55
145,2022_02,2022,02,2724.02
146,2022_03,2022,03,2698.72
147,2022_04,2022,04,2703.24
148,2022_05,2022,05,2628.34
149,2022_06,2022,06,2474.95
150,2022_07,2022,07,2362.79
151,2022_08,2022,08,2479.57
152,2022_09,2022,09,2333.93
153,2022_10,2022,10,2230.27
154,2022_11,2022,11,2417.56
155,2022_12,2022,12,2361.28
