,연도,월,코스피 평균
0,2010,01,1682.16
1,2010,02,1598.96
2,2010,03,1665.5
3,2010,04,1730.29
4,2010,05,1648.3
5,2010,06,1691.94
6,2010,07,1731.12
7,2010,08,1762.18
8,2010,09,1815.75
9,2010,10,1889.7
10,2010,11,1924.71
11,2010,12,2002.5
12,2011,01,2091.61
13,2011,02,2002.87
14,2011,03,2002.67
15,2011,04,2153.13
16,2011,05,2121.87
17,2011,06,2074.64
18,2011,07,2150.06
19,2011,08,1869.41
20,2011,09,1790.95
21,2011,10,1825.88
22,2011,11,1858.8
23,2011,12,1863.23
24,2012,01,1891.01
25,2012,02,2003.23
26,2012,03,2023.41
27,2012,04,1995.92
28,2012,05,1886.35
29,2012,06,1848.6
30,2012,07,1826.75
31,2012,08,1918.91
32,2012,09,1961.29
33,2012,10,1942.19
34,2012,11,1904.7
35,2012,12,1973.84
36,2013,01,1986.1
37,2013,02,1979.85
38,2013,03,1990.24
39,2013,04,1938.88
40,2013,05,1974.45
41,2013,06,1884.41
42,2013,07,1871.77
43,2013,08,1896.96
44,2013,09,1984.39
45,2013,10,2029.68
46,2013,11,2009.92
47,2013,12,1988.33
48,2014,01,1948.22
49,2014,02,1937.73
50,2014,03,1952.43
51,2014,04,1991.19
52,2014,05,1994.13
53,2014,06,1995.08
54,2014,07,2021.95
55,2014,08,2060.93
56,2014,09,2042.71
57,2014,10,1942.8
58,2014,11,1959.65
59,2014,12,1941.93
60,2015,01,1920.99
61,2015,02,1961.0
62,2015,03,2012.62
63,2015,04,2107.27
64,2015,05,2114.9
65,2015,06,2063.69
66,2015,07,2058.03
67,2015,08,1952.55
68,2015,09,1939.58
69,2015,10,2020.57
70,2015,11,2006.78
71,2015,12,1971.53
72,2016,01,1894.65
73,2016,02,1900.61
74,2016,03,1976.5
75,2016,04,1996.17
76,2016,05,1966.68
77,2016,06,1977.03
78,2016,07,2002.48
79,2016,08,2036.66
80,2016,09,2042.56
81,2016,10,2036.03
82,2016,11,1981.75
83,2016,12,2021.67
84,2017,01,2061.73
85,2017,02,2082.8
86,2017,03,2136.17
87,2017,04,2160.18
88,2017,05,2301.89
89,2017,06,2372.2
90,2017,07,2412.9
91,2017,08,2372.18
92,2017,09,2371.84
93,2017,10,2482.87
94,2017,11,2533.51
95,2017,12,2467.73
96,2018,01,2520.94
97,2018,02,2439.1
98,2018,03,2451.57
99,2018,04,2458.22
100,2018,05,2461.3
101,2018,06,2394.51
102,2018,07,2284.25
103,2018,08,2283.8
104,2018,09,2307.33
105,2018,10,2153.48
106,2018,11,2083.33
107,2018,12,2070.13
108,2019,01,2101.98
109,2019,02,2210.2
110,2019,03,2161.91
111,2019,04,2212.12
112,2019,05,2086.9
113,2019,06,2105.3
114,2019,07,2079.48
115,2019,08,1944.24
116,2019,09,2045.21
117,2019,10,2065.75
118,2019,11,2128.79
119,2019,12,2147.01
120,2020,01,2203.44
121,2020,02,2167.12
122,2020,03,1786.75
123,2020,04,1849.59
124,2020,05,1965.17
125,2020,06,2134.7
126,2020,07,2195.95
127,2020,08,2349.87
128,2020,09,2371.52
129,2020,10,2357.82
130,2020,11,2504.18
131,2020,12,2755.77
132,2021,01,3089.27
133,2021,02,3092.41
134,2021,03,3032.47
135,2021,04,3165.08
136,2021,05,3169.2
137,2021,06,3259.14
138,2021,07,3254.57
139,2021,08,3182.5
140,2021,09,3141.7
141,2021,10,2989.87
142,2021,11,2964.3
143,2021,12,2988.49
144,2022,01,2865.55
145,2022,02,2724.02
146,2022,03,2698.72
147,2022,04,2703.24
148,2022,05,2628.34
149,2022,06,2474.95
150,2022,07,2362.79
151,2022,08,2479.57
152,2022,09,2333.93
153,2022,10,2230.27
154,2022,11,2417.56
155,2022,12,2361.28
