,연도,시도,월,사용량
0,2010,강원도,1,1480180
1,2010,경기도,1,8725482
2,2010,경상남도,1,2922775
3,2010,경상북도,1,3743904
4,2010,광주광역시,1,712924
5,2010,대구광역시,1,1331473
6,2010,대전광역시,1,826373
7,2010,부산광역시,1,1848492
8,2010,서울특별시,1,4398183
9,2010,세종특별자치시,1,0
10,2010,울산광역시,1,2259608
11,2010,인천광역시,1,2016429
12,2010,전라남도,1,2233687
13,2010,전라북도,1,1707366
14,2010,제주특별자치도,1,325800
15,2010,충청남도,1,3408166
16,2010,충청북도,1,1755905
17,2011,강원도,1,1582163
18,2011,경기도,1,9555286
19,2011,경상남도,1,3190181
20,2011,경상북도,1,4066080
21,2011,광주광역시,1,757197
22,2011,대구광역시,1,1418812
23,2011,대전광역시,1,877248
24,2011,부산광역시,1,1976059
25,2011,서울특별시,1,4562632
26,2011,세종특별자치시,1,0
27,2011,울산광역시,1,2424031
28,2011,인천광역시,1,2160417
29,2011,전라남도,1,2439025
30,2011,전라북도,1,1936356
31,2011,제주특별자치도,1,349747
32,2011,충청남도,1,3898086
33,2011,충청북도,1,1905758
34,2012,강원도,1,1595626
35,2012,경기도,1,9415681
36,2012,경상남도,1,3044516
37,2012,경상북도,1,3952918
38,2012,광주광역시,1,735756
39,2012,대구광역시,1,1386340
40,2012,대전광역시,1,849569
41,2012,부산광역시,1,1880756
42,2012,서울특별시,1,4349335
43,2012,세종특별자치시,1,0
44,2012,울산광역시,1,2492260
45,2012,인천광역시,1,2070192
46,2012,전라남도,1,2487117
47,2012,전라북도,1,1995371
48,2012,제주특별자치도,1,355968
49,2012,충청남도,1,3954327
50,2012,충청북도,1,1903933
51,2013,강원도,1,1612242
52,2013,경기도,1,10001523
53,2013,경상남도,1,3232239
54,2013,경상북도,1,4048362
55,2013,광주광역시,1,748024
56,2013,대구광역시,1,1437877
57,2013,대전광역시,1,889173
58,2013,부산광역시,1,1919106
59,2013,서울특별시,1,4486310
60,2013,세종특별자치시,1,215974
61,2013,울산광역시,1,2600360
62,2013,인천광역시,1,2193461
63,2013,전라남도,1,2616869
64,2013,전라북도,1,1955358
65,2013,제주특별자치도,1,373763
66,2013,충청남도,1,4111575
67,2013,충청북도,1,2030193
68,2014,강원도,1,1559679
69,2014,경기도,1,9668916
70,2014,경상남도,1,3176345
71,2014,경상북도,1,4164536
72,2014,광주광역시,1,753936
73,2014,대구광역시,1,1377672
74,2014,대전광역시,1,841296
75,2014,부산광역시,1,1817342
76,2014,서울특별시,1,4155574
77,2014,세종특별자치시,1,219354
78,2014,울산광역시,1,2585455
79,2014,인천광역시,1,2073838
