"월별(1)",2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"월별(1)",임금결정 사업장 수 (개),임금결정 사업장 수 (개),월별 임금결정률 (%),월별 임금결정률 (%),협약임금인상률(누계) (%),협약임금인상률(누계) (%),임금결정 사업장 수 (개),임금결정 사업장 수 (개),월별 임금결정률 (%),월별 임금결정률 (%),협약임금인상률(누계) (%),협약임금인상률(누계) (%),임금결정 사업장 수 (개),임금결정 사업장 수 (개),월별 임금결정률 (%),월별 임금결정률 (%),협약임금인상률(누계) (%),협약임금인상률(누계) (%)
"월별(1)",월별,누계,월별,누계,임금총액,통상임금,소계,누계,소계,누계,임금총액,통상임금,소계,누계,소계,누계,임금총액,통상임금
"1월",3639,3639,40.1,40.1,3.7,3.8,3297,3297,41.4,41.4,2.9,3.3,3177,3177,41.8,41.8,4.7,4.7
"2월",546,4185,6.0,46.1,3.8,3.9,488,3785,6.2,47.6,3.1,3.4,501,3678,6.6,48.4,4.9,4.9
"3월",913,5098,10.1,56.1,3.7,3.8,828,4613,10.4,58.0,3.5,3.8,846,4524,11.1,59.6,5.0,5.0
"4월",623,5721,6.9,63.0,3.7,3.8,674,5287,8.4,66.4,4.1,4.3,680,5204,9.0,68.5,5.4,5.2
"5월",289,6010,3.2,66.2,3.7,3.8,289,5576,3.7,70.1,4.1,4.3,310,5514,4.1,72.6,5.5,5.4
"6월",262,6272,2.9,69.0,3.6,3.8,239,5815,3.0,73.1,4.1,4.3,272,5786,3.6,76.2,5.5,5.4
"7월",325,6597,3.6,72.6,3.6,3.7,342,6157,4.4,77.5,4.2,4.3,280,6066,3.7,79.9,5.5,5.3
"8월",214,6811,2.4,75.0,3.5,3.7,176,6333,2.1,79.6,4.1,4.3,197,6263,2.6,82.5,5.4,5.3
"9월",379,7190,4.2,79.2,3.2,3.4,307,6640,3.8,83.4,4.0,4.1,239,6502,3.1,85.6,5.3,5.2
"10월",248,7438,2.7,81.9,3.2,3.3,207,6847,2.6,86.0,3.9,4.1,145,6647,1.9,87.6,5.2,5.1
"11월",247,7685,2.7,84.6,3.1,3.3,232,7079,3.0,89.0,3.8,3.9,205,6852,2.7,90.3,5.0,5.0
"12월",439,8124,4.8,89.4,3.0,3.2,459,7538,5.7,94.7,3.6,3.8,316,7168,4.2,94.4,4.7,4.7
