"주가구분별(1)",주가구분별(2),주가구분별(3),2010.01,2010.02,2010.03,2010.04,2010.05,2010.06,2010.07,2010.08,2010.09,2010.10,2010.11,2010.12,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.10,2011.11,2011.12,2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.10,2012.11,2012.12,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.10,2013.11,2013.12,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.10,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
"연월말",소계,소계,1602.43,1594.58,1692.85,1741.56,1641.25,1698.29,1759.33,1742.75,1872.81,1882.95,1904.63,2051,2069.73,1939.3,2106.7,2192.36,2142.47,2100.69,2133.21,1880.11,1769.65,1909.03,1847.51,1825.74,1955.79,2030.25,2014.04,1981.99,1843.47,1854.01,1881.99,1905.12,1996.21,1912.06,1932.9,1997.05,1961.94,2026.49,2004.89,1963.95,2001.05,1863.32,1914.03,1926.36,1996.96,2030.09,2044.87,2011.34,1941.15,1979.99,1985.61,1961.79,1994.96,2002.21,2076.12,2068.54,2020.09,1964.43,1980.78,1915.59,1949.26,1985.8,2041.03,2127.17,2114.8,2074.2,2030.16,1941.49,1962.81,2029.47,1991.97,1961.31,1912.06,1916.66,1995.85,1994.15,1983.4,1970.35,2016.19,2034.65,2043.63,2008.19,1983.48,2026.46,2067.57,2091.64,2160.23,2205.44,2347.38,2391.79,2402.71,2363.19,2394.47,2523.43,2476.37,2467.49,2566.46,2427.36,2445.85,2515.38,2423.01,2326.13,2295.26,2322.88,2343.07,2029.69,2096.86,2041.04,2204.85,2195.44,2140.67,2203.59,2041.74,2130.62,2024.55,1967.79,2063.05,2083.48,2087.96,2197.67,2119.01,1987.01,1754.64,1947.56,2029.6,2108.33,2249.37,2326.17,2327.89,2267.15,2591.34,2873.47,2976.21,3012.95,3061.42,3147.86,3203.92,3296.68,3202.32,3199.27,3068.82,2970.68,2839.01,2977.65,2663.34,2699.18,2757.65,2695.05,2685.9,2332.64,2451.5,2472.05,2155.49,2293.61,2472.53,2236.4
"등락폭",소계,소계,-80.34,-7.85,98.27,48.71,-100.31,57.04,61.04,-16.58,130.06,10.14,21.68,146.37,18.73,-130.43,167.40,85.66,-49.89,-41.78,32.52,-253.10,-110.46,139.38,-61.52,-21.77,130.05,74.46,-16.21,-32.05,-138.52,10.54,27.98,23.13,91.09,-84.15,20.84,64.15,-35.11,64.55,-21.60,-40.94,37.10,-137.73,50.71,12.33,70.60,33.13,14.78,-33.53,-70.19,38.84,5.62,-23.82,33.17,7.25,73.91,-7.58,-48.45,-55.66,16.35,-65.19,33.67,36.54,55.23,86.14,-12.37,-40.60,-44.04,-88.67,21.32,66.66,-37.50,-30.66,-49.25,4.60,79.19,-1.70,-10.75,-13.05,45.84,18.46,8.98,-35.44,-24.71,42.98,41.11,24.07,68.59,45.21,141.94,44.41,10.92,-39.52,31.28,128.96,-47.06,-8.88,98.97,-139.10,18.49,69.53,-92.37,-96.88,-30.87,27.62,20.19,-313.38,67.17,-55.82,163.81,-9.41,-54.77,62.92,-161.85,88.88,-106.07,-56.76,95.26,20.43,4.48,109.71,-78.66,-132.00,-232.37,192.92,82.04,78.73,141.04,76.80,1.72,-60.74,324.19,282.13,102.74,36.74,48.47,86.44,56.06,92.76,-94.36,-3.05,-130.45,-98.14,-131.67,138.64,-314.31,35.84,58.47,-62.60,-9.15,-353.26,118.86,20.55,-316.56,138.12,178.92,-236.13
"등락률 (%)",소계,소계,-4.77,-0.49,6.16,2.88,-5.76,3.48,3.59,-0.94,7.46,0.54,1.15,7.68,0.91,-6.30,8.63,4.07,-2.28,-1.95,1.55,-11.86,-5.88,7.88,-3.22,-1.18,7.12,3.81,-0.80,-1.59,-6.99,0.57,1.51,1.23,4.78,-4.22,1.09,3.32,-1.76,3.29,-1.07,-2.04,1.89,-6.88,2.72,0.64,3.66,1.66,0.73,-1.64,-3.49,2.00,0.28,-1.20,1.69,0.36,3.69,-0.37,-2.34,-2.76,0.83,-3.29,1.76,1.87,2.78,4.22,-0.58,-1.92,-2.12,-4.37,1.10,3.40,-1.85,-1.54,-2.51,0.24,4.13,-0.09,-0.54,-0.66,2.33,0.92,0.44,-1.73,-1.23,2.17,2.03,1.16,3.28,2.09,6.44,1.89,0.46,-1.64,1.32,5.39,-1.86,-0.36,4.01,-5.42,0.76,2.84,-3.67,-4.00,-1.33,1.20,0.87,-13.37,3.31,-2.66,8.03,-0.43,-2.49,2.94,-7.34,4.35,-4.98,-2.80,4.84,0.99,0.22,5.25,-3.58,-6.23,-11.69,10.99,4.21,3.88,6.69,3.41,0.07,-2.61,14.30,10.89,3.58,1.23,1.61,2.82,1.78,2.90,-2.86,-0.10,-4.08,-3.20,-4.43,4.88,-10.56,1.35,2.17,-2.27,-0.34,-13.15,5.10,0.84,-12.81,6.41,7.80,-9.55
"평균",소계,소계,1682.16,1598.96,1665.5,1730.29,1648.3,1691.94,1731.12,1762.18,1815.75,1889.7,1924.71,2002.5,2091.61,2002.87,2002.67,2153.13,2121.87,2074.64,2150.06,1869.41,1790.95,1825.88,1858.8,1863.23,1891.01,2003.23,2023.41,1995.92,1886.35,1848.6,1826.75,1918.91,1961.29,1942.19,1904.7,1973.84,1986.1,1979.85,1990.24,1938.88,1974.45,1884.41,1871.77,1896.96,1984.39,2029.68,2009.92,1988.33,1948.22,1937.73,1952.43,1991.19,1994.13,1995.08,2021.95,2060.93,2042.71,1942.8,1959.65,1941.93,1920.99,1961,2012.62,2107.27,2114.9,2063.69,2058.03,1952.55,1939.58,2020.57,2006.78,1971.53,1894.65,1900.61,1976.5,1996.17,1966.68,1977.03,2002.48,2036.66,2042.56,2036.03,1981.75,2021.67,2061.73,2082.8,2136.17,2160.18,2301.89,2372.2,2412.9,2372.18,2371.84,2482.87,2533.51,2467.73,2520.94,2439.1,2451.57,2458.22,2461.3,2394.51,2284.25,2283.8,2307.33,2153.48,2083.33,2070.13,2101.98,2210.2,2161.91,2212.12,2086.9,2105.3,2079.48,1944.24,2045.21,2065.75,2128.79,2147.01,2203.44,2167.12,1786.75,1849.59,1965.17,2134.7,2195.95,2349.87,2371.52,2357.82,2504.18,2755.77,3089.27,3092.41,3032.47,3165.08,3169.2,3259.14,3254.57,3182.5,3141.7,2989.87,2964.3,2988.49,2865.55,2724.02,2698.72,2703.24,2628.34,2474.95,2362.79,2479.57,2333.93,2230.27,2417.56,2361.28
"종가기준",최고,지수,1722.01,1628.90,1700.19,1752.20,1721.21,1739.87,1773.47,1790.60,1872.81,1919.41,1967.85,2051.00,2115.69,2081.74,2106.70,2216.00,2228.96,2141.34,2180.59,2172.31,1880.70,1929.48,1928.41,1922.90,1964.83,2030.25,2047.00,2049.28,1999.07,1904.12,1881.99,1957.91,2007.88,1996.03,1937.55,2002.77,2031.10,2026.49,2020.74,1995.99,2001.20,1989.57,1917.05,1926.36,2013.37,2059.58,2045.77,2030.78,1970.42,1979.99,1985.61,2008.61,2017.17,2014.67,2082.61,2080.42,2067.86,1991.54,1982.09,1986.62,1961.58,1993.08,2042.81,2173.41,2146.10,2102.37,2107.33,2029.76,1995.95,2048.08,2052.77,2023.93,1930.53,1924.82,2002.14,2022.10,1986.41,2027.08,2027.34,2056.24,2068.72,2065.30,2007.39,2042.24,2087.14,2107.63,2178.38,2209.46,2355.30,2395.66,2451.53,2427.63,2418.21,2523.43,2557.97,2510.12,2598.19,2568.54,2496.02,2515.38,2505.61,2470.58,2310.90,2322.88,2355.43,2338.88,2114.10,2131.93,2206.20,2234.79,2190.66,2248.63,2212.75,2134.32,2129.74,2017.34,2101.04,2093.60,2162.18,2204.21,2267.25,2243.59,2085.26,1947.56,2031.20,2195.69,2267.01,2437.53,2443.58,2403.73,2633.45,2873.47,3208.99,3163.25,3082.99,3220.70,3249.30,3302.84,3305.21,3280.38,3207.02,3049.08,3013.49,3029.57,2989.24,2771.93,2757.65,2759.20,2687.45,2670.65,2451.50,2533.52,2449.54,2293.61,2483.16,2479.84
"종가기준",최고,월 (월),1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
"종가기준",최고,일 (일),21,23,30,26,3,24,28,3,30,26,10,30,19,7,31,25,2,1,7,1,1,28,4,5,27,29,19,3,2,20,31,16,19,2,7,13,2,28,6,1,29,3,30,30,16,30,28,2,22,28,31,10,23,11,30,4,1,1,27,5,28,26,25,23,22,1,2,5,18,26,4,1,5,1,30,21,3,8,26,19,29,6,1,16,12,23,21,27,26,29,24,2,18,31,3,5,29,1,22,30,2,7,13,31,27,1,29,3,30,27,4,16,2,27,1,1,24,28,15,27,22,14,5,29,27,10,30,13,15,12,27,30,25,16,3,20,10,25,6,4,1,26,2,9,4,10,31,5,2,3,29,16,13,31,11,1
"종가기준",최저,지수,1602.43,1552.79,1615.12,1705.30,1560.83,1630.40,1671.82,1721.75,1764.69,1857.32,1895.54,1929.32,2069.73,1939.30,1923.92,2089.40,2035.87,2019.65,2109.73,1710.70,1652.71,1666.52,1776.40,1776.93,1826.37,1959.24,1982.15,1961.98,1782.46,1783.13,1769.31,1848.68,1874.03,1891.43,1860.83,1935.18,1939.71,1931.77,1948.71,1900.06,1944.75,1780.63,1816.85,1849.12,1924.81,1994.42,1963.56,1961.15,1910.34,1886.85,1919.52,1961.79,1939.88,1968.07,1988.74,2031.10,2020.09,1900.66,1931.43,1897.50,1882.45,1935.86,1970.59,2028.45,2085.52,2028.72,2016.21,1829.81,1878.68,1969.68,1943.02,1927.82,1840.53,1835.28,1946.12,1962.74,1937.68,1925.24,1953.12,1994.79,1991.48,2008.19,1958.38,1963.36,2026.16,2065.08,2078.75,2123.85,2219.67,2344.61,2379.87,2319.71,2319.82,2433.81,2476.37,2427.34,2466.46,2363.77,2375.06,2408.06,2409.03,2314.24,2257.55,2240.80,2281.58,1996.05,2024.46,2028.01,1993.70,2177.05,2128.10,2168.28,2023.32,2066.97,2024.55,1909.71,1965.69,2020.69,2087.96,2060.74,2119.01,1987.01,1457.64,1685.46,1895.37,2030.82,2106.70,2251.04,2272.70,2267.15,2300.16,2634.25,2944.45,2994.98,2958.12,3087.40,3122.11,3216.18,3202.32,3060.51,3060.27,2908.31,2839.01,2899.72,2614.49,2648.80,2621.53,2639.06,2550.08,2314.32,2292.01,2426.89,2155.49,2162.87,2329.17,2236.40
"종가기준",최저,월 (월),1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
