,연월,연도,월,시도,고용률
0,2010_01,2010,1,서울특별시,57.6
1,2010_02,2010,2,서울특별시,57.8
2,2010_03,2010,3,서울특별시,58.3
3,2010_04,2010,4,서울특별시,59.2
4,2010_05,2010,5,서울특별시,60.0
5,2010_06,2010,6,서울특별시,59.8
6,2010_07,2010,7,서울특별시,60.1
7,2010_08,2010,8,서울특별시,59.5
8,2010_09,2010,9,서울특별시,59.4
9,2010_10,2010,10,서울특별시,59.6
10,2010_11,2010,11,서울특별시,59.7
11,2010_12,2010,12,서울특별시,59.8
12,2011_01,2011,1,서울특별시,58.8
13,2011_02,2011,2,서울특별시,59.2
14,2011_03,2011,3,서울특별시,59.6
15,2011_04,2011,4,서울특별시,60.1
16,2011_05,2011,5,서울특별시,60.7
17,2011_06,2011,6,서울특별시,61.0
18,2011_07,2011,7,서울특별시,60.9
19,2011_08,2011,8,서울특별시,60.3
20,2011_09,2011,9,서울특별시,59.7
21,2011_10,2011,10,서울특별시,60.3
22,2011_11,2011,11,서울특별시,60.3
23,2011_12,2011,12,서울특별시,59.7
24,2012_01,2012,1,서울특별시,59.1
25,2012_02,2012,2,서울특별시,59.2
26,2012_03,2012,3,서울특별시,59.7
27,2012_04,2012,4,서울특별시,60.4
28,2012_05,2012,5,서울특별시,61.0
29,2012_06,2012,6,서울특별시,60.8
30,2012_07,2012,7,서울특별시,60.6
31,2012_08,2012,8,서울특별시,59.7
32,2012_09,2012,9,서울특별시,59.9
33,2012_10,2012,10,서울특별시,59.7
34,2012_11,2012,11,서울특별시,59.5
35,2012_12,2012,12,서울특별시,59.3
36,2013_01,2013,1,서울특별시,59.1
37,2013_02,2013,2,서울특별시,58.7
38,2013_03,2013,3,서울특별시,58.8
39,2013_04,2013,4,서울특별시,59.6
40,2013_05,2013,5,서울특별시,60.0
41,2013_06,2013,6,서울특별시,60.2
42,2013_07,2013,7,서울특별시,60.2
43,2013_08,2013,8,서울특별시,59.7
44,2013_09,2013,9,서울특별시,60.3
45,2013_10,2013,10,서울특별시,60.6
46,2013_11,2013,11,서울특별시,60.7
47,2013_12,2013,12,서울특별시,60.8
48,2014_01,2014,1,서울특별시,60.1
49,2014_02,2014,2,서울특별시,60.3
50,2014_03,2014,3,서울특별시,60.3
51,2014_04,2014,4,서울특별시,60.5
52,2014_05,2014,5,서울특별시,60.4
53,2014_06,2014,6,서울특별시,60.4
54,2014_07,2014,7,서울특별시,60.6
55,2014_08,2014,8,서울특별시,60.4
56,2014_09,2014,9,서울특별시,60.5
57,2014_10,2014,10,서울특별시,60.6
58,2014_11,2014,11,서울특별시,61.0
59,2014_12,2014,12,서울특별시,60.6
60,2015_01,2015,1,서울특별시,60.0
61,2015_02,2015,2,서울특별시,59.7
62,2015_03,2015,3,서울특별시,59.5
63,2015_04,2015,4,서울특별시,59.6
64,2015_05,2015,5,서울특별시,60.3
65,2015_06,2015,6,서울특별시,59.8
66,2015_07,2015,7,서울특별시,60.3
67,2015_08,2015,8,서울특별시,60.3
68,2015_09,2015,9,서울특별시,60.0
69,2015_10,2015,10,서울특별시,59.9
70,2015_11,2015,11,서울특별시,60.2
71,2015_12,2015,12,서울특별시,60.1
72,2016_01,2016,1,서울특별시,59.7
73,2016_02,2016,2,서울특별시,59.3
74,2016_03,2016,3,서울특별시,58.8
75,2016_04,2016,4,서울특별시,59.3
76,2016_05,2016,5,서울특별시,60.2
77,2016_06,2016,6,서울특별시,60.4
78,2016_07,2016,7,서울특별시,60.4
79,2016_08,2016,8,서울특별시,60.0
80,2016_09,2016,9,서울특별시,60.2
81,2016_10,2016,10,서울특별시,60.5
82,2016_11,2016,11,서울특별시,60.5
83,2016_12,2016,12,서울특별시,60.3
84,2017_01,2017,1,서울특별시,59.4
85,2017_02,2017,2,서울특별시,59.7
86,2017_03,2017,3,서울특별시,59.7
87,2017_04,2017,4,서울특별시,59.9
88,2017_05,2017,5,서울특별시,60.5
89,2017_06,2017,6,서울특별시,60.8
90,2017_07,2017,7,서울특별시,61.0
91,2017_08,2017,8,서울특별시,60.6
92,2017_09,2017,9,서울특별시,60.4
93,2017_10,2017,10,서울특별시,60.4
94,2017_11,2017,11,서울특별시,60.3
95,2017_12,2017,12,서울특별시,59.9
96,2018_01,2018,1,서울특별시,59.8
97,2018_02,2018,2,서울특별시,59.3
98,2018_03,2018,3,서울특별시,59.6
99,2018_04,2018,4,서울특별시,59.7
100,2018_05,2018,5,서울특별시,59.7
101,2018_06,2018,6,서울특별시,60.1
102,2018_07,2018,7,서울특별시,59.9
103,2018_08,2018,8,서울특별시,59.5
104,2018_09,2018,9,서울특별시,59.3
105,2018_10,2018,10,서울특별시,59.4
106,2018_11,2018,11,서울특별시,59.9
107,2018_12,2018,12,서울특별시,59.3
108,2019_01,2019,1,서울특별시,58.7
109,2019_02,2019,2,서울특별시,58.4
110,2019_03,2019,3,서울특별시,58.7
111,2019_04,2019,4,서울특별시,59.6
112,2019_05,2019,5,서울특별시,60.3
113,2019_06,2019,6,서울특별시,60.6
114,2019_07,2019,7,서울특별시,60.8
115,2019_08,2019,8,서울특별시,60.6
116,2019_09,2019,9,서울특별시,60.8
117,2019_10,2019,10,서울특별시,60.7
118,2019_11,2019,11,서울특별시,60.5
119,2019_12,2019,12,서울특별시,60.4
120,2020_01,2020,1,서울특별시,60.0
121,2020_02,2020,2,서울특별시,60.1
122,2020_03,2020,3,서울특별시,59.0
123,2020_04,2020,4,서울특별시,58.6
124,2020_05,2020,5,서울특별시,59.1
125,2020_06,2020,6,서울특별시,59.2
126,2020_07,2020,7,서울특별시,59.5
127,2020_08,2020,8,서울특별시,59.6
128,2020_09,2020,9,서울특별시,58.9
129,2020_10,2020,10,서울특별시,59.2
130,2020_11,2020,11,서울특별시,59.8
131,2020_12,2020,12,서울특별시,58.8
132,2021_01,2021,1,서울특별시,57.3
133,2021_02,2021,2,서울특별시,57.9
134,2021_03,2021,3,서울특별시,59.1
135,2021_04,2021,4,서울특별시,59.2
136,2021_05,2021,5,서울특별시,59.6
