,연도,시도,사용량
0,2010,강원도,14848023
1,2010,경기도,93074871
2,2010,경상남도,31549217
3,2010,경상북도,41589043
4,2010,광주광역시,7860058
5,2010,대구광역시,14479993
6,2010,대전광역시,8867404
7,2010,부산광역시,20263683
8,2010,서울특별시,47295099
9,2010,세종특별자치시,0
10,2010,울산광역시,26515697
11,2010,인천광역시,21827574
12,2010,전라남도,25059938
13,2010,전라북도,18949074
14,2010,제주특별자치도,3574622
15,2010,충청남도,38809315
16,2010,충청북도,19444832
17,2011,강원도,15876045
18,2011,경기도,96844519
19,2011,경상남도,33071206
20,2011,경상북도,44167300
21,2011,광주광역시,8047384
22,2011,대구광역시,14821946
23,2011,대전광역시,9059777
24,2011,부산광역시,20561973
25,2011,서울특별시,46902993
26,2011,세종특별자치시,0
27,2011,울산광역시,28198241
28,2011,인천광역시,22241137
29,2011,전라남도,27136868
30,2011,전라북도,21168362
31,2011,제주특별자치도,3710080
32,2011,충청남도,42650114
33,2011,충청북도,20453353
34,2012,강원도,15904385
35,2012,경기도,100291952
36,2012,경상남도,33014944
37,2012,경상북도,44799528
38,2012,광주광역시,8130491
39,2012,대구광역시,14954959
40,2012,대전광역시,9160104
41,2012,부산광역시,20664844
42,2012,서울특별시,47234105
43,2012,세종특별자치시,578610
44,2012,울산광역시,29362726
45,2012,인천광역시,22651945
46,2012,전라남도,28484707
47,2012,전라북도,21462321
48,2012,제주특별자치도,3864639
49,2012,충청남도,44492419
50,2012,충청북도,21361912
51,2013,강원도,15794740
52,2013,경기도,102227064
53,2013,경상남도,33530620
54,2013,경상북도,45444250
55,2013,광주광역시,8274075
56,2013,대구광역시,15080053
57,2013,대전광역시,9225139
58,2013,부산광역시,20364701
59,2013,서울특별시,46555107
60,2013,세종특별자치시,2345528
61,2013,울산광역시,29992967
62,2013,인천광역시,22673440
63,2013,전라남도,30302072
64,2013,전라북도,21708660
65,2013,제주특별자치도,4094900
66,2013,충청남도,45466811
67,2013,충청북도,21665045
