,년월,연도,월,코스피 평균,사용량
0,2010_01,2010,1,1682.16,39696747
1,2010_02,2010,2,1598.96,37208030
2,2010_03,2010,3,1665.5,35554125
3,2010_04,2010,4,1730.29,35968361
4,2010_05,2010,5,1648.3,33809235
5,2010_06,2010,6,1691.94,33824619
6,2010_07,2010,7,1731.12,35538791
7,2010_08,2010,8,1762.18,37251573
8,2010_09,2010,9,1815.75,36243233
9,2010_10,2010,10,1889.7,33543805
10,2010_11,2010,11,1924.71,36093977
11,2010_12,2010,12,2002.5,39275947
12,2011_01,2011,1,2091.61,43099078
13,2011_02,2011,2,2002.87,39832832
14,2011_03,2011,3,2002.67,38433627
15,2011_04,2011,4,2153.13,37716270
16,2011_05,2011,5,2121.87,35454434
17,2011_06,2011,6,2074.64,35747228
18,2011_07,2011,7,2150.06,37283762
19,2011_08,2011,8,1869.41,38360182
20,2011_09,2011,9,1790.95,36859463
21,2011_10,2011,10,1825.88,35603320
22,2011_11,2011,11,1858.8,36867459
23,2011_12,2011,12,1863.23,39653643
24,2012_01,2012,1,1891.01,42469665
25,2012_02,2012,2,2003.23,41915749
26,2012_03,2012,3,2023.41,40308113
27,2012_04,2012,4,1995.92,38484369
28,2012_05,2012,5,1886.35,36375701
29,2012_06,2012,6,1848.6,36596911
30,2012_07,2012,7,1826.75,38134463
31,2012_08,2012,8,1918.91,39886094
32,2012_09,2012,9,1961.29,37868366
33,2012_10,2012,10,1942.19,34894616
34,2012_11,2012,11,1904.7,37916136
35,2012_12,2012,12,1973.84,41564408
36,2013_01,2013,1,1986.1,44472409
37,2013_02,2013,2,1979.85,40996391
38,2013_03,2013,3,1990.24,39504322
39,2013_04,2013,4,1938.88,39004550
40,2013_05,2013,5,1974.45,37459817
41,2013_06,2013,6,1884.41,37365841
42,2013_07,2013,7,1871.77,39171380
43,2013_08,2013,8,1896.96,40647053
44,2013_09,2013,9,1984.39,38781002
45,2013_10,2013,10,2029.68,36946382
46,2013_11,2013,11,2009.92,38520886
47,2013_12,2013,12,1988.33,41875139
48,2014_01,2014,1,1948.22,43758414
49,2014_02,2014,2,1937.73,41207069
50,2014_03,2014,3,1952.43,40622001
51,2014_04,2014,4,1991.19,39253853
52,2014_05,2014,5,1994.13,37377627
53,2014_06,2014,6,1995.08,37842234
54,2014_07,2014,7,2021.95,39994984
55,2014_08,2014,8,2060.93,40032780
56,2014_09,2014,9,2042.71,38161493
57,2014_10,2014,10,1942.8,37815461
58,2014_11,2014,11,1959.65,38728846
59,2014_12,2014,12,1941.93,42618829
60,2015_01,2015,1,1920.99,45423302
61,2015_02,2015,2,1961.0,41808546
62,2015_03,2015,3,2012.62,40859792
63,2015_04,2015,4,2107.27,40064243
64,2015_05,2015,5,2114.9,37875990
65,2015_06,2015,6,2063.69,38330610
66,2015_07,2015,7,2058.03,39378498
67,2015_08,2015,8,1952.55,41928986
68,2015_09,2015,9,1939.58,39704090
69,2015_10,2015,10,2020.57,37451090
70,2015_11,2015,11,2006.78,38863526
71,2015_12,2015,12,1971.53,41775596
72,2016_01,2016,1,1894.65,44630416
73,2016_02,2016,2,1900.61,43570225
74,2016_03,2016,3,1976.5,42245182
75,2016_04,2016,4,1996.17,40123456
76,2016_05,2016,5,1966.68,38235590
77,2016_06,2016,6,1977.03,39668106
78,2016_07,2016,7,2002.48,40590292
79,2016_08,2016,8,2036.66,44411840
80,2016_09,2016,9,2042.56,41203912
81,2016_10,2016,10,2036.03,38549180
82,2016_11,2016,11,1981.75,40256467
83,2016_12,2016,12,2021.67,43533758
84,2017_01,2017,1,2061.73,45196955
85,2017_02,2017,2,2082.8,44422398
86,2017_03,2017,3,2136.17,42558537
87,2017_04,2017,4,2160.18,40811060
88,2017_05,2017,5,2301.89,38743897
89,2017_06,2017,6,2372.2,39672663
90,2017_07,2017,7,2412.9,43208493
91,2017_08,2017,8,2372.18,45353733
92,2017_09,2017,9,2371.84,42336070
93,2017_10,2017,10,2482.87,38368790
94,2017_11,2017,11,2533.51,41293098
95,2017_12,2017,12,2467.73,45780535
96,2018_01,2018,1,2520.94,48361692
97,2018_02,2018,2,2439.1,46749787
98,2018_03,2018,3,2451.57,42936271
99,2018_04,2018,4,2458.22,42032511
100,2018_05,2018,5,2461.3,40530471
101,2018_06,2018,6,2394.51,41045644
102,2018_07,2018,7,2284.25,44029951
103,2018_08,2018,8,2283.8,49532098
104,2018_09,2018,9,2307.33,43729034
105,2018_10,2018,10,2153.48,39977476
106,2018_11,2018,11,2083.33,41905129
107,2018_12,2018,12,2070.13,45317349
108,2019_01,2019,1,2101.98,48644384
109,2019_02,2019,2,2210.2,44353586
110,2019_03,2019,3,2161.91,43088673
111,2019_04,2019,4,2212.12,42440604
112,2019_05,2019,5,2086.9,40708005
113,2019_06,2019,6,2105.3,40619810
114,2019_07,2019,7,2079.48,42966183
115,2019_08,2019,8,1944.24,47558432
116,2019_09,2019,9,2045.21,43649290
117,2019_10,2019,10,2065.75,40622819
118,2019_11,2019,11,2128.79,41111567
119,2019_12,2019,12,2147.01,44731595
120,2020_01,2020,1,2203.44,46326904
121,2020_02,2020,2,2167.12,44498361
122,2020_03,2020,3,1786.75,42870599
123,2020_04,2020,4,1849.59,40475197
124,2020_05,2020,5,1965.17,38327621
125,2020_06,2020,6,2134.7,39752888
126,2020_07,2020,7,2195.95,42067769
127,2020_08,2020,8,2349.87,44599215
128,2020_09,2020,9,2371.52,45110793
129,2020_10,2020,10,2357.82,39065311
130,2020_11,2020,11,2504.18,41146120
131,2020_12,2020,12,2755.77,45027083
132,2021_01,2021,1,3089.27,48755561
133,2021_02,2021,2,3092.41,45187960
134,2021_03,2021,3,3032.47,43074365
135,2021_04,2021,4,3165.08,41899676
136,2021_05,2021,5,3169.2,40842275
137,2021_06,2021,6,3259.14,42031875
138,2021_07,2021,7,3254.57,45971796
139,2021_08,2021,8,3182.5,48929956
140,2021_09,2021,9,3141.7,44818884
141,2021_10,2021,10,2989.87,41838223
142,2021_11,2021,11,2964.3,42829617
143,2021_12,2021,12,2988.49,47250619
