연월,주택용,일반용,교육용,산업용,농사용,가로등,종합,(단위 : %)
1982,0,0,0,-1.3,0,0,-0.7,
1983,-5.2,-6.3,-6.3,-1.8,0,-8,-3.3,
1986,-2.1,-3.3,-3.3,-2.8,-2,-3,-2.8,
1987,-1.3,-9.7,-9.7,-9.3,0,-20,-7.6,
1988,-8.2,-17.3,-17.3,-4,-2,-20,-7.6,
1989,-5,-15.8,-15.8,-5,-5,-7,-7,
1990,-3.6,0,0,-5,-2.1,0,-3.7,
1991,12.6,3.5,3.5,1.9,-2.4,0,-4.9,
1992,6.1,6.1,0,6.1,0,6.1,6,
1995,2.6,4.9,0,4.9,0,4.9,4.2,
1997,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
1998,6.5,6.5,6.5,6.5,6.5,6.5,6.5,
1999,0,6,6,8,0,6,5.3,
2000,3.3,3,3,5,3,3,4,
2002,-0.5,0,0,0,0,0,-0.1,
2003,-2.2,-2,0,2.5,0,0,0,
2004,-2.8,-3.5,-3,0,0,0,-1.5,
2005,2.4,2.8,-15.3,3.3,0.9,3.4,2.8,
2006,0,0,0,4.2,0,4.2,2.1,
2007,0,-3.2,0,1,0,0,0,
2008,0,3,4.5,8.1,0,4.5,4.5,
2009,0,2.3,6.9,6.5,0,6.9,3.9,
2010,2,0,5.9,5.8,0,5.9,3.5,
2011,2,4.4,6.3,6.1,0,6.3,4.9,
2011,0,4.5,4.5,6.5,0,6.5,4.5,
2012,2.7,4.4,3,6,3,4.9,4.9,
2013,2,4.6,3.5,4.4,3,5,4,
2013,2.7,5.8,0,6.4,3,5.4,5.4,
2017,-11.6,0,0,0,0,0,-1.7,
