,년월,연도,월,코스피 평균,사용량
0,2010-01-01,2010,1,1682.16,39696747
1,2010-02-01,2010,2,1598.96,37208030
2,2010-03-01,2010,3,1665.5,35554125
3,2010-04-01,2010,4,1730.29,35968361
4,2010-05-01,2010,5,1648.3,33809235
5,2010-06-01,2010,6,1691.94,33824619
6,2010-07-01,2010,7,1731.12,35538791
7,2010-08-01,2010,8,1762.18,37251573
8,2010-09-01,2010,9,1815.75,36243233
9,2010-10-01,2010,10,1889.7,33543805
10,2010-11-01,2010,11,1924.71,36093977
11,2010-12-01,2010,12,2002.5,39275947
12,2011-01-01,2011,1,2091.61,43099078
13,2011-02-01,2011,2,2002.87,39832832
14,2011-03-01,2011,3,2002.67,38433627
15,2011-04-01,2011,4,2153.13,37716270
16,2011-05-01,2011,5,2121.87,35454434
17,2011-06-01,2011,6,2074.64,35747228
18,2011-07-01,2011,7,2150.06,37283762
19,2011-08-01,2011,8,1869.41,38360182
20,2011-09-01,2011,9,1790.95,36859463
21,2011-10-01,2011,10,1825.88,35603320
22,2011-11-01,2011,11,1858.8,36867459
23,2011-12-01,2011,12,1863.23,39653643
24,2012-01-01,2012,1,1891.01,42469665
25,2012-02-01,2012,2,2003.23,41915749
26,2012-03-01,2012,3,2023.41,40308113
27,2012-04-01,2012,4,1995.92,38484369
28,2012-05-01,2012,5,1886.35,36375701
29,2012-06-01,2012,6,1848.6,36596911
30,2012-07-01,2012,7,1826.75,38134463
31,2012-08-01,2012,8,1918.91,39886094
32,2012-09-01,2012,9,1961.29,37868366
33,2012-10-01,2012,10,1942.19,34894616
34,2012-11-01,2012,11,1904.7,37916136
35,2012-12-01,2012,12,1973.84,41564408
36,2013-01-01,2013,1,1986.1,44472409
37,2013-02-01,2013,2,1979.85,40996391
38,2013-03-01,2013,3,1990.24,39504322
39,2013-04-01,2013,4,1938.88,39004550
40,2013-05-01,2013,5,1974.45,37459817
41,2013-06-01,2013,6,1884.41,37365841
42,2013-07-01,2013,7,1871.77,39171380
43,2013-08-01,2013,8,1896.96,40647053
44,2013-09-01,2013,9,1984.39,38781002
45,2013-10-01,2013,10,2029.68,36946382
46,2013-11-01,2013,11,2009.92,38520886
47,2013-12-01,2013,12,1988.33,41875139
48,2014-01-01,2014,1,1948.22,43758414
49,2014-02-01,2014,2,1937.73,41207069
50,2014-03-01,2014,3,1952.43,40622001
51,2014-04-01,2014,4,1991.19,39253853
52,2014-05-01,2014,5,1994.13,37377627
53,2014-06-01,2014,6,1995.08,37842234
54,2014-07-01,2014,7,2021.95,39994984
55,2014-08-01,2014,8,2060.93,40032780
56,2014-09-01,2014,9,2042.71,38161493
57,2014-10-01,2014,10,1942.8,37815461
58,2014-11-01,2014,11,1959.65,38728846
59,2014-12-01,2014,12,1941.93,42618829
60,2015-01-01,2015,1,1920.99,45423302
61,2015-02-01,2015,2,1961.0,41808546
62,2015-03-01,2015,3,2012.62,40859792
63,2015-04-01,2015,4,2107.27,40064243
64,2015-05-01,2015,5,2114.9,37875990
65,2015-06-01,2015,6,2063.69,38330610
66,2015-07-01,2015,7,2058.03,39378498
67,2015-08-01,2015,8,1952.55,41928986
68,2015-09-01,2015,9,1939.58,39704090
69,2015-10-01,2015,10,2020.57,37451090
70,2015-11-01,2015,11,2006.78,38863526
71,2015-12-01,2015,12,1971.53,41775596
72,2016-01-01,2016,1,1894.65,44630416
73,2016-02-01,2016,2,1900.61,43570225
74,2016-03-01,2016,3,1976.5,42245182
75,2016-04-01,2016,4,1996.17,40123456
76,2016-05-01,2016,5,1966.68,38235590
77,2016-06-01,2016,6,1977.03,39668106
78,2016-07-01,2016,7,2002.48,40590292
79,2016-08-01,2016,8,2036.66,44411840
80,2016-09-01,2016,9,2042.56,41203912
81,2016-10-01,2016,10,2036.03,38549180
82,2016-11-01,2016,11,1981.75,40256467
83,2016-12-01,2016,12,2021.67,43533758
84,2017-01-01,2017,1,2061.73,45196955
85,2017-02-01,2017,2,2082.8,44422398
86,2017-03-01,2017,3,2136.17,42558537
87,2017-04-01,2017,4,2160.18,40811060
88,2017-05-01,2017,5,2301.89,38743897
89,2017-06-01,2017,6,2372.2,39672663
90,2017-07-01,2017,7,2412.9,43208493
91,2017-08-01,2017,8,2372.18,45353733
92,2017-09-01,2017,9,2371.84,42336070
93,2017-10-01,2017,10,2482.87,38368790
94,2017-11-01,2017,11,2533.51,41293098
95,2017-12-01,2017,12,2467.73,45780535
96,2018-01-01,2018,1,2520.94,48361692
97,2018-02-01,2018,2,2439.1,46749787
98,2018-03-01,2018,3,2451.57,42936271
99,2018-04-01,2018,4,2458.22,42032511
100,2018-05-01,2018,5,2461.3,40530471
101,2018-06-01,2018,6,2394.51,41045644
102,2018-07-01,2018,7,2284.25,44029951
103,2018-08-01,2018,8,2283.8,49532098
104,2018-09-01,2018,9,2307.33,43729034
105,2018-10-01,2018,10,2153.48,39977476
106,2018-11-01,2018,11,2083.33,41905129
107,2018-12-01,2018,12,2070.13,45317349
108,2019-01-01,2019,1,2101.98,48644384
109,2019-02-01,2019,2,2210.2,44353586
110,2019-03-01,2019,3,2161.91,43088673
111,2019-04-01,2019,4,2212.12,42440604
112,2019-05-01,2019,5,2086.9,40708005
113,2019-06-01,2019,6,2105.3,40619810
114,2019-07-01,2019,7,2079.48,42966183
115,2019-08-01,2019,8,1944.24,47558432
116,2019-09-01,2019,9,2045.21,43649290
117,2019-10-01,2019,10,2065.75,40622819
118,2019-11-01,2019,11,2128.79,41111567
119,2019-12-01,2019,12,2147.01,44731595
120,2020-01-01,2020,1,2203.44,46326904
121,2020-02-01,2020,2,2167.12,44498361
122,2020-03-01,2020,3,1786.75,42870599
123,2020-04-01,2020,4,1849.59,40475197
124,2020-05-01,2020,5,1965.17,38327621
125,2020-06-01,2020,6,2134.7,39752888
126,2020-07-01,2020,7,2195.95,42067769
127,2020-08-01,2020,8,2349.87,44599215
128,2020-09-01,2020,9,2371.52,45110793
129,2020-10-01,2020,10,2357.82,39065311
130,2020-11-01,2020,11,2504.18,41146120
131,2020-12-01,2020,12,2755.77,45027083
132,2021-01-01,2021,1,3089.27,48755561
133,2021-02-01,2021,2,3092.41,45187960
134,2021-03-01,2021,3,3032.47,43074365
135,2021-04-01,2021,4,3165.08,41899676
136,2021-05-01,2021,5,3169.2,40842275
137,2021-06-01,2021,6,3259.14,42031875
138,2021-07-01,2021,7,3254.57,45971796
139,2021-08-01,2021,8,3182.5,48929956
140,2021-09-01,2021,9,3141.7,44818884
141,2021-10-01,2021,10,2989.87,41838223
142,2021-11-01,2021,11,2964.3,42829617
143,2021-12-01,2021,12,2988.49,47250619
