,기간,관광객,전력소비량,연도,월
0,2010-01-01,801636,2335102,2010,1
1,2010-02-01,893050,2188707,2010,2
2,2010-03-01,1090884,2091419,2010,3
3,2010-04-01,1086594,2115785,2010,4
4,2010-05-01,1050680,1988778,2010,5
5,2010-06-01,1040948,1989683,2010,6
6,2010-07-01,1082170,2090517,2010,7
7,2010-08-01,1160414,2191269,2010,8
8,2010-09-01,1093478,2131954,2010,9
9,2010-10-01,1316488,1973165,2010,10
10,2010-11-01,1116648,2123175,2010,11
11,2010-12-01,1000778,2310349,2010,12
12,2011-01-01,799996,2535239,2011,1
13,2011-02-01,861844,2343107,2011,2
14,2011-03-01,1078556,2260801,2011,3
15,2011-04-01,1087948,2218604,2011,4
16,2011-05-01,1071544,2085554,2011,5
17,2011-06-01,1172768,2102778,2011,6
18,2011-07-01,1335812,2193162,2011,7
19,2011-08-01,1436286,2256481,2011,8
20,2011-09-01,1349940,2168203,2011,9
21,2011-10-01,1536392,2094312,2011,10
22,2011-11-01,1354508,2168674,2011,11
23,2011-12-01,1320620,2332567,2011,12
24,2012-01-01,1114016,2498215,2012,1
25,2012-02-01,1148694,2465632,2012,2
26,2012-03-01,1422652,2371065,2012,3
27,2012-04-01,1547138,2263786,2012,4
28,2012-05-01,1465776,2139747,2012,5
29,2012-06-01,1510802,2152759,2012,6
30,2012-07-01,1623826,2243203,2012,7
31,2012-08-01,1709500,2346240,2012,8
32,2012-09-01,1532710,2227550,2012,9
33,2012-10-01,1586178,2052624,2012,10
34,2012-11-01,1327364,2230360,2012,11
35,2012-12-01,1324980,2444965,2012,12
36,2013-01-01,1141516,2616024,2013,1
37,2013-02-01,1216768,2411552,2013,2
38,2013-03-01,1513596,2323783,2013,3
39,2013-04-01,1454434,2294385,2013,4
40,2013-05-01,1316824,2203518,2013,5
41,2013-06-01,1520714,2197990,2013,6
42,2013-07-01,1744872,2304198,2013,7
43,2013-08-01,1973140,2391003,2013,8
44,2013-09-01,1706548,2281235,2013,9
45,2013-10-01,1675652,2173316,2013,10
46,2013-11-01,1420956,2265934,2013,11
47,2013-12-01,1466356,2463243,2013,12
48,2014-01-01,1280670,2574024,2014,1
49,2014-02-01,1287064,2423945,2014,2
50,2014-03-01,1731854,2389529,2014,3
51,2014-04-01,1963430,2309050,2014,4
52,2014-05-01,1902564,2198683,2014,5
53,2014-06-01,1892354,2226013,2014,6
