,연도,시도,사용량,공장면적,위도,경도
0,2011,강원도,15876045,3846,37.820812,128.156579
1,2012,강원도,15904385,3846,37.820812,128.156579
2,2013,강원도,15794740,3846,37.820812,128.156579
3,2014,강원도,15778145,3846,37.820812,128.156579
4,2015,강원도,16206620,3846,37.820812,128.156579
5,2016,강원도,16498769,3846,37.820812,128.156579
6,2017,강원도,16552772,3846,37.820812,128.156579
7,2018,강원도,16845627,3846,37.820812,128.156579
8,2019,강원도,16368276,3846,37.820812,128.156579
9,2020,강원도,16120066,3846,37.820812,128.156579
10,2021,강원도,16808007,3846,37.820812,128.156579
11,2011,경기도,96844519,72189,37.412505,127.520017
12,2012,경기도,100291952,72189,37.412505,127.520017
13,2013,경기도,102227064,72189,37.412505,127.520017
14,2014,경기도,102180707,72189,37.412505,127.520017
15,2015,경기도,105048002,72189,37.412505,127.520017
16,2016,경기도,109403900,72189,37.412505,127.520017
17,2017,경기도,114847859,72189,37.412505,127.520017
18,2018,경기도,122695953,72189,37.412505,127.520017
19,2019,경기도,123022306,72189,37.412505,127.520017
20,2020,경기도,124688963,72189,37.412505,127.520017
21,2021,경기도,133445949,72189,37.412505,127.520017
22,2011,경상남도,33071206,19573,35.460156,128.215601
23,2012,경상남도,33014944,19573,35.460156,128.215601
24,2013,경상남도,33530620,19573,35.460156,128.215601
25,2014,경상남도,33435158,19573,35.460156,128.215601
26,2015,경상남도,33876325,19573,35.460156,128.215601
27,2016,경상남도,34497474,19573,35.460156,128.215601
28,2017,경상남도,34647863,19573,35.460156,128.215601
29,2018,경상남도,35158611,19573,35.460156,128.215601
30,2019,경상남도,34472017,19573,35.460156,128.215601
31,2020,경상남도,34069974,19573,35.460156,128.215601
32,2021,경상남도,35734060,19573,35.460156,128.215601
33,2011,경상북도,44167300,15437,36.327952,128.951526
34,2012,경상북도,44799528,15437,36.327952,128.951526
35,2013,경상북도,45444250,15437,36.327952,128.951526
36,2014,경상북도,46016362,15437,36.327952,128.951526
37,2015,경상북도,44956835,15437,36.327952,128.951526
38,2016,경상북도,44647502,15437,36.327952,128.951526
39,2017,경상북도,45455611,15437,36.327952,128.951526
40,2018,경상북도,45958813,15437,36.327952,128.951526
41,2019,경상북도,44314767,15437,36.327952,128.951526
42,2020,경상북도,41001627,15437,36.327952,128.951526
43,2021,경상북도,44258296,15437,36.327952,128.951526
44,2011,광주광역시,8047384,4504,35.15484,126.836647
45,2012,광주광역시,8130491,4504,35.15484,126.836647
46,2013,광주광역시,8274075,4504,35.15484,126.836647
47,2014,광주광역시,8197276,4504,35.15484,126.836647
48,2015,광주광역시,8333872,4504,35.15484,126.836647
49,2016,광주광역시,8558369,4504,35.15484,126.836647
50,2017,광주광역시,8683649,4504,35.15484,126.836647
