,연도,시도,병상수,사용량,위도,경도
0,2011,서울특별시,80992,46902993,37.551638,126.993243
1,2012,서울특별시,82992,47234105,37.551638,126.993243
2,2013,서울특별시,83711,46555107,37.551638,126.993243
3,2014,서울특별시,86006,45018864,37.551638,126.993243
4,2015,서울특별시,84919,45381486,37.551638,126.993243
5,2016,서울특별시,86420,46493234,37.551638,126.993243
6,2017,서울특별시,86925,46298159,37.551638,126.993243
7,2018,서울특별시,86566,47810212,37.551638,126.993243
8,2019,서울특별시,88059,47167207,37.551638,126.993243
9,2020,서울특별시,89744,45787925,37.551638,126.993243
10,2021,서울특별시,91765,47295806,37.551638,126.993243
11,2011,부산광역시,56507,20561973,35.209853,129.069121
12,2012,부산광역시,59175,20664844,35.209853,129.069121
13,2013,부산광역시,62445,20364701,35.209853,129.069121
14,2014,부산광역시,66769,19980899,35.209853,129.069121
15,2015,부산광역시,68654,20002306,35.209853,129.069121
16,2016,부산광역시,71129,20467095,35.209853,129.069121
17,2017,부산광역시,70767,21007360,35.209853,129.069121
18,2018,부산광역시,70430,21216604,35.209853,129.069121
19,2019,부산광역시,69862,20802409,35.209853,129.069121
20,2020,부산광역시,70748,20503969,35.209853,129.069121
21,2021,부산광역시,70710,21067832,35.209853,129.069121
22,2011,대구광역시,29980,14821946,35.825757,128.576897
23,2012,대구광역시,32210,14954959,35.825757,128.576897
24,2013,대구광역시,33927,15080053,35.825757,128.576897
25,2014,대구광역시,35140,14858786,35.825757,128.576897
26,2015,대구광역시,36303,14947708,35.825757,128.576897
27,2016,대구광역시,36653,15268112,35.825757,128.576897
28,2017,대구광역시,36380,15386374,35.825757,128.576897
29,2018,대구광역시,36970,15675749,35.825757,128.576897
30,2019,대구광역시,38132,15265583,35.825757,128.576897
31,2020,대구광역시,39361,14758568,35.825757,128.576897
32,2021,대구광역시,39753,15443948,35.825757,128.576897
33,2011,인천광역시,27159,22241137,37.455307,126.70392
34,2012,인천광역시,28601,22651945,37.455307,126.70392
35,2013,인천광역시,29739,22673440,37.455307,126.70392
36,2014,인천광역시,31507,22578048,37.455307,126.70392
37,2015,인천광역시,31479,23211767,37.455307,126.70392
38,2016,인천광역시,32093,23875858,37.455307,126.70392
39,2017,인천광역시,33417,24515313,37.455307,126.70392
40,2018,인천광역시,34021,24921925,37.455307,126.70392
41,2019,인천광역시,34176,24280688,37.455307,126.70392
42,2020,인천광역시,35078,23638582,37.455307,126.70392
43,2021,인천광역시,36249,24901194,37.455307,126.70392
44,2011,광주광역시,25193,8047384,35.15484,126.836647
45,2012,광주광역시,28135,8130491,35.15484,126.836647
46,2013,광주광역시,31086,8274075,35.15484,126.836647
47,2014,광주광역시,34525,8197276,35.15484,126.836647
48,2015,광주광역시,37471,8333872,35.15484,126.836647
49,2016,광주광역시,39228,8558369,35.15484,126.836647
50,2017,광주광역시,41267,8683649,35.15484,126.836647
51,2018,광주광역시,40727,8773812,35.15484,126.836647
52,2019,광주광역시,40206,8603296,35.15484,126.836647
53,2020,광주광역시,39793,8531109,35.15484,126.836647
54,2021,광주광역시,39187,8973447,35.15484,126.836647
55,2011,대전광역시,20455,9059777,36.339403,127.396923
56,2012,대전광역시,21536,9160104,36.339403,127.396923
57,2013,대전광역시,22385,9225139,36.339403,127.396923
58,2014,대전광역시,23164,9102524,36.339403,127.396923
59,2015,대전광역시,23529,9182736,36.339403,127.396923
60,2016,대전광역시,23427,9379632,36.339403,127.396923
