,시도,위도,경도,연도,지방세,사용량
0,서울특별시,37.551638,126.993243,2010,12074840,47295099
1,서울특별시,37.551638,126.993243,2011,12913964,46902993
2,서울특별시,37.551638,126.993243,2012,13436966,47234105
3,서울특별시,37.551638,126.993243,2013,12980600,46555107
4,서울특별시,37.551638,126.993243,2014,14502519,45018864
5,서울특별시,37.551638,126.993243,2015,17038835,45381486
6,서울특별시,37.551638,126.993243,2016,18024176,46493234
7,서울특별시,37.551638,126.993243,2017,19296437,46298159
8,서울특별시,37.551638,126.993243,2018,20695311,47810212
9,서울특별시,37.551638,126.993243,2019,22268213,47167207
10,서울특별시,37.551638,126.993243,2020,25531987,45787925
11,서울특별시,37.551638,126.993243,2021,28382503,47295806
12,강원도,37.820812,128.156579,2010,1222509,14848023
13,강원도,37.820812,128.156579,2011,1272268,15876045
14,강원도,37.820812,128.156579,2012,1344637,15904385
15,강원도,37.820812,128.156579,2013,1330566,15794740
16,강원도,37.820812,128.156579,2014,1473843,15778145
17,강원도,37.820812,128.156579,2015,1594058,16206620
18,강원도,37.820812,128.156579,2016,1859620,16498769
19,강원도,37.820812,128.156579,2017,1944969,16552772
20,강원도,37.820812,128.156579,2018,2057307,16845627
21,강원도,37.820812,128.156579,2019,2168668,16368276
22,강원도,37.820812,128.156579,2020,2653723,16120066
23,강원도,37.820812,128.156579,2021,2875409,16808007
24,경기도,37.412505,127.520017,2010,12876723,93074871
25,경기도,37.412505,127.520017,2011,12957501,96844519
26,경기도,37.412505,127.520017,2012,13288767,100291952
27,경기도,37.412505,127.520017,2013,13301235,102227064
28,경기도,37.412505,127.520017,2014,15216198,102180707
29,경기도,37.412505,127.520017,2015,17885557,105048002
30,경기도,37.412505,127.520017,2016,19245126,109403900
31,경기도,37.412505,127.520017,2017,20710614,114847859
32,경기도,37.412505,127.520017,2018,22807183,122695953
33,경기도,37.412505,127.520017,2019,24138048,123022306
34,경기도,37.412505,127.520017,2020,25801039,124688963
35,경기도,37.412505,127.520017,2021,29735913,133445949
36,경상남도,35.460156,128.215601,2010,3334664,31549217
37,경상남도,35.460156,128.215601,2011,3609075,33071206
38,경상남도,35.460156,128.215601,2012,3504746,33014944
39,경상남도,35.460156,128.215601,2013,3605279,33530620
40,경상남도,35.460156,128.215601,2014,4195428,33435158
41,경상남도,35.460156,128.215601,2015,4535227,33876325
42,경상남도,35.460156,128.215601,2016,4736834,34497474
43,경상남도,35.460156,128.215601,2017,4818215,34647863
44,경상남도,35.460156,128.215601,2018,4616070,35158611
45,경상남도,35.460156,128.215601,2019,5098712,34472017
46,경상남도,35.460156,128.215601,2020,5731861,34069974
47,경상남도,35.460156,128.215601,2021,6046173,35734060
48,경상북도,36.327952,128.951526,2010,2220366,41589043
49,경상북도,36.327952,128.951526,2011,2397531,44167300
50,경상북도,36.327952,128.951526,2012,2499249,44799528
51,경상북도,36.327952,128.951526,2013,2563701,45444250
52,경상북도,36.327952,128.951526,2014,2963881,46016362
53,경상북도,36.327952,128.951526,2015,3450733,44956835
54,경상북도,36.327952,128.951526,2016,3567765,44647502
55,경상북도,36.327952,128.951526,2017,3719931,45455611
56,경상북도,36.327952,128.951526,2018,3634277,45958813
57,경상북도,36.327952,128.951526,2019,3922794,44314767
58,경상북도,36.327952,128.951526,2020,4589594,41001627
59,경상북도,36.327952,128.951526,2021,4898316,44258296
60,광주광역시,35.15484,126.836647,2010,1077114,7860058
61,광주광역시,35.15484,126.836647,2011,1137184,8047384
62,광주광역시,35.15484,126.836647,2012,1202985,8130491
63,광주광역시,35.15484,126.836647,2013,1220622,8274075
64,광주광역시,35.15484,126.836647,2014,1428496,8197276
65,광주광역시,35.15484,126.836647,2015,1553789,8333872
66,광주광역시,35.15484,126.836647,2016,1678987,8558369
67,광주광역시,35.15484,126.836647,2017,1710868,8683649
68,광주광역시,35.15484,126.836647,2018,1845600,8773812
69,광주광역시,35.15484,126.836647,2019,2027885,8603296
70,광주광역시,35.15484,126.836647,2020,2267962,8531109
71,광주광역시,35.15484,126.836647,2021,2392719,8973447
72,대구광역시,35.825757,128.576897,2010,1818648,14479993
73,대구광역시,35.825757,128.576897,2011,1924374,14821946
74,대구광역시,35.825757,128.576897,2012,2073421,14954959
75,대구광역시,35.825757,128.576897,2013,2148115,15080053
76,대구광역시,35.825757,128.576897,2014,2591818,14858786
77,대구광역시,35.825757,128.576897,2015,2862891,14947708
78,대구광역시,35.825757,128.576897,2016,2979772,15268112
79,대구광역시,35.825757,128.576897,2017,3156682,15386374
80,대구광역시,35.825757,128.576897,2018,3227882,15675749
81,대구광역시,35.825757,128.576897,2019,3476077,15265583
82,대구광역시,35.825757,128.576897,2020,3959389,14758568
83,대구광역시,35.825757,128.576897,2021,4246517,15443948
84,대전광역시,36.339403,127.396923,2010,1162679,8867404
85,대전광역시,36.339403,127.396923,2011,1332664,9059777
86,대전광역시,36.339403,127.396923,2012,1320566,9160104
87,대전광역시,36.339403,127.396923,2013,1258482,9225139
88,대전광역시,36.339403,127.396923,2014,1549395,9102524
89,대전광역시,36.339403,127.396923,2015,1626744,9182736
90,대전광역시,36.339403,127.396923,2016,1683926,9379632
91,대전광역시,36.339403,127.396923,2017,1713620,9423806
92,대전광역시,36.339403,127.396923,2018,1735655,9648828
93,대전광역시,36.339403,127.396923,2019,1991017,9415699
94,대전광역시,36.339403,127.396923,2020,2252393,9405219
95,대전광역시,36.339403,127.396923,2021,2511095,9748621
96,부산광역시,35.209853,129.069121,2010,3062239,20263683
97,부산광역시,35.209853,129.069121,2011,3352687,20561973
98,부산광역시,35.209853,129.069121,2012,3386162,20664844
99,부산광역시,35.209853,129.069121,2013,3401445,20364701
100,부산광역시,35.209853,129.069121,2014,3973205,19980899
101,부산광역시,35.209853,129.069121,2015,4784818,20002306
102,부산광역시,35.209853,129.069121,2016,4625095,20467095
103,부산광역시,35.209853,129.069121,2017,4947208,21007360
104,부산광역시,35.209853,129.069121,2018,4935112,21216604
105,부산광역시,35.209853,129.069121,2019,5191892,20802409
106,부산광역시,35.209853,129.069121,2020,6199573,20503969
107,부산광역시,35.209853,129.069121,2021,6468033,21067832
108,세종특별자치시,36.560326,127.258638,2010,0,0
109,세종특별자치시,36.560326,127.258638,2011,0,0
110,세종특별자치시,36.560326,127.258638,2012,119099,578610
111,세종특별자치시,36.560326,127.258638,2013,216598,2345528
112,세종특별자치시,36.560326,127.258638,2014,386816,2437032
113,세종특별자치시,36.560326,127.258638,2015,512028,2641141
