,연도,시도,의료인력수,사용량
0,2011,서울특별시,79291,47295099
1,2012,서울특별시,81426,46902993
2,2013,서울특별시,87638,47234105
3,2014,서울특별시,91252,46555107
4,2015,서울특별시,94274,45018864
5,2016,서울특별시,101142,45381486
6,2017,서울특별시,103941,46493234
7,2018,서울특별시,107232,46298159
8,2019,서울특별시,114861,47810212
9,2020,서울특별시,118497,47167207
10,2021,서울특별시,123955,45787925
11,2011,부산광역시,24389,20263683
12,2012,부산광역시,24861,20561973
13,2013,부산광역시,26768,20664844
14,2014,부산광역시,28399,20364701
15,2015,부산광역시,30226,19980899
16,2016,부산광역시,32387,20002306
17,2017,부산광역시,33393,20467095
18,2018,부산광역시,34495,21007360
19,2019,부산광역시,37028,21216604
20,2020,부산광역시,37898,20802409
21,2021,부산광역시,39169,20503969
22,2011,대구광역시,16706,14479993
23,2012,대구광역시,17045,14821946
24,2013,대구광역시,19098,14954959
25,2014,대구광역시,19629,15080053
26,2015,대구광역시,20556,14858786
27,2016,대구광역시,21902,14947708
28,2017,대구광역시,22450,15268112
29,2018,대구광역시,23401,15386374
30,2019,대구광역시,26087,15675749
31,2020,대구광역시,26608,15265583
32,2021,대구광역시,28205,14758568
33,2011,인천광역시,13058,21827574
34,2012,인천광역시,13444,22241137
35,2013,인천광역시,14531,22651945
36,2014,인천광역시,16072,22673440
37,2015,인천광역시,17454,22578048
38,2016,인천광역시,19308,23211767
39,2017,인천광역시,20765,23875858
40,2018,인천광역시,22173,24515313
41,2019,인천광역시,24081,24921925
42,2020,인천광역시,24983,24280688
43,2021,인천광역시,25754,23638582
44,2011,광주광역시,11637,7860058
45,2012,광주광역시,11737,8047384
46,2013,광주광역시,12315,8130491
47,2014,광주광역시,13368,8274075
48,2015,광주광역시,14227,8197276
49,2016,광주광역시,15161,8333872
50,2017,광주광역시,15880,8558369
51,2018,광주광역시,16467,8683649
52,2019,광주광역시,17835,8773812
53,2020,광주광역시,18117,8603296
54,2021,광주광역시,18414,8531109
55,2011,대전광역시,10608,8867404
56,2012,대전광역시,11000,9059777
57,2013,대전광역시,11619,9160104
58,2014,대전광역시,12042,9225139
59,2015,대전광역시,12555,9102524
60,2016,대전광역시,13482,9182736
61,2017,대전광역시,14064,9379632
62,2018,대전광역시,14586,9423806
63,2019,대전광역시,15746,9648828
64,2020,대전광역시,16095,9415699
65,2021,대전광역시,16628,9405219
66,2011,울산광역시,5743,26515697
67,2012,울산광역시,5817,28198241
68,2013,울산광역시,6483,29362726
69,2014,울산광역시,6882,29992967
70,2015,울산광역시,7201,30115123
71,2016,울산광역시,7915,30286140
72,2017,울산광역시,8150,32095217
73,2018,울산광역시,8218,31609850
74,2019,울산광역시,8950,33748169
75,2020,울산광역시,9205,34138999
76,2021,울산광역시,9531,33157837
77,2011,세종특별자치시,-,0
78,2012,세종특별자치시,337,0
79,2013,세종특별자치시,377,578610
80,2014,세종특별자치시,474,2345528
81,2015,세종특별자치시,589,2437032
82,2016,세종특별자치시,671,2641141
83,2017,세종특별자치시,843,2801868
84,2018,세종특별자치시,973,2918759
85,2019,세종특별자치시,1109,3087692
86,2020,세종특별자치시,1899,3226180
87,2021,세종특별자치시,2065,3393224
88,2011,경기도,57043,93074871
89,2012,경기도,58096,96844519
90,2013,경기도,61607,100291952
91,2014,경기도,66821,102227064
92,2015,경기도,70166,102180707
93,2016,경기도,77429,105048002
94,2017,경기도,81651,109403900
95,2018,경기도,86060,114847859
96,2019,경기도,91723,122695953
97,2020,경기도,98513,123022306
98,2021,경기도,103616,124688963
99,2011,강원도,9040,14848023
100,2012,강원도,9104,15876045
101,2013,강원도,9365,15904385
102,2014,강원도,9693,15794740
103,2015,강원도,10279,15778145
104,2016,강원도,10721,16206620
105,2017,강원도,11042,16498769
106,2018,강원도,11373,16552772
107,2019,강원도,12115,16845627
108,2020,강원도,12525,16368276
109,2021,강원도,13102,16120066
110,2011,충청북도,7737,19444832
111,2012,충청북도,7795,20453353
112,2013,충청북도,8358,21361912
113,2014,충청북도,8635,21665045
114,2015,충청북도,9238,22179260
115,2016,충청북도,9667,22949033
116,2017,충청북도,10074,24008865
117,2018,충청북도,10654,24843380
118,2019,충청북도,11258,26239764
119,2020,충청북도,11446,26732304
120,2021,충청북도,11819,26901893
121,2011,충청남도,10068,38809315
122,2012,충청남도,9872,42650114
123,2013,충청남도,10387,44492419
124,2014,충청남도,11020,45466811
125,2015,충청남도,11549,47294961
126,2016,충청남도,12275,47286060
127,2017,충청남도,12844,48453932
128,2018,충청남도,13168,50180207
129,2019,충청남도,14122,52012704
130,2020,충청남도,14417,52644854
