,연월,시도,인구밀도,연도,월
0,2011.01,서울특별시,17046,2011,01
1,2011.02,서울특별시,17048,2011,02
2,2011.03,서울특별시,17037,2011,03
3,2011.04,서울특별시,17027,2011,04
4,2011.05,서울특별시,17017,2011,05
5,2011.06,서울특별시,17005,2011,06
6,2011.07,서울특별시,16995,2011,07
7,2011.08,서울특별시,16987,2011,08
8,2011.09,서울특별시,16978,2011,09
9,2011.1,서울특별시,16968,2011,10
10,2011.11,서울특별시,16954,2011,11
11,2011.12,서울특별시,16941,2011,12
12,2012.01,서울특별시,16942,2012,01
13,2012.02,서울특별시,16944,2012,02
14,2012.03,서울특별시,16935,2012,03
15,2012.04,서울특별시,16927,2012,04
16,2012.05,서울특별시,16920,2012,05
17,2012.06,서울특별시,16912,2012,06
18,2012.07,서울특별시,16905,2012,07
19,2012.08,서울특별시,16897,2012,08
20,2012.09,서울특별시,16891,2012,09
21,2012.1,서울특별시,16880,2012,10
22,2012.11,서울특별시,16869,2012,11
23,2012.12,서울특별시,16851,2012,12
24,2013.01,서울특별시,16851,2013,01
25,2013.02,서울특별시,16853,2013,02
26,2013.03,서울특별시,16846,2013,03
27,2013.04,서울특별시,16836,2013,04
28,2013.05,서울특별시,16829,2013,05
29,2013.06,서울특별시,16820,2013,06
30,2013.07,서울특별시,16813,2013,07
31,2013.08,서울특별시,16808,2013,08
32,2013.09,서울특별시,16804,2013,09
33,2013.1,서울특별시,16796,2013,10
34,2013.11,서울특별시,16783,2013,11
35,2013.12,서울특별시,16766,2013,12
36,2014.01,서울특별시,16765,2014,01
37,2014.02,서울특별시,16767,2014,02
38,2014.03,서울특별시,16763,2014,03
39,2014.04,서울특별시,16755,2014,04
40,2014.05,서울특별시,16749,2014,05
41,2014.06,서울특별시,16742,2014,06
42,2014.07,서울특별시,16737,2014,07
43,2014.08,서울특별시,16734,2014,08
44,2014.09,서울특별시,16731,2014,09
45,2014.1,서울특별시,16723,2014,10
46,2014.11,서울특별시,16714,2014,11
47,2014.12,서울특별시,16699,2014,12
48,2015.01,서울특별시,16701,2015,01
49,2015.02,서울특별시,16702,2015,02
50,2015.03,서울특별시,16695,2015,03
51,2015.04,서울특별시,16685,2015,04
52,2015.05,서울특별시,16675,2015,05
53,2015.06,서울특별시,16659,2015,06
54,2015.07,서울특별시,16647,2015,07
55,2015.08,서울특별시,16633,2015,08
56,2015.09,서울특별시,16619,2015,09
57,2015.1,서울특별시,16603,2015,10
58,2015.11,서울특별시,16587,2015,11
59,2015.12,서울특별시,16565,2015,12
60,2016.01,서울특별시,16559,2016,01
61,2016.02,서울특별시,16552,2016,02
62,2016.03,서울특별시,16544,2016,03
63,2016.04,서울특별시,16533,2016,04
64,2016.05,서울특별시,16521,2016,05
65,2016.06,서울특별시,16512,2016,06
66,2016.07,서울특별시,16498,2016,07
67,2016.08,서울특별시,16481,2016,08
68,2016.09,서울특별시,16469,2016,09
69,2016.1,서울특별시,16454,2016,10
70,2016.11,서울특별시,16435,2016,11
71,2016.12,서울특별시,16414,2016,12
72,2017.01,서울특별시,16414,2017,01
73,2017.02,서울특별시,16415,2017,02
74,2017.03,서울특별시,16408,2017,03
75,2017.04,서울특별시,16401,2017,04
76,2017.05,서울특별시,16395,2017,05
77,2017.06,서울특별시,16387,2017,06
78,2017.07,서울특별시,16377,2017,07
79,2017.08,서울특별시,16367,2017,08
80,2017.09,서울특별시,16349,2017,09
81,2017.1,서울특별시,16335,2017,10
82,2017.11,서울특별시,16314,2017,11
83,2017.12,서울특별시,16293,2017,12
84,2018.01,서울특별시,16283,2018,01
85,2018.02,서울특별시,16273,2018,02
86,2018.03,서울특별시,16262,2018,03
87,2018.04,서울특별시,16248,2018,04
88,2018.05,서울특별시,16233,2018,05
89,2018.06,서울특별시,16221,2018,06
90,2018.07,서울특별시,16209,2018,07
91,2018.08,서울특별시,16196,2018,08
92,2018.09,서울특별시,16186,2018,09
93,2018.1,서울특별시,16172,2018,10
94,2018.11,서울특별시,16155,2018,11
95,2018.12,서울특별시,16141,2018,12
96,2019.01,서울특별시,16142,2019,01
97,2019.02,서울특별시,16149,2019,02
98,2019.03,서울특별시,16149,2019,03
99,2019.04,서울특별시,16143,2019,04
